Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.05	0.00133932212	0.000669661062	0	0.00133932212	0.000669661062	0	0	0	0	0	3
3	2	0	0.075	-1.24896122e-05	0.000442277504	-1.24896122e-05	0.00133932212	0.000669661062	0	0	0	0	0	3
4	2	0	0.1	-4.59954913e-05	0.000320209255	-4.59954913e-05	0.00133932212	0.000669661062	0	0	0	0	0	3
5	3	0	0.125	-3.81966728e-05	0.000248528069	-4.59954913e-05	0.00133932212	0.000669661062	0	0	0	0	0	3
6	3	0	0.15	-1.90412426e-05	0.000203933184	-4.59954913e-05	0.00133932212	0.000669661062	0	0	0	0	0	3
7	3	0	0.175	-5.26945782e-06	0.000174047092	-4.59954913e-05	0.00133932212	0.000669661062	0	0	0	0	0	3
8	3	0	0.2	4.31299072e-05	0.000157682444	-4.59954913e-05	0.00133932212	0.000669661062	0	0	0	0	0	3
9	4	0	0.225	1.89122256e-05	0.000142263531	-4.59954913e-05	0.00133932212	0.000669661062	0	0	0	0	0	3
10	4	0	0.25	-0.000832639553	4.47732226e-05	-0.000832639553	0.00133932212	0.000669661062	0	0	0	0	0	3
11	4	0	0.275	-0.000660406157	-1.93339937e-05	-0.000832639553	0.00133932212	0.000688995055	0	0	0	0	0	3
12	4	0	0.3	-0.00369102998	-0.000325308659	-0.00369102998	0.00133932212	0.000994969721	0	0	0	0	0	3
13	4	0	0.325	-0.0053743461	-0.000713696155	-0.0053743461	0.00133932212	0.00138335722	0	0	0	0	0	3
14	5	0	0.35	-0.00790033223	-0.0012270273	-0.00790033223	0.00133932212	0.00189668836	0	0	0	0	0	3
15	5	0	0.375	-0.00858300807	-0.00171742602	-0.00858300807	0.00133932212	0.00238708708	0	0	0	0	0	3
16	5	0	0.4	-0.0105889435	-0.00227189587	-0.0105889435	0.00133932212	0.00294155693	0	0	0	0	0	3
17	5	0	0.425	-0.00807984578	-0.00261353998	-0.0105889435	0.00133932212	0.00328320104	0	0	0	0	0	3
18	6	0	0.45	-0.0191869626	-0.00353428568	-0.0191869626	0.00133932212	0.00420394674	0	0	0	0	0	3
19	6	0	0.475	-0.0278406311	-0.00481356702	-0.0278406311	0.00133932212	0.00548322808	0	0	0	0	0	3
20	6	0	0.5	-0.0418753668	-0.00666665701	-0.0418753668	0.00133932212	0.00733631807	0	0	0	0	0	3
21	6	0	0.525	0.00311391314	-0.00651096135	-0.0418753668	0.00311391314	0.00733631807	0	0	0	0	0	3
22	7	0	0.55	0.0189070333	-0.00563257579	-0.0418753668	0.0189070333	0.00710893451	0	0	0	0	0	3
23	7	0	0.575	0.0183151676	-0.00471619293	-0.0418753668	0.0189070333	0.00698686626	0	0	0	0	0	3
24	7	0	0.6	0.0110284121	-0.00416247255	-0.0418753668	0.0189070333	0.00691518508	0	0	0	0	0	3
25	7	0	0.625	0.00959778325	-0.00368067356	-0.0418753668	0.0189070333	0.00687059019	0	0	0	0	0	3
26	8	0	0.65	0.000167325625	-0.00367135521	-0.0418753668	0.0189070333	0.0068407041	0	0	0	0	0	3
27	8	0	0.675	0.0095878553	-0.00319169897	-0.0418753668	0.0189070333	0.00682433945	0	0	0	0	0	3
28	8	0	0.7	0.0213642612	-0.00212564241	-0.0418753668	0.0213642612	0.00680892054	0	0	0	0	0	3
29	8	0	0.725	-0.000919010052	-0.00217253852	-0.0418753668	0.0213642612	0.00671143023	0	0	0	0	0	3
30	8	0	0.75	0.0390362336	-0.000179094866	-0.0418753668	0.0390362336	0.00664732301	0	0	0	0	0	3
31	10	0	0.775	0.0223482787	0.000971339378	-0.0418753668	0.0390362336	0.00763799638	0	0	0	0	0	3
32	10	0	0.8	0.0152482336	0.00191830256	-0.0418753668	0.0390362336	0.00858495956	0	0	0	0	0	3
33	10	0	0.825	-0.0015836904	0.00210783534	-0.0418753668	0.0390362336	0.00877449235	0	0	0	0	0	3
34	11	0	0.85	0.00950759016	0.00297823146	-0.0418753668	0.0390362336	0.00964488847	0	0	0	0	0	3
35	11	0	0.875	0.0445020256	0.00563248315	-0.0418753668	0.0445020256	0.0122991402	0	0	0	0	0	3
