Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.05	0.00202321784	0.00101160892	0	0.00202321784	0.00101160892	0	0	0	0	0	3
3	2	0	0.075	6.68525394e-05	0.000696690128	0	0.00202321784	0.00101160892	0	0	0	0	0	3
4	2	0	0.1	0.000111126411	0.000550299198	0	0.00202321784	0.00101160892	0	0	0	0	0	3
5	3	0	0.125	5.72856958e-05	0.000451696498	0	0.00202321784	0.00101160892	0	0	0	0	0	3
6	3	0	0.15	5.81992489e-05	0.000386113623	0	0.00202321784	0.00101160892	0	0	0	0	0	3
7	3	0	0.175	0.000100269578	0.00034527876	0	0.00202321784	0.00101160892	0	0	0	0	0	3
8	3	0	0.2	0.000786349834	0.000400412644	0	0.00202321784	0.00101160892	0	0	0	0	0	3
9	4	0	0.225	0.000589821242	0.000421458044	0	0.00202321784	0.00101160892	0	0	0	0	0	3
10	4	0	0.25	0.00305439022	0.000684751261	0	0.00305439022	0.00101160892	0	0	0	0	0	3
11	4	0	0.275	0.00350945847	0.000941542826	0	0.00350945847	0.00101160892	0	0	0	0	0	3
12	4	0	0.3	0.0175063935	0.00232194705	0	0.0175063935	0.00232194705	0	0	0	0	0	3
13	4	0	0.325	0.036436494	0.00494614297	0	0.036436494	0.00494614297	0	0	0	0	0	3
14	5	0	0.35	0.0694584151	0.00955416241	0	0.0694584151	0.00955416241	0	0	0	0	0	3
15	5	0	0.375	0.0997555679	0.0155675894	0	0.0997555679	0.0155675894	0	0	0	0	0	3
16	5	0	0.4	0.161036228	0.0246593793	0	0.161036228	0.0246593793	0	0	0	0	0	3
17	5	0	0.425	0.276896988	0.0394968857	0	0.276896988	0.0394968857	0	0	0	0	0	3
18	6	0	0.45	0.411215124	0.060147899	0	0.411215124	0.060147899	0	0	0	0	0	3
19	6	0	0.475	0.53479253	0.0851291953	0	0.53479253	0.0851291953	0	0	0	0	0	3
20	6	0	0.5	0.733529191	0.117549195	0	0.733529191	0.117549195	0	0	0	0	0	3
21	6	0	0.525	1.03885772	0.169492081	5.72856958e-05	1.03885772	0.169146802	0	0	0	0	0	3
22	7	0	0.55	1.34171612	0.236476726	5.72856958e-05	1.34171612	0.236131447	0	0	0	0	0	3
23	7	0	0.575	1.46946133	0.30994645	5.72856958e-05	1.46946133	0.309601171	0	0	0	0	0	3
24	7	0	0.6	1.52753677	0.386317732	5.72856958e-05	1.52753677	0.385972453	0	0	0	0	0	3
25	7	0	0.625	1.62827982	0.467728859	5.81992489e-05	1.62827982	0.46738358	0	0	0	0	0	3
26	8	0	0.65	1.74114868	0.554783383	0.000100269578	1.74114868	0.554438104	0	0	0	0	0	3
27	8	0	0.675	1.89638187	0.649597463	0.000589821242	1.89638187	0.649197051	0	0	0	0	0	3
28	8	0	0.7	1.88255204	0.743685748	0.000589821242	1.89638187	0.743264289	0	0	0	0	0	3
29	8	0	0.725	1.88758281	0.838035397	0.00305439022	1.89638187	0.837350645	0	0	0	0	0	3
30	8	0	0.75	1.88050884	0.931908119	0.00350945847	1.89638187	0.930966576	0	0	0	0	0	3
31	10	0	0.775	1.92930543	1.02819792	0.0175063935	1.92930543	1.02587597	0	0	0	0	0	3
32	10	0	0.8	1.92985309	1.12381525	0.036436494	1.92985309	1.11886911	0	0	0	0	0	3
33	10	0	0.825	1.93316382	1.21865162	0.0694584151	1.93316382	1.20909746	0	0	0	0	0	3
34	11	0	0.85	1.92369447	1.31136342	0.0997555679	1.93316382	1.29579583	0	0	0	0	0	3
35	11	0	0.875	1.9800553	1.40537841	0.161036228	1.9800553	1.38071903	0	0	0	0	0	3
36	11	0	0.9	2.07090379	1.50087179	0.276896988	2.07090379	1.4613749	0	0	0	0	0	3
37	11	0	0.925	1.96143541	1.58509871	0.411215124	2.07090379	1.52495081	0	0	0	0	0	3
38	11	0	0.95	1.94235465	1.66165568	0.53479253	2.07090379	1.53611126	0	0	0	0	0	3
39	12	0	0.975	1.99619194	1.73472565	0.733529191	2.07090379	1.3373746	0	0	0	0	0	3
40	12	0	1	1.95755888	1.79592714	1.03885772	2.07090379	1.03204608	0.310626976	30	0	0	0	3
41	12	0	1.025	1.95448263	1.84170838	1.34171612	2.07090379	0.729187674	0.310626976	42.5	0	0	0	3
42	12	0	1.05	1.97878557	1.87356186	1.46946133	2.07090379	0.601442464	0.310626976	51.6	0	0	0	3
43	13	0	1.075	1.94719069	1.89744832	1.52753677	2.07090379	0.543367026	0.310626976	57.1	0	0	0	3
44	13	0	1.1	1.97550453	1.90116529	1.52753677	2.07090379	0.543367026	0.310626976	57.1	0	0	0	3
45	13	0	1.125	1.94518823	1.92105345	1.62827982	2.07090379	0.442623972	0.310626976	70.1	0	0	0	3
46	14	0	1.15	1.98517596	1.93804851	1.74114868	2.07090379	0.32975511	0.310626976	94.1	0	0	0	3
47	14	0	1.175	1.94258473	1.9476407	1.88050884	2.07090379	0.190394954	0.310626976	100	0	0	0	3
48	14	0	1.2	1.95343059	1.9503573	1.88050884	2.07090379	0.190394954	0.310626976	100	0	0	0	3
49	14	0	1.225	1.93010525	1.95262174	1.88050884	2.07090379	0.190394954	0.310626976	100	0	0	0	3
