Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	101348.025	101348.025	101348.025	101348.025	0	0	0	10186.3	0	0	3
2	2	0	0.05	101273.964	101310.994	101273.964	101348.025	37.0305293	0	0	12565.3	0	0	3
3	2	0	0.075	101342.006	101321.332	101273.964	101348.025	37.0305293	0	0	9556.6	0	0	3
4	2	0	0.1	101326.661	101322.664	101273.964	101348.025	37.0305293	0	0	3972.36	0	0	3
5	3	0	0.125	101319.816	101322.094	101273.964	101348.025	37.0305293	0	0	1798.02	0	0	3
6	3	0	0.15	101319.973	101321.741	101273.964	101348.025	37.0305293	0	0	1319.12	0	0	3
7	3	0	0.175	101326.534	101322.426	101273.964	101348.025	37.0305293	0	0	1065.14	0	0	3
8	3	0	0.2	101321.036	101322.252	101273.964	101348.025	37.0305293	0	0	663.991	0	0	3
9	4	0	0.225	101325.625	101322.627	101273.964	101348.025	37.0305293	0	0	419.078	0	0	3
10	4	0	0.25	101322.346	101322.599	101273.964	101348.025	37.0305293	0	0	465.535	0	0	3
11	4	0	0.275	101345.562	101324.686	101273.964	101348.025	37.0305293	0	0	458.867	0	0	3
12	4	0	0.3	101362.659	101327.851	101273.964	101362.659	37.0305293	0	0	379.345	0	0	3
13	4	0	0.325	101419.959	101334.936	101273.964	101419.959	37.0305293	0	0	412.478	0	0	3
14	5	0	0.35	101453.592	101343.411	101273.964	101453.592	37.0305293	0	0	523.499	0	0	3
15	5	0	0.375	101517.565	101355.022	101273.964	101517.565	44.027139	0	0	754.249	0	0	3
16	5	0	0.4	101543.07	101366.775	101273.964	101543.07	55.7801709	0	0	917.707	0	0	3
17	5	0	0.425	101574.933	101379.019	101273.964	101574.933	68.0247629	0	0	1200.28	0	0	3
18	6	0	0.45	101590.582	101390.773	101273.964	101590.582	79.7782295	0	0	1474.9	0	0	3
19	6	0	0.475	101584.352	101400.961	101273.964	101590.582	89.9666266	0	0	1854.76	0	0	3
20	6	0	0.5	101555.889	101408.707	101273.964	101590.582	97.7130518	0	0	2209.46	0	0	3
21	6	0	0.525	101512.565	101416.934	101273.964	101590.582	105.940064	0	0	2441.48	0	0	3
22	7	0	0.55	101478.734	101427.173	101319.816	101590.582	105.841407	0	0	2655.82	0	0	3
23	7	0	0.575	101443.759	101432.261	101319.816	101590.582	110.519749	0	0	2864.19	0	0	3
24	7	0	0.6	101416.98	101436.777	101319.816	101590.582	115.035687	0	0	3070.6	0	0	3
25	7	0	0.625	101393.421	101440.457	101319.973	101590.582	118.715936	0	0	3177.25	0	0	3
26	8	0	0.65	101377.725	101443.344	101321.036	101590.582	121.092431	0	0	3273.21	0	0	3
27	8	0	0.675	101368.761	101445.456	101321.036	101590.582	123.203746	0	0	3343.09	0	0	3
28	8	0	0.7	101358.785	101447.343	101322.346	101590.582	124.744453	0	0	3442.21	0	0	3
29	8	0	0.725	101350.607	101448.592	101322.346	101590.582	125.993544	0	0	3482.77	0	0	3
30	8	0	0.75	101341.966	101449.573	101341.966	101590.582	124.887017	0	0	3605.42	0	0	3
31	10	0	0.775	101340.268	101449.309	101340.268	101590.582	121.722612	0	0	3591.5	0	0	3
32	10	0	0.8	101340.179	101448.185	101340.179	101590.582	114.637378	0	0	3683.88	0	0	3
33	10	0	0.825	101335.385	101443.956	101335.385	101590.582	106.161953	0	0	3656.29	0	0	3
34	11	0	0.85	101334.603	101438.006	101334.603	101590.582	94.5517325	0	0	3748.16	0	0	3
