Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	-0.0308968622	-0.0308968622	-0.0308968622	-0.0308968622	0	0	0	0	0	0	3
2	2	0	0.05	0.0779081176	0.0235056277	-0.0308968622	0.0779081176	0.0544024899	0	0	0	0	0	3
3	2	0	0.075	-0.0105700459	0.0121470699	-0.0308968622	0.0779081176	0.0544024899	0	0	0	0	0	3
4	2	0	0.1	-0.00172597336	0.00867880905	-0.0308968622	0.0779081176	0.0544024899	0	0	0	0	0	3
5	3	0	0.125	0.0113199868	0.0092070446	-0.0308968622	0.0779081176	0.0544024899	0	0	0	0	0	3
6	3	0	0.15	0.0116578105	0.00961550559	-0.0308968622	0.0779081176	0.0544024899	0	0	0	0	0	3
7	3	0	0.175	0.000472988343	0.0083094317	-0.0308968622	0.0779081176	0.0544024899	0	0	0	0	0	3
8	3	0	0.2	0.00802658633	0.00827407603	-0.0308968622	0.0779081176	0.0544024899	0	0	0	0	0	3
9	4	0	0.225	0.00313514111	0.00770308326	-0.0308968622	0.0779081176	0.0544024899	0	0	0	0	0	3
10	4	0	0.25	0.00742104836	0.00767487977	-0.0308968622	0.0779081176	0.0544024899	0	0	0	0	0	3
11	4	0	0.275	-0.0299757356	0.00425209656	-0.0308968622	0.0779081176	0.0544024899	0	0	0	0	0	3
12	4	0	0.3	-0.0640259579	-0.00143774132	-0.0640259579	0.0779081176	0.0544024899	0	0	0	0	0	3
13	4	0	0.325	-0.147678722	-0.0126870475	-0.147678722	0.0779081176	0.0544024899	0	0	0	0	0	3
14	5	0	0.35	-0.216372994	-0.0272360437	-0.216372994	0.0779081176	0.0544024899	0	0	0	0	0	3
15	5	0	0.375	-0.332984248	-0.0476192573	-0.332984248	0.0779081176	0.0711248851	0	0	0	0	0	3
16	5	0	0.4	-0.442666841	-0.0723097313	-0.442666841	0.0779081176	0.095815359	0	0	0	0	0	3
17	5	0	0.425	-0.516133228	-0.0984169958	-0.516133228	0.0779081176	0.121922624	0	0	0	0	0	3
18	6	0	0.45	-0.658551018	-0.129535553	-0.658551018	0.0779081176	0.15304118	0	0	0	0	0	3
19	6	0	0.475	-0.733540859	-0.161325306	-0.733540859	0.0779081176	0.184830933	0	0	0	0	0	3
20	6	0	0.5	-0.777766335	-0.192147357	-0.777766335	0.0779081176	0.215652985	0	0	0	0	0	3
21	6	0	0.525	-0.732863053	-0.227245667	-0.777766335	0.0779081176	0.250751294	0	0	0	0	0	3
22	7	0	0.55	-0.653813333	-0.263831739	-0.777766335	0.0116578105	0.275978809	0	0	0	0	0	3
23	7	0	0.575	-0.602436478	-0.293425061	-0.777766335	0.0116578105	0.303040566	0	0	0	0	0	3
24	7	0	0.6	-0.55438637	-0.321058081	-0.777766335	0.0116578105	0.330673586	0	0	0	0	0	3
25	7	0	0.625	-0.567620068	-0.350005083	-0.777766335	0.0116578105	0.359620589	0	0	0	0	0	3
26	8	0	0.65	-0.511908599	-0.376183404	-0.777766335	0.00802658633	0.384492835	0	0	0	0	0	3
27	8	0	0.675	-0.53019499	-0.402716803	-0.777766335	0.00802658633	0.410990879	0	0	0	0	0	3
28	8	0	0.7	-0.485202474	-0.427378256	-0.777766335	0.00742104836	0.435081339	0	0	0	0	0	3
29	8	0	0.725	-0.540161945	-0.45454311	-0.777766335	0.00742104836	0.46221799	0	0	0	0	0	3
30	8	0	0.75	-0.480225484	-0.478925437	-0.777766335	-0.0299757356	0.483177533	0	0	0	0	0	3
31	10	0	0.775	-0.567084046	-0.505780852	-0.777766335	-0.0640259579	0.504343111	0	0	0	0	0	3
