Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	-0.513059343	-0.513059343	-0.513059343	-0.513059343	0	0	0	0	0	0	3
2	2	0	0.05	0.69262192	0.0897812884	-0.513059343	0.69262192	0.602840631	0	0	0	0	0	3
3	2	0	0.075	0.192821655	0.124128077	-0.513059343	0.69262192	0.63718742	0	0	0	0	0	3
4	2	0	0.1	-0.06246152	0.0774806779	-0.513059343	0.69262192	0.63718742	0	0	0	0	0	3
5	3	0	0.125	-0.103594332	0.0412656759	-0.513059343	0.69262192	0.63718742	0	0	0	0	0	3
6	3	0	0.15	-0.0957078983	0.0184367469	-0.513059343	0.69262192	0.63718742	0	0	0	0	0	3
7	3	0	0.175	-0.14470628	-0.00486939975	-0.513059343	0.69262192	0.63718742	0	0	0	0	0	3
8	3	0	0.2	-0.0175812774	-0.00645838446	-0.513059343	0.69262192	0.63718742	0	0	0	0	0	3
9	4	0	0.225	-0.0590501657	-0.0123019157	-0.513059343	0.69262192	0.63718742	0	0	0	0	0	3
10	4	0	0.25	-0.0321670276	-0.0142884269	-0.513059343	0.69262192	0.63718742	0	0	0	0	0	3
11	4	0	0.275	-0.506115203	-0.058999952	-0.513059343	0.69262192	0.63718742	0	0	0	0	0	3
12	4	0	0.3	-1.37367728	-0.168556396	-1.37367728	0.69262192	0.63718742	0	0	0	0	0	3
13	4	0	0.325	-4.2395014	-0.481706011	-4.2395014	0.69262192	0.63718742	0	0	0	0	0	3
14	5	0	0.35	-9.0669656	-1.09493884	-9.0669656	0.69262192	1.21906692	0	0	0	0	0	3
15	5	0	0.375	-15.5557112	-2.05899033	-15.5557112	0.69262192	2.18311841	0	0	0	0	0	3
16	5	0	0.4	-22.4214032	-3.33164114	-22.4214032	0.69262192	3.45576921	0	0	0	0	0	3
17	5	0	0.425	-31.7527134	-5.00346892	-31.7527134	0.69262192	5.12759699	0	0	0	0	0	3
18	6	0	0.45	-42.8235909	-7.1045868	-42.8235909	0.69262192	7.22871488	0	0	0	0	0	3
19	6	0	0.475	-53.3462425	-9.53835816	-53.3462425	0.69262192	9.66248623	0	0	0	0	0	3
20	6	0	0.5	-62.272611	-12.1750708	-62.272611	0.69262192	12.2991989	0	0	0	0	0	3
21	6	0	0.525	-67.4411426	-15.521475	-67.4411426	0.69262192	15.645603	0	0	0	0	0	3
22	7	0	0.55	-72.5436214	-19.1832871	-72.5436214	0.192821655	19.3074152	0	0	0	0	0	3
23	7	0	0.575	-77.5566036	-23.0707584	-77.5566036	-0.0175812774	23.1482391	0	0	0	0	0	3
24	7	0	0.6	-82.0432625	-27.1697984	-82.0432625	-0.0175812774	27.2110641	0	0	0	0	0	3
25	7	0	0.625	-85.2691194	-31.4280747	-85.2691194	-0.0175812774	31.4465114	0	0	0	0	0	3
26	8	0	0.65	-86.8822369	-35.7674011	-86.8822369	-0.0175812774	35.7625317	0	0	0	0	0	3
27	8	0	0.675	-87.2398389	-40.1221578	-87.2398389	-0.0175812774	40.1156994	0	0	0	0	0	3
28	8	0	0.7	-88.1981177	-44.5311846	-88.1981177	-0.0321670276	44.5188827	0	0	0	0	0	3
29	8	0	0.725	-88.1845301	-48.9374586	-88.1981177	-0.0321670276	48.9231702	0	0	0	0	0	3
30	8	0	0.75	-88.7668124	-53.3741909	-88.7668124	-0.506115203	53.3151909	0	0	0	0	0	3
31	10	0	0.775	-88.6925233	-57.7835113	-88.7668124	-1.37367728	57.6149549	0	0	0	0	0	3
32	10	0	0.8	-88.0906556	-62.1193602	-88.7668124	-4.2395014	61.6376542	0	0	0	0	0	3
33	10	0	0.825	-88.5278333	-66.3337768	-88.7668124	-9.0669656	65.2388379	0	0	0	0	0	3
34	11	0	0.85	-88.7228728	-70.3165721	-88.7668124	-15.5557112	68.2575818	0	0	0	0	0	3
35	11	0	0.875	-88.2103821	-73.9493057	-88.7668124	-22.4214032	66.3454092	0	0	0	0	0	3
36	11	0	0.9	-88.5448409	-77.2554776	-88.7668124	-31.7527134	57.014099	0	0	0	0	0	3
37	11	0	0.925	-88.7820274	-80.1069433	-88.7820274	-42.8235909	45.9584365	0	0	0	0	0	3
38	11	0	0.95	-88.3817185	-82.3848496	-88.7820274	-53.3462425	35.4357848	0	0	0	0	0	3
39	12	0	0.975	-88.4712847	-84.1411018	-88.7820274	-62.272611	26.5094163	0	0	0	0	0	3
40	12	0	1	-88.7124507	-85.4630937	-88.7820274	-67.4411426	21.3408848	13.3462274	62.5	0	0	0	3
41	12	0	1.025	-88.7027671	-86.526175	-88.7820274	-72.5436214	16.2384059	13.3462274	82.1	0	0	0	3
42	12	0	1.05	-88.3498007	-87.3164839	-88.7820274	-77.5566036	11.2254238	13.3462274	100	0	0	0	3
43	13	0	1.075	-88.6979966	-87.8735536	-88.7820274	-82.0432625	6.73876486	13.3462274	100	0	0	0	3
44	13	0	1.1	-88.97142	-87.9258329	-88.97142	-82.0432625	6.92815752	13.3462274	100	0	0	0	3
45	13	0	1.125	-89.0781587	-88.260828	-89.0781587	-85.2691194	3.80903927	13.3462274	100	0	0	0	3
46	14	0	1.15	-88.9788357	-88.4374811	-89.0781587	-86.8822369	2.19592184	13.3462274	100	0	0	0	3
47	14	0	1.175	-89.077998	-88.5420412	-89.0781587	-87.2398389	1.83831976	13.3467796	100	0	0	0	3
48	14	0	1.2	-89.1292177	-88.6320116	-89.1292177	-88.0906556	1.03856207	13.3492753	100	0	0	0	3
49	14	0	1.225	-89.3932548	-88.6889229	-89.3932548	-88.0906556	1.30259917	13.355374	100	0	0	0	3
50	14	0	1.25	-89.0779473	-88.7314666	-89.3932548	-88.0906556	1.30259917	13.3602529	100	0	0	0	3
51	15	0	1.275	-89.186877	-88.7514697	-89.3932548	-88.0906556	1.30259917	13.3577818	100	0	0	0	3
52	15	0	1.3	-89.3525341	-88.7828987	-89.3932548	-88.0906556	1.30259917	13.3462274	100	0	0	0	3
53	15	0	1.325	-89.3785641	-88.8442277	-89.3932548	-88.2103821	1.1828727	13.3462274	100	0	0	0	3
54	15	0	1.35	-89.6635907	-88.8983114	-89.6635907	-88.2103821	1.45320863	13.3462274	100	0	0	0	3
55	16	0	1.375	-89.6568003	-88.9427841	-89.6635907	-88.2103821	1.45320863	13.3462274	100	0	0	0	3
56	16	0	1.4	-89.8517859	-89.0209462	-89.8517859	-88.3498007	1.50198521	13.3462274	100	0	0	0	3
57	16	0	1.425	-89.7668315	-89.0791363	-89.8517859	-88.3498007	1.50198521	13.3462274	100	0	0	0	3
58	16	0	1.45	-89.6539869	-89.1206581	-89.8517859	-88.3498007	1.50198521	13.3462274	100	0	0	0	3
59	16	0	1.475	-89.468049	-89.1723882	-89.8517859	-88.3498007	1.50198521	13.3462274	100	0	0	0	3
60	17	0	1.5	-89.5096087	-89.2218322	-89.8517859	-88.3498007	1.50198521	13.3462274	100	0	0	0	3
61	17	0	1.525	-89.4333141	-89.256159	-89.8517859	-88.3498007	1.50198521	13.3462274	100	0	0	0	3
62	17	0	1.55	-89.6109676	-89.2994066	-89.8517859	-88.3498007	1.50198521	13.3462274	100	0	0	0	3
63	17	0	1.575	-89.6745232	-89.3624887	-89.8517859	-88.6979966	1.15378927	13.3462274	100	0	0	0	3
64	18	0	1.6	-89.5061397	-89.4009717	-89.8517859	-88.97142	0.880365884	13.3462274	100	0	0	0	3
65	18	0	1.625	-89.6985768	-89.4355982	-89.8517859	-88.9788357	0.872950253	13.3462274	100	0	0	0	3
66	18	0	1.65	-89.5015079	-89.4557577	-89.8517859	-88.9788357	0.872950253	13.3462274	100	0	0	0	3
67	18	0	1.675	-89.5286055	-89.4819372	-89.8517859	-89.0779473	0.773838631	13.3462274	100	0	0	0	3
68	19	0	1.7	-89.6106362	-89.5073009	-89.8517859	-89.0779473	0.773838631	13.3462274	100	0	0	0	3
69	19	0	1.725	-89.6935529	-89.534174	-89.8517859	-89.0779473	0.773838631	13.3462274	100	0	0	0	3
70	19	0	1.75	-89.8500864	-89.5559279	-89.8517859	-89.0779473	0.773838631	13.3462274	100	0	0	0	3
71	19	0	1.775	-90.0494566	-89.6021902	-90.0494566	-89.186877	0.850720591	13.3462274	100	0	0	0	3
72	20	0	1.8	-89.9691167	-89.6394398	-90.0494566	-89.3525341	0.696922562	13.3462274	100	0	0	0	3
73	20	0	1.825	-89.8015992	-89.6608238	-90.0494566	-89.3785641	0.670892588	13.3462274	100	0	0	0	3
74	20	0	1.85	-89.6336295	-89.6729698	-90.0494566	-89.4333141	0.616142499	13.3462274	100	0	0	0	3
75	20	0	1.875	-89.8237757	-89.6805976	-90.0494566	-89.4333141	0.616142499	13.3462274	100	0	0	0	3
76	21	0	1.9	-89.9024823	-89.6922968	-90.0494566	-89.4333141	0.616142499	13.3462274	100	0	0	0	3
77	21	0	1.925	-90.0638823	-89.7023966	-90.0638823	-89.4333141	0.623260346	13.3462274	100	0	0	0	3
