Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.05	6.36109396e-05	3.18054698e-05	0	6.36109396e-05	3.18054698e-05	0	0	0	0	0	3
3	2	0	0.075	-9.3589124e-07	2.08916828e-05	-9.3589124e-07	6.36109396e-05	3.18054698e-05	0	0	0	0	0	3
4	2	0	0.1	-3.68430243e-06	1.47476865e-05	-3.68430243e-06	6.36109396e-05	3.18054698e-05	0	0	0	0	0	3
5	3	0	0.125	-4.92404656e-07	1.16996683e-05	-3.68430243e-06	6.36109396e-05	3.18054698e-05	0	0	0	0	0	3
6	3	0	0.15	-1.51463493e-08	9.74719916e-06	-3.68430243e-06	6.36109396e-05	3.18054698e-05	0	0	0	0	0	3
7	3	0	0.175	-4.03071935e-06	7.77892509e-06	-4.03071935e-06	6.36109396e-05	3.18054698e-05	0	0	0	0	0	3
8	3	0	0.2	-3.51899277e-05	2.40781849e-06	-3.51899277e-05	6.36109396e-05	3.18054698e-05	0	0	0	0	0	3
9	4	0	0.225	-1.8195616e-05	1.18547997e-07	-3.51899277e-05	6.36109396e-05	3.18054698e-05	0	0	0	0	0	3
10	4	0	0.25	-3.51454577e-05	-3.40785258e-06	-3.51899277e-05	6.36109396e-05	3.52133224e-05	0	0	0	0	0	3
11	4	0	0.275	-0.000107753164	-1.289379e-05	-0.000107753164	6.36109396e-05	4.46992598e-05	0	0	0	0	0	3
12	4	0	0.3	-0.000502268474	-5.36750136e-05	-0.000502268474	6.36109396e-05	8.54804834e-05	0	0	0	0	0	3
13	4	0	0.325	-0.00131730406	-0.000150877248	-0.00131730406	6.36109396e-05	0.000182682718	0	0	0	0	0	3
14	5	0	0.35	-0.00186350039	-0.000273207472	-0.00186350039	6.36109396e-05	0.000305012942	0	0	0	0	0	3
