Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.05	9.65806956e-05	4.82903478e-05	0	9.65806956e-05	4.82903478e-05	0	0	0	0	0	3
3	2	0	0.075	-2.91998341e-07	3.20962324e-05	-2.91998341e-07	9.65806956e-05	4.82903478e-05	0	0	0	0	0	3
4	2	0	0.1	-1.3696407e-06	2.37297642e-05	-1.3696407e-06	9.65806956e-05	4.82903478e-05	0	0	0	0	0	3
5	3	0	0.125	-1.08824846e-06	1.87661616e-05	-1.3696407e-06	9.65806956e-05	4.82903478e-05	0	0	0	0	0	3
6	3	0	0.15	-4.31693711e-07	1.55665191e-05	-1.3696407e-06	9.65806956e-05	4.82903478e-05	0	0	0	0	0	3
7	3	0	0.175	-3.83541798e-06	1.27948138e-05	-3.83541798e-06	9.65806956e-05	4.82903478e-05	0	0	0	0	0	3
8	3	0	0.2	-2.05234363e-05	8.63003251e-06	-2.05234363e-05	9.65806956e-05	4.82903478e-05	0	0	0	0	0	3
9	4	0	0.225	-3.66579806e-05	3.59803106e-06	-3.66579806e-05	9.65806956e-05	4.82903478e-05	0	0	0	0	0	3
10	4	0	0.25	-0.000155731239	-1.23348959e-05	-0.000155731239	9.65806956e-05	6.06252437e-05	0	0	0	0	0	3
11	4	0	0.275	-0.00021273335	-3.05529372e-05	-0.00021273335	9.65806956e-05	7.8843285e-05	0	0	0	0	0	3
12	4	0	0.3	-0.00120448116	-0.000128380289	-0.00120448116	9.65806956e-05	0.000176670637	0	0	0	0	0	3
13	4	0	0.325	-0.00234667932	-0.000299018676	-0.00234667932	9.65806956e-05	0.000347309023	0	0	0	0	0	3
14	5	0	0.35	-0.00443803597	-0.000594662768	-0.00443803597	9.65806956e-05	0.000642953116	0	0	0	0	0	3
15	5	0	0.375	-0.00605864968	-0.000958928562	-0.00605864968	9.65806956e-05	0.00100721891	0	0	0	0	0	3
16	5	0	0.4	-0.00997092227	-0.00152217817	-0.00997092227	9.65806956e-05	0.00157046852	0	0	0	0	0	3
17	5	0	0.425	-0.0182298403	-0.00250498183	-0.0182298403	9.65806956e-05	0.00255327217	0	0	0	0	0	3
18	6	0	0.45	-0.0286553325	-0.00395777909	-0.0286553325	9.65806956e-05	0.00400606943	0	0	0	0	0	3
19	6	0	0.475	-0.0392410469	-0.00581479318	-0.0392410469	9.65806956e-05	0.00586308353	0	0	0	0	0	3
20	6	0	0.5	-0.0558291595	-0.0083155115	-0.0558291595	9.65806956e-05	0.00836380185	0	0	0	0	0	3
21	6	0	0.525	-0.0935329964	-0.0129921613	-0.0935329964	9.65806956e-05	0.0130404517	0	0	0	0	0	3
22	7	0	0.55	-0.141209347	-0.0200574577	-0.141209347	-2.91998341e-07	0.0200895539	0	0	0	0	0	3
