Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0	0	0	0	0	0	0	2232.46	0	0	3
2	2	0	0.05	0	0	0	0	0	0	0	2232.71	0	0	3
3	2	0	0.075	0	0	0	0	0	0	0	2242.84	0	0	3
4	2	0	0.1	0	0	0	0	0	0	0	2396.31	0	0	3
5	3	0	0.125	0	0	0	0	0	0	0	2343.46	0	0	3
6	3	0	0.15	0	0	0	0	0	0	0	2248.9	0	0	3
7	3	0	0.175	0	0	0	0	0	0	0	2247.78	0	0	3
8	3	0	0.2	0	0	0	0	0	0	0	2246.47	0	0	3
9	4	0	0.225	0	0	0	0	0	0	0	2245.45	0	0	3
10	4	0	0.25	0	0	0	0	0	0	0	2244.47	0	0	3
11	4	0	0.275	0	0	0	0	0	0	0	2243.71	0	0	3
12	4	0	0.3	0	0	0	0	0	0	0	2242.94	0	0	3
13	4	0	0.325	0	0	0	0	0	0	0	2242.28	0	0	3
14	5	0	0.35	0	0	0	0	0	0	0	2260.47	0	0	3
15	5	0	0.375	0	0	0	0	0	0	0	2269.93	0	0	3
16	5	0	0.4	0	0	0	0	0	0	0	2277.1	0	0	3
17	5	0	0.425	0	0	0	0	0	0	0	2263.89	0	0	3
18	6	0	0.45	0	0	0	0	0	0	0	2278.35	0	0	3
19	6	0	0.475	0	0	0	0	0	0	0	2262.96	0	0	3
20	6	0	0.5	0	0	0	0	0	0	0	2256.03	0	0	3
21	6	0	0.525	0	0	0	0	0	0	0	2245.86	0	0	3
22	7	0	0.55	0	0	0	0	0	0	0	2243.48	0	0	3
23	7	0	0.575	0	0	0	0	0	0	0	2243.95	0	0	3
24	7	0	0.6	0	0	0	0	0	0	0	2246.47	0	0	3
25	7	0	0.625	0	0	0	0	0	0	0	2350.69	0	0	3
26	8	0	0.65	0	0	0	0	0	0	0	2421.82	0	0	3
27	8	0	0.675	0	0	0	0	0	0	0	2465.68	0	0	3
28	8	0	0.7	0	0	0	0	0	0	0	2494.12	0	0	3
29	8	0	0.725	0	0	0	0	0	0	0	2518.96	0	0	3
30	8	0	0.75	0	0	0	0	0	0	0	2538.6	0	0	3
31	10	0	0.775	0	0	0	0	0	0	0	2551.67	0	0	3
32	10	0	0.8	0	0	0	0	0	0	0	2559.52	0	0	3
33	10	0	0.825	0	0	0	0	0	0	0	2563.99	0	0	3
34	11	0	0.85	0	0	0	0	0	0	0	2575.63	0	0	3
35	11	0	0.875	0	0	0	0	0	0	0	2567.88	0	0	3
36	11	0	0.9	0	0	0	0	0	0	0	2573.28	0	0	3
37	11	0	0.925	0	0	0	0	0	0	0	2571.09	0	0	3
38	11	0	0.95	0	0	0	0	0	0	0	2574.14	0	0	3
39	12	0	0.975	0	0	0	0	0	0	0	2572.71	0	0	3
40	12	0	1	0	0	0	0	0	0	100	2587.13	0	0	3
41	12	0	1.025	0	0	0	0	0	0	100	2581.78	0	0	3
42	12	0	1.05	0	0	0	0	0	0	100	2589.56	0	0	3
43	13	0	1.075	0	0	0	0	0	0	100	2580.01	0	0	3
44	13	0	1.1	0	0	0	0	0	0	100	2588.22	0	0	3
45	13	0	1.125	0	0	0	0	0	0	100	2580.42	0	0	3
46	14	0	1.15	0	0	0	0	0	0	100	2588.75	0	0	3
47	14	0	1.175	0	0	0	0	0	0	100	2580.17	0	0	3
48	14	0	1.2	0	0	0	0	0	0	100	2583.41	0	0	3
49	14	0	1.225	0	0	0	0	0	0	100	2575.38	0	0	3
50	14	0	1.25	0	0	0	0	0	0	100	2583.57	0	0	3
51	15	0	1.275	0	0	0	0	0	0	100	2581.83	0	0	3
52	15	0	1.3	0	0	0	0	0	0	100	2585.46	0	0	3
53	15	0	1.325	0	0	0	0	0	0	100	2576.54	0	0	3
54	15	0	1.35	0	0	0	0	0	0	100	2571.68	0	0	3
55	16	0	1.375	0	0	0	0	0	0	100	2576.42	0	0	3
56	16	0	1.4	0	0	0	0	0	0	100	2573.05	0	0	3
57	16	0	1.425	0	0	0	0	0	0	100	2579.05	0	0	3
58	16	0	1.45	0	0	0	0	0	0	100	2570.42	0	0	3
59	16	0	1.475	0	0	0	0	0	0	100	2566.59	0	0	3
60	17	0	1.5	0	0	0	0	0	0	100	2579.85	0	0	3
61	17	0	1.525	0	0	0	0	0	0	100	2574.68	0	0	3
62	17	0	1.55	0	0	0	0	0	0	100	2576.14	0	0	3
63	17	0	1.575	0	0	0	0	0	0	100	2578.62	0	0	3
64	18	0	1.6	0	0	0	0	0	0	100	2580.8	0	0	3
65	18	0	1.625	0	0	0	0	0	0	100	2575.21	0	0	3
66	18	0	1.65	0	0	0	0	0	0	100	2574.63	0	0	3
67	18	0	1.675	0	0	0	0	0	0	100	2578.01	0	0	3
68	19	0	1.7	0	0	0	0	0	0	100	2576.08	0	0	3
69	19	0	1.725	0	0	0	0	0	0	100	2578.6	0	0	3
70	19	0	1.75	0	0	0	0	0	0	100	2578.91	0	0	3
71	19	0	1.775	0	0	0	0	0	0	100	2575.84	0	0	3
72	20	0	1.8	0	0	0	0	0	0	100	2580.42	0	0	3
