Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.05	0.0140120033	0.00700600164	0	0.0140120033	0.00700600164	0	0	0	0	0	3
3	2	0	0.075	0.000325032111	0.0047790118	0	0.0140120033	0.00700600164	0	0	0	0	0	3
4	2	0	0.1	0.000340309442	0.00366933621	0	0.0140120033	0.00700600164	0	0	0	0	0	3
5	3	0	0.125	0.00117551318	0.0031705716	0	0.0140120033	0.00700600164	0	0	0	0	0	3
6	3	0	0.15	0.000889425169	0.00279038053	0	0.0140120033	0.00700600164	0	0	0	0	0	3
7	3	0	0.175	0.00138084997	0.00258901902	0	0.0140120033	0.00700600164	0	0	0	0	0	3
8	3	0	0.2	0.00659029209	0.00308917816	0	0.0140120033	0.00700600164	0	0	0	0	0	3
9	4	0	0.225	0.00269461822	0.00304533816	0	0.0140120033	0.00700600164	0	0	0	0	0	3
10	4	0	0.25	0.0137155488	0.00411235923	0	0.0140120033	0.00700600164	0	0	0	0	0	3
11	4	0	0.275	0.0159154238	0.0051853651	0	0.0159154238	0.00700600164	0	0	0	0	0	3
12	4	0	0.3	0.0507559952	0.0089829176	0	0.0507559952	0.0089829176	0	0	0	0	0	3
13	4	0	0.325	0.0845645277	0.0147968876	0	0.0845645277	0.0147968876	0	0	0	0	0	3
14	5	0	0.35	0.17522328	0.0262559156	0	0.17522328	0.0262559156	0	0	0	0	0	3
15	5	0	0.375	0.438592977	0.053745053	0	0.438592977	0.053745053	0	0	0	0	0	3
16	5	0	0.4	0.734718944	0.0963059212	0	0.734718944	0.0963059212	0	0	0	0	0	3
17	5	0	0.425	1.56261821	0.182559585	0	1.56261821	0.182559585	0	0	0	0	0	3
18	6	0	0.45	2.13022622	0.290763287	0	2.13022622	0.290763287	0	0	0	0	0	3
19	6	0	0.475	2.82534355	0.424162248	0	2.82534355	0.424162248	0	0	0	0	0	3
20	6	0	0.5	3.14553236	0.560230754	0	3.14553236	0.560230754	0	0	0	0	0	3
21	6	0	0.525	3.81939407	0.751200457	0.000325032111	3.81939407	0.748611438	0	0	0	0	0	3
22	7	0	0.55	4.20130999	0.960565357	0.000325032111	4.20130999	0.957976338	0	0	0	0	0	3
23	7	0	0.575	4.46883254	1.18399073	0.000340309442	4.46883254	1.18140171	0	0	0	0	0	3
24	7	0	0.6	4.70072022	1.41900973	0.000889425169	4.70072022	1.41642071	0	0	0	0	0	3
25	7	0	0.625	4.95113712	1.66650781	0.000889425169	4.95113712	1.66391879	0	0	0	0	0	3
26	8	0	0.65	5.11393179	1.92215993	0.00138084997	5.11393179	1.91957091	0	0	0	0	0	3
27	8	0	0.675	5.23820488	2.18400113	0.00269461822	5.23820488	2.18095579	0	0	0	0	0	3
