Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.05	0.0536239122	0.0268119561	0	0.0536239122	0.0268119561	0	0	0	0	0	3
3	2	0	0.075	0.000650722902	0.018091545	0	0.0536239122	0.0268119561	0	0	0	0	0	3
4	2	0	0.1	0.00363530432	0.0144774849	0	0.0536239122	0.0268119561	0	0	0	0	0	3
5	3	0	0.125	0.00184914441	0.0119518168	0	0.0536239122	0.0268119561	0	0	0	0	0	3
6	3	0	0.15	0.00154370637	0.0102171317	0	0.0536239122	0.0268119561	0	0	0	0	0	3
7	3	0	0.175	0.00280991233	0.0091589575	0	0.0536239122	0.0268119561	0	0	0	0	0	3
8	3	0	0.2	0.0154002349	0.00993911718	0	0.0536239122	0.0268119561	0	0	0	0	0	3
9	4	0	0.225	0.0158574593	0.0105967107	0	0.0536239122	0.0268119561	0	0	0	0	0	3
10	4	0	0.25	0.030241688	0.0125612085	0	0.0536239122	0.0268119561	0	0	0	0	0	3
11	4	0	0.275	0.0795831429	0.0186541116	0	0.0795831429	0.0268119561	0	0	0	0	0	3
12	4	0	0.3	0.107951771	0.0260955832	0	0.107951771	0.0268119561	0	0	0	0	0	3
13	4	0	0.325	0.298270912	0.0470321469	0	0.298270912	0.0470321469	0	0	0	0	0	3
14	5	0	0.35	0.421890781	0.0738077637	0	0.421890781	0.0738077637	0	0	0	0	0	3
15	5	0	0.375	0.736314034	0.117974848	0	0.736314034	0.117974848	0	0	0	0	0	3
16	5	0	0.4	1.26749296	0.18981973	0	1.26749296	0.18981973	0	0	0	0	0	3
17	5	0	0.425	1.96315426	0.294133526	0	1.96315426	0.294133526	0	0	0	0	0	3
18	6	0	0.45	2.63223183	0.424027876	0	2.63223183	0.424027876	0	0	0	0	0	3
19	6	0	0.475	3.63075474	0.592802974	0	3.63075474	0.592802974	0	0	0	0	0	3
20	6	0	0.5	4.46330474	0.786328063	0	4.46330474	0.786328063	0	0	0	0	0	3
21	6	0	0.525	5.69765498	1.07121081	0.000650722902	5.69765498	1.06205185	0	0	0	0	0	3
22	7	0	0.55	7.30687007	1.43387312	0.000650722902	7.30687007	1.42471416	0	0	0	0	0	3
23	7	0	0.575	8.30964189	1.84932268	0.00154370637	8.30964189	1.84016372	0	0	0	0	0	3
24	7	0	0.6	7.49613453	2.22394764	0.00154370637	8.30964189	2.21478868	0	0	0	0	0	3
25	7	0	0.625	8.17342819	2.63252659	0.00154370637	8.30964189	2.62336763	0	0	0	0	0	3
26	8	0	0.65	8.57141085	3.06101995	0.00280991233	8.57141085	3.05186099	0	0	0	0	0	3
27	8	0	0.675	9.19529655	3.52064428	0.0154002349	9.19529655	3.51070516	0	0	0	0	0	3
28	8	0	0.7	9.61648413	4.00069848	0.0158574593	9.61648413	3.99010177	0	0	0	0	0	3
29	8	0	0.725	9.88113712	4.49396246	0.030241688	9.88113712	4.48140125	0	0	0	0	0	3
30	8	0	0.75	9.97128399	4.99101457	0.0795831429	9.97128399	4.97236046	0	0	0	0	0	3
31	10	0	0.775	10.1175148	5.49291115	0.107951771	10.1175148	5.46681557	0	0	0	0	0	3
32	10	0	0.8	10.1220091	5.99361402	0.298270912	10.1220091	5.94658187	0	0	0	0	0	3
33	10	0	0.825	10.1154252	6.48447173	0.421890781	10.1220091	6.41066397	0	0	0	0	0	3
34	11	0	0.85	10.1689898	6.97182669	0.736314034	10.1689898	6.85385184	0	0	0	0	0	3
35	11	0	0.875	10.2681626	7.44841911	1.26749296	10.2681626	7.25859938	0	0	0	0	0	3
36	11	0	0.9	10.8565513	7.92787203	1.96315426	10.8565513	7.63373851	0	0	0	0	0	3
37	11	0	0.925	10.4011517	8.3497719	2.63223183	10.8565513	7.92574403	0	0	0	0	0	3
38	11	0	0.95	10.3383621	8.73507842	3.63075474	10.8565513	7.2257966	0	0	0	0	0	3
39	12	0	0.975	10.4507133	9.07607635	4.46330474	10.8565513	6.3932466	0	0	0	0	0	3
40	12	0	1	10.4382032	9.37482127	5.69765498	10.8565513	5.15889637	1.62838509	31.5	0	0	0	3
41	12	0	1.025	10.4522608	9.61255156	7.30687007	10.8565513	3.54968127	1.62838509	45.8	0	0	0	3
42	12	0	1.05	10.5318979	9.77380295	7.49613453	10.8565513	3.36041681	1.62838509	48.4	0	0	0	3
43	13	0	1.075	12.267844	9.97171306	7.49613453	12.267844	4.77170949	1.69890508	35.6	0	0	0	3
44	13	0	1.1	10.4204228	9.99308019	7.49613453	12.267844	4.77170949	1.73416507	36.3	0	0	0	3
45	13	0	1.125	13.6667542	10.2869192	8.17342819	13.6667542	5.49332596	1.79728837	32.7	0	0	0	3
46	14	0	1.15	10.4897083	10.3972183	8.57141085	13.6667542	5.0953433	1.83937057	36	0	0	0	3
47	14	0	1.175	13.4650397	10.6302482	9.19529655	13.6667542	4.47145761	1.86940215	41.8	0	0	0	3
48	14	0	1.2	10.3611001	10.6857627	9.61648413	13.6667542	4.05027002	1.89168977	46.7	0	0	0	3
49	14	0	1.225	13.408677	10.8663433	9.88113712	13.6667542	3.78561704	1.90901696	50.4	0	0	0	3
50	14	0	1.25	10.4087158	10.8914661	9.97128399	13.6667542	3.69547016	1.92266295	52	0	0	0	3
51	15	0	1.275	13.3595696	11.052813	10.1154252	13.6667542	3.55132897	1.93315501	54.4	0	0	0	3
52	15	0	1.3	10.3946054	11.0660078	10.1154252	13.6667542	3.55132897	1.94154379	54.6	0	0	0	3
53	15	0	1.325	13.280222	11.2163989	10.1154252	13.6667542	3.55132897	1.946446	54.8	0	0	0	3
54	15	0	1.35	10.4390342	11.2318088	10.1689898	13.6667542	3.49776435	1.94932339	55.7	0	0	0	3
55	16	0	1.375	10.3749665	11.2416173	10.2681626	13.6667542	3.39859153	1.9486729	57.3	0	0	0	3
56	16	0	1.4	10.3855056	11.247205	10.3383621	13.6667542	3.31933298	1.94312392	58.5	0	0	0	3
57	16	0	1.425	12.6160295	11.3309897	10.3383621	13.6667542	2.98121779	1.93208957	64.8	0	0	0	3
58	16	0	1.45	10.3665224	11.3293407	10.3383621	13.6667542	2.59591127	1.91670561	73.8	0	0	0	3
59	16	0	1.475	13.996885	11.5035561	10.3611001	13.996885	2.42747971	1.89766424	78.1	0	0	0	3
60	17	0	1.5	10.4097025	11.5016032	10.3611001	13.996885	2.12873479	1.87428288	88	0	0	0	3
61	17	0	1.525	13.7810844	11.660788	10.3611001	13.996885	2.04823641	1.84431153	90	0	0	0	3
62	17	0	1.55	10.5164933	11.6638467	10.3611001	13.996885	1.89004371	1.80609292	95.5	0	0	0	3
63	17	0	1.575	13.4404503	11.8023492	10.3611001	13.996885	1.8306361	1.76996334	96.6	0	0	0	3
64	18	0	1.6	10.5005448	11.718192	10.3611001	13.996885	1.80926897	1.73684456	95.9	0	0	0	3
65	18	0	1.625	11.9975146	11.7932917	10.3611001	13.996885	1.51542994	1.70231152	100	0	0	0	3
66	18	0	1.65	10.5252181	11.6436947	10.3611001	13.996885	1.40513088	1.66813881	100	0	0	0	3
67	18	0	1.675	14.2011872	11.8204318	10.3611001	14.2011872	1.19018357	1.6341664	100	0	0	0	3
68	19	0	1.7	10.5109163	11.6797592	10.3611001	14.2011872	1.13466912	1.62838509	100	0	0	0	3
69	19	0	1.725	13.188597	11.814402	10.3665224	14.2011872	0.954088509	1.62838509	100	0	0	0	3
70	19	0	1.75	10.533682	11.6774974	10.3665224	14.2011872	0.928965714	1.62838509	100	0	0	0	3
71	19	0	1.775	13.2903035	11.8147159	10.3665224	14.2011872	0.767618782	1.62838509	100	0	0	0	3
72	20	0	1.8	12.7528285	11.7858235	10.3665224	14.2011872	0.754423992	1.62838509	100	0	0	0	3
73	20	0	1.825	14.4727121	11.980019	10.3665224	14.4727121	0.763620133	1.62838509	100	0	0	0	3
74	20	0	1.85	10.518858	11.8485255	10.3665224	14.4727121	0.748210181	1.62838509	100	0	0	0	3
75	20	0	1.875	10.4665574	11.8498361	10.3665224	14.4727121	0.738401768	1.62838509	100	0	0	0	3
