Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	101379.119	101379.119	101379.119	101379.119	0	0	0	12646.8	0	0	3
2	2	0	0.05	101316.816	101347.968	101316.816	101379.119	31.1513919	0	0	14539.8	0	0	3
3	2	0	0.075	101358.519	101351.485	101316.816	101379.119	31.1513919	0	0	11620.3	0	0	3
4	2	0	0.1	101338.566	101348.255	101316.816	101379.119	31.1513919	0	0	6371.21	0	0	3
5	3	0	0.125	101325.291	101343.662	101316.816	101379.119	35.456889	0	0	2866.6	0	0	3
6	3	0	0.15	101324.891	101340.534	101316.816	101379.119	38.5853826	0	0	2272.94	0	0	3
7	3	0	0.175	101335.693	101339.842	101316.816	101379.119	39.2769819	0	0	2283.5	0	0	3
8	3	0	0.2	101325.263	101338.02	101316.816	101379.119	41.0994267	0	0	2248.28	0	0	3
9	4	0	0.225	101332.397	101337.395	101316.816	101379.119	41.7241537	0	0	2308.57	0	0	3
10	4	0	0.25	101327.847	101336.44	101316.816	101379.119	42.6789243	0	0	2180.57	0	0	3
11	4	0	0.275	101379.832	101340.385	101316.816	101379.832	42.6789243	0	0	2223.12	0	0	3
12	4	0	0.3	101433.927	101348.18	101316.816	101433.927	42.6789243	0	0	2214.76	0	0	3
13	4	0	0.325	101599.585	101367.519	101316.816	101599.585	42.6789243	0	0	2232.54	0	0	3
14	5	0	0.35	101752.053	101394.986	101316.816	101752.053	58.5453712	0	0	2266.25	0	0	3
15	5	0	0.375	101990.209	101434.667	101316.816	101990.209	98.2269268	0	0	2293.76	0	0	3
16	5	0	0.4	102171.256	101480.704	101316.816	102171.256	144.263695	0	0	2306.99	0	0	3
17	5	0	0.425	102412.861	101535.537	101316.816	102412.861	199.096453	0	0	2306.7	0	0	3
18	6	0	0.45	102671.14	101598.626	101316.816	102671.14	262.185515	0	0	2430.78	0	0	3
19	6	0	0.475	102916.271	101667.976	101316.816	102916.271	331.535288	0	0	2560.84	0	0	3
20	6	0	0.5	103106.78	101739.916	101316.816	103106.78	403.475518	0	0	2715.06	0	0	3
21	6	0	0.525	103209.569	101831.438	101316.816	103209.569	494.998026	0	0	3070.15	0	0	3
22	7	0	0.55	103322.919	101931.743	101324.891	103322.919	595.303149	0	0	3346.93	0	0	3
23	7	0	0.575	103419.331	102034.784	101324.891	103419.331	698.343786	0	0	3608.25	0	0	3
24	7	0	0.6	103527.921	102144.252	101324.891	103527.921	807.811549	0	0	3832.76	0	0	3
25	7	0	0.625	103600.588	102258.017	101324.891	103600.588	921.576382	0	0	3982.25	0	0	3
26	8	0	0.65	103655.246	102374.534	101325.263	103655.246	1038.0941	0	0	4108.88	0	0	3
27	8	0	0.675	103696.224	102492.561	101325.263	103696.224	1156.12067	0	0	4208.54	0	0	3
28	8	0	0.7	103745.173	102613.556	101327.847	103745.173	1277.11618	0	0	4315.51	0	0	3
29	8	0	0.725	103771.087	102735.491	101327.847	103771.087	1399.05068	0	0	4379.93	0	0	3
30	8	0	0.75	103814.727	102859.835	101379.832	103814.727	1519.44996	0	0	4502.45	0	0	3
31	10	0	0.775	103838.866	102982.787	101433.927	103838.866	1634.60655	0	0	4492.33	0	0	3
32	10	0	0.8	103874.659	103104.823	101599.585	103874.659	1737.30432	0	0	4577.64	0	0	3
33	10	0	0.825	103892.357	103219.462	101752.053	103892.357	1824.47618	0	0	4556.04	0	0	3
34	11	0	0.85	103930.28	103328.373	101990.209	103930.28	1893.706	0	0	4644.27	0	0	3
35	11	0	0.875	103946.315	103426.179	102171.256	103946.315	1775.05921	0	0	4623.66	0	0	3
36	11	0	0.9	103968.917	103516.062	102412.861	103968.917	1556.0558	0	0	4667.83	0	0	3
37	11	0	0.925	103983.494	103594.593	102671.14	103983.494	1312.35404	0	0	4671.95	0	0	3
38	11	0	0.95	104006.215	103661.347	102916.271	104006.215	1089.94345	0	0	4705.47	0	0	3
39	12	0	0.975	104012.439	103716.155	103106.78	104012.439	905.659018	0	0	4700.21	0	0	3
40	12	0	1	104028.582	103762.245	103209.569	104028.582	819.012623	405.553597	49.5	4745.59	0	0	3
41	12	0	1.025	104035.548	103803.544	103322.919	104035.548	712.629313	406.598524	57	4734.58	0	0	3
42	12	0	1.05	104049.648	103839.881	103419.331	104049.648	630.316694	407.656019	64.6	4774.27	0	0	3
43	13	0	1.075	104058.666	103871.848	103527.921	104058.666	530.745145	408.459436	76.9	4763.52	0	0	3
44	13	0	1.1	104074.576	103881.501	103527.921	104074.576	546.65424	409.457735	74.9	4801.65	0	0	3
45	13	0	1.125	104084.099	103907.986	103600.588	104084.099	483.511411	410.342426	84.8	4771.82	0	0	3
46	14	0	1.15	104097.109	103931.63	103655.246	104097.109	441.863321	411.257462	93	4831.6	0	0	3
47	14	0	1.175	104106.462	103953.116	103696.224	104106.462	410.238466	412.103535	100	4814.28	0	0	3
48	14	0	1.2	104119.283	103973.262	103745.173	104119.283	374.11038	412.978482	100	4868.74	0	0	3
49	14	0	1.225	104129.019	103991.54	103771.087	104129.019	357.931917	413.778179	100	4833.67	0	0	3
50	14	0	1.25	104140.415	104009.127	103814.727	104140.415	325.688168	414.588872	100	4886.75	0	0	3
51	15	0	1.275	104149.595	104025.074	103838.866	104149.595	310.729148	414.668479	100	4864.04	0	0	3
52	15	0	1.3	104164.077	104040.56	103874.659	104164.077	289.418389	414.239655	100	4914.59	0	0	3
53	15	0	1.325	104175.305	104054.876	103892.357	104175.305	282.948824	412.094916	100	4873.7	0	0	3
54	15	0	1.35	104189.679	104069.035	103930.28	104189.679	259.398373	408.776986	100	4922.99	0	0	3
55	16	0	1.375	104200.224	104081.889	103946.315	104200.224	253.909029	405.553597	100	4885.37	0	0	3
56	16	0	1.4	104213.088	104094.592	103968.917	104213.088	244.170993	405.553597	100	4930.6	0	0	3
57	16	0	1.425	104219.872	104106.543	103983.494	104219.872	236.377908	405.553597	100	4885.76	0	0	3
58	16	0	1.45	104228.506	104118.21	104006.215	104228.506	222.291323	405.553597	100	4944.56	0	0	3
59	16	0	1.475	104235.352	104129.121	104012.439	104235.352	222.913225	405.553597	100	4910.91	0	0	3
60	17	0	1.5	104244.756	104140.184	104028.582	104244.756	216.173651	405.553597	100	4953.76	0	0	3
61	17	0	1.525	104253.997	104150.918	104035.548	104253.997	218.448901	405.553597	100	4902.73	0	0	3
62	17	0	1.55	104265.071	104161.848	104049.648	104265.071	215.422659	405.553597	100	4947.45	0	0	3
63	17	0	1.575	104274.895	104172.574	104058.666	104274.895	216.228509	405.553597	100	4916.29	0	0	3
64	18	0	1.6	104287.671	104183.479	104074.576	104287.671	213.095001	405.553597	100	4986.69	0	0	3
65	18	0	1.625	104296.888	104194.065	104084.099	104296.888	212.788762	405.553597	100	4941.19	0	0	3
66	18	0	1.65	104308.246	104204.739	104097.109	104308.246	211.13653	405.553597	100	4998.27	0	0	3
67	18	0	1.675	104316.894	104215.205	104106.462	104316.894	210.431247	405.553597	100	4964.33	0	0	3
68	19	0	1.7	104329.233	104225.813	104119.283	104329.233	209.949769	405.553597	100	5018.64	0	0	3
69	19	0	1.725	104340.875	104236.365	104129.019	104340.875	211.85546	405.553597	100	4981.7	0	0	3
70	19	0	1.75	104354.509	104247.102	104140.415	104354.509	214.093809	405.553597	100	5030.31	0	0	3
71	19	0	1.775	104364.941	104257.794	104149.595	104364.941	215.345412	405.553597	100	5000.25	0	0	3
72	20	0	1.8	104376.57	104268.602	104164.077	104376.57	212.492545	405.553597	100	5052.99	0	0	3
73	20	0	1.825	104384.328	104279.09	104175.305	104384.328	209.022348	405.553597	100	5027.78	0	0	3
74	20	0	1.85	104392.023	104289.41	104189.679	104392.023	202.344488	405.553597	100	5072.08	0	0	3
75	20	0	1.875	104398.121	104299.336	104200.224	104398.121	197.897466	405.553597	100	5025.18	0	0	3
76	21	0	1.9	104409.086	104309.282	104213.088	104409.086	195.998449	405.553597	100	5060.59	0	0	3
77	21	0	1.925	104416.017	104318.945	104219.872	104416.017	196.145217	405.553597	100	5034.53	0	0	3
78	21	0	1.95	104426.516	104328.785	104228.506	104426.516	198.009593	405.553597	100	5078.07	0	0	3
79	21	0	1.975	104437.05	104338.716	104235.352	104437.05	201.697828	405.553597	100	5044.31	0	0	3
80	22	0	2	104448.952	104348.887	104244.756	104448.952	204.196614	405.553597	100	5102.39	0	0	3
81	22	0	2.025	104455.681	104358.932	104253.997	104455.681	201.683626	405.553597	100	5078	0	0	3
82	22	0	2.05	104465.804	104369.018	104265.071	104465.804	200.733528	405.553597	100	5130.53	0	0	3
83	22	0	2.075	104474.788	104379.004	104274.895	104474.788	199.892729	405.553597	100	5084.27	0	0	3
84	23	0	2.1	104491.075	104389.298	104287.671	104491.075	203.404525	405.553597	100	5121.4	0	0	3
85	23	0	2.125	104502.005	104399.505	104296.888	104502.005	205.116872	405.553597	100	5079.58	0	0	3
86	23	0	2.15	104516.506	104409.963	104308.246	104516.506	205.224207	405.553597	100	5144.66	0	0	3
87	23	0	2.175	104525.004	104420.285	104316.894	104525.004	205.080088	405.553597	100	5109.07	0	0	3
88	24	0	2.2	104535.916	104430.714	104329.233	104535.916	204.901577	405.553597	100	5172.92	0	0	3
89	24	0	2.225	104542.147	104440.853	104340.875	104542.147	201.272149	405.553597	100	5126.93	0	0	3
90	24	0	2.25	104552.474	104450.929	104354.509	104552.474	197.965646	405.553597	100	5180.23	0	0	3
91	24	0	2.275	104557.707	104460.605	104364.941	104557.707	192.766627	405.553597	100	5147.76	0	0	3
92	25	0	2.3	104568.819	104470.314	104376.57	104568.819	192.249213	405.553597	100	5200.14	0	0	3
93	25	0	2.325	104576.924	104479.854	104384.328	104576.924	192.595983	405.553597	100	5149.42	0	0	3
94	25	0	2.35	104590.451	104489.67	104392.023	104590.451	198.427713	405.553597	100	5182.91	0	0	3
95	26	0	2.375	104597.71	104499.464	104398.121	104597.71	199.588702	405.553597	100	5158.88	0	0	3
96	26	0	2.4	104609.967	104509.552	104409.086	104609.967	200.270427	405.553597	100	5225.09	0	0	3
97	26	0	2.425	104617.961	104519.499	104416.017	104617.961	200.553564	405.553597	100	5184.75	0	0	3
98	27	0	2.45	104629.558	104529.667	104426.516	104629.558	200.881967	405.553597	100	5228.58	0	0	3
99	27	0	2.475	104638.865	104539.779	104437.05	104638.865	201.063188	405.553597	100	5185.77	0	0	3
100	27	0	2.5	104651.569	104549.994	104448.952	104651.569	201.106955	405.553597	100	5243.99	0	0	3
101	27	0	2.525	104660.527	104560.069	104455.681	104660.527	201.137891	405.553597	100	5208.23	0	0	3
102	28	0	2.55	104669.174	104570.236	104465.804	104669.174	201.218199	405.553597	100	5280.58	0	0	3
103	28	0	2.575	104676.931	104580.289	104474.788	104676.931	201.285351	405.553597	100	5243.1	0	0	3
104	28	0	2.6	104690.472	104590.56	104491.075	104690.472	199.3972	405.553597	100	5286.02	0	0	3
105	29	0	2.625	104699.119	104600.467	104502.005	104699.119	197.114393	405.553597	100	5235.36	0	0	3
106	29	0	2.65	104713.709	104610.548	104516.506	104713.709	197.203521	405.553597	100	5282.76	0	0	3
107	29	0	2.675	104723.429	104620.402	104525.004	104723.429	198.425306	405.553597	100	5246.33	0	0	3
108	29	0	2.7	104736.094	104630.454	104535.916	104736.094	199.739372	405.553597	100	5305.7	0	0	3
109	30	0	2.725	104742.415	104640.287	104542.147	104742.415	199.43393	405.553597	100	5252.87	0	0	3
110	30	0	2.75	104752.214	104650.29	104552.474	104752.214	199.360979	405.553597	100	5288.94	0	0	3
111	30	0	2.775	104756.821	104660.021	104557.707	104756.821	199.113703	405.553597	100	5268.39	0	0	3
112	30	0	2.8	104766.205	104669.949	104568.819	104766.205	197.386231	405.553597	100	5342	0	0	3
113	31	0	2.825	104770.433	104679.55	104576.924	104770.433	193.509689	405.553597	100	5298.43	0	0	3
114	31	0	2.85	104780.531	104689.246	104590.451	104780.531	190.080024	405.553597	100	5352.2	0	0	3
115	31	0	2.875	104785.894	104698.552	104597.71	104785.894	188.183601	405.553597	100	5315	0	0	3
116	31	0	2.9	104797.484	104708.066	104609.967	104797.484	187.516907	405.553597	100	5368.01	0	0	3
117	32	0	2.925	104804.666	104717.337	104617.961	104804.666	186.704758	405.553597	100	5319.94	0	0	3
118	32	0	2.95	104814.455	104726.694	104629.558	104814.455	184.897414	405.553597	100	5378.62	0	0	3
119	32	0	2.975	104820.682	104735.795	104638.865	104820.682	181.816266	405.553597	100	5349.41	0	0	3
120	32	0	3	104832.226	104745.002	104651.569	104832.226	180.656441	405.553597	100	5397.58	0	0	3
121	33	0	3.025	104842.433	104754.091	104660.527	104842.433	181.906466	405.553597	100	5342.99	0	0	3
122	33	0	3.05	104853.442	104763.278	104669.174	104853.442	184.267936	405.553597	100	5396.38	0	0	3
123	33	0	3.075	104861.728	104772.447	104676.931	104861.728	184.796254	405.553597	100	5366.67	0	0	3
124	34	0	3.1	104872.187	104781.745	104690.472	104872.187	181.714864	405.553597	100	5436.26	0	0	3
125	34	0	3.125	104879.957	104790.768	104699.119	104879.957	180.83797	405.553597	100	5402.46	0	0	3
126	34	0	3.15	104890.48	104799.88	104713.709	104890.48	176.77099	405.553597	100	5461.24	0	0	3
127	34	0	3.175	104899.154	104808.711	104723.429	104899.154	175.724571	405.553597	100	5392.68	0	0	3
128	35	0	3.2	104908.522	104817.525	104736.094	104908.522	172.428316	405.553597	100	5442.42	0	0	3
129	35	0	3.225	104914.67	104826.029	104742.415	104914.67	172.254584	405.553597	100	5420.33	0	0	3
130	35	0	3.25	104923.72	104834.662	104752.214	104923.72	171.505759	405.553597	100	5474.35	0	0	3
131	36	0	3.275	104930.404	104843.147	104756.821	104930.404	173.582817	405.553597	100	5423.35	0	0	3
132	36	0	3.3	104942.863	104852.007	104766.205	104942.863	176.658124	405.553597	100	5485.6	0	0	3
133	36	0	3.325	104952.43	104860.874	104770.433	104952.43	181.324316	405.553597	100	5430.71	0	0	3
134	36	0	3.35	104964.486	104870.115	104780.531	104964.486	180.869306	405.553597	100	5502.52	0	0	3
135	37	0	3.375	104973.799	104879.318	104785.894	104973.799	180.765777	405.553597	100	5447.05	0	0	3
136	37	0	3.4	104984.685	104888.784	104797.484	104984.685	180.718961	405.553597	100	5499.04	0	0	3
137	37	0	3.425	104989.53	104897.93	104804.666	104989.53	180.592645	405.553597	100	5443.93	0	0	3
138	37	0	3.45	104996.859	104907.082	104814.455	104996.859	180.387845	405.553597	100	5516.98	0	0	3
139	38	0	3.475	105000.549	104915.943	104820.682	105000.549	179.866757	405.553597	100	5490.23	0	0	3
140	38	0	3.5	105008.429	104924.883	104832.226	105008.429	176.202861	405.553597	100	5550.56	0	0	3
