Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0.0776494135	0.0776494135	0.0776494135	0.0776494135	0	0	0	0	0	0	3
2	2	0	0.05	-0.0968290966	-0.00958984154	-0.0968290966	0.0776494135	0.087239255	0	0	0	0	0	3
3	2	0	0.075	-0.0615682891	-0.0269159907	-0.0968290966	0.0776494135	0.104565404	0	0	0	0	0	3
4	2	0	0.1	-0.00906218632	-0.0224525396	-0.0968290966	0.0776494135	0.104565404	0	0	0	0	0	3
5	3	0	0.125	0.0427434248	-0.00941334673	-0.0968290966	0.0776494135	0.104565404	0	0	0	0	0	3
6	3	0	0.15	0.0375216417	-0.00159084867	-0.0968290966	0.0776494135	0.104565404	0	0	0	0	0	3
7	3	0	0.175	0.0439081322	0.00490900575	-0.0968290966	0.0776494135	0.104565404	0	0	0	0	0	3
8	3	0	0.2	0.0151429572	0.00618824968	-0.0968290966	0.0776494135	0.104565404	0	0	0	0	0	3
9	4	0	0.225	0.00794158759	0.006383065	-0.0968290966	0.0776494135	0.104565404	0	0	0	0	0	3
10	4	0	0.25	0.0135664086	0.00710139937	-0.0968290966	0.0776494135	0.104565404	0	0	0	0	0	3
11	4	0	0.275	0.0971611834	0.0152886525	-0.0968290966	0.0971611834	0.104565404	0	0	0	0	0	3
12	4	0	0.3	0.225125688	0.0327750721	-0.0968290966	0.225125688	0.104565404	0	0	0	0	0	3
13	4	0	0.325	0.588253583	0.0755041883	-0.0968290966	0.588253583	0.104565404	0	0	0	0	0	3
14	5	0	0.35	1.19505715	0.155472257	-0.0968290966	1.19505715	0.182388247	0	0	0	0	0	3
15	5	0	0.375	2.06231841	0.282595334	-0.0968290966	2.06231841	0.309511324	0	0	0	0	0	3
16	5	0	0.4	2.98880016	0.451733136	-0.0968290966	2.98880016	0.478649126	0	0	0	0	0	3
17	5	0	0.425	4.57165819	0.694081668	-0.0968290966	4.57165819	0.720997659	0	0	0	0	0	3
18	6	0	0.45	6.44794525	1.01374076	-0.0968290966	6.44794525	1.04065675	0	0	0	0	0	3
19	6	0	0.475	8.34269281	1.39947508	-0.0968290966	8.34269281	1.42639107	0	0	0	0	0	3
20	6	0	0.5	9.77893006	1.81844782	-0.0968290966	9.77893006	1.84536381	0	0	0	0	0	3
