Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	-0.180475845	-0.180475845	-0.180475845	-0.180475845	0	0	0	0	0	0	3
2	2	0	0.05	0.244135414	0.0318297842	-0.180475845	0.244135414	0.212305629	0	0	0	0	0	3
3	2	0	0.075	0.0788218187	0.0474937957	-0.180475845	0.244135414	0.227969641	0	0	0	0	0	3
4	2	0	0.1	-0.0108334597	0.0329119819	-0.180475845	0.244135414	0.227969641	0	0	0	0	0	3
5	3	0	0.125	-0.0431972284	0.0176901398	-0.180475845	0.244135414	0.227969641	0	0	0	0	0	3
6	3	0	0.15	-0.0379862381	0.00841074348	-0.180475845	0.244135414	0.227969641	0	0	0	0	0	3
7	3	0	0.175	-0.0545758402	-0.000587339902	-0.180475845	0.244135414	0.227969641	0	0	0	0	0	3
8	3	0	0.2	-0.00655535018	-0.00133334119	-0.180475845	0.244135414	0.227969641	0	0	0	0	0	3
9	4	0	0.225	-0.020527876	-0.00346606728	-0.180475845	0.244135414	0.227969641	0	0	0	0	0	3
10	4	0	0.25	-0.0102855762	-0.00414801817	-0.180475845	0.244135414	0.227969641	0	0	0	0	0	3
11	4	0	0.275	-0.17776186	-0.0199310947	-0.180475845	0.244135414	0.227969641	0	0	0	0	0	3
12	4	0	0.3	-0.513078385	-0.0610267023	-0.513078385	0.244135414	0.227969641	0	0	0	0	0	3
13	4	0	0.325	-1.55313639	-0.17580437	-1.55313639	0.244135414	0.227969641	0	0	0	0	0	3
14	5	0	0.35	-3.31571323	-0.400083575	-3.31571323	0.244135414	0.447577371	0	0	0	0	0	3
15	5	0	0.375	-5.66222908	-0.750893276	-5.66222908	0.244135414	0.798387071	0	0	0	0	0	3
16	5	0	0.4	-8.15655107	-1.21374689	-8.15655107	0.244135414	1.26124068	0	0	0	0	0	3
17	5	0	0.425	-11.4835997	-1.81785588	-11.4835997	0.244135414	1.86534967	0	0	0	0	0	3
18	6	0	0.45	-15.4594579	-2.57572266	-15.4594579	0.244135414	2.62321645	0	0	0	0	0	3
19	6	0	0.475	-19.1799801	-3.44963094	-19.1799801	0.244135414	3.49712474	0	0	0	0	0	3
20	6	0	0.5	-22.4111865	-4.39770872	-22.4111865	0.244135414	4.44520252	0	0	0	0	0	3
21	6	0	0.525	-24.2525444	-5.60131215	-24.2525444	0.244135414	5.64880594	0	0	0	0	0	3
22	7	0	0.55	-25.9451833	-6.91077808	-25.9451833	0.0788218187	6.95827188	0	0	0	0	0	3
23	7	0	0.575	-27.7060059	-8.30001946	-27.7060059	-0.00655535018	8.33293145	0	0	0	0	0	3
24	7	0	0.6	-29.2352884	-9.76124221	-29.2352884	-0.00655535018	9.77893235	0	0	0	0	0	3
25	7	0	0.625	-30.2802397	-11.2730943	-30.2802397	-0.00655535018	11.2815051	0	0	0	0	0	3
26	8	0	0.65	-30.7347239	-12.8079312	-30.7347239	-0.00655535018	12.8073439	0	0	0	0	0	3
27	8	0	0.675	-30.904966	-14.3504507	-30.904966	-0.00655535018	14.3491174	0	0	0	0	0	3
28	8	0	0.7	-31.1765772	-15.9089518	-31.1765772	-0.0102855762	15.9054858	0	0	0	0	0	3
29	8	0	0.725	-31.0754024	-17.4616955	-31.1765772	-0.0102855762	17.4575475	0	0	0	0	0	3
30	8	0	0.75	-31.2631049	-19.0243365	-31.2631049	-0.17776186	19.0044054	0	0	0	0	0	3
31	10	0	0.775	-31.2087828	-20.5758876	-31.2631049	-0.513078385	20.5148609	0	0	0	0	0	3
32	10	0	0.8	-31.0717673	-22.103822	-31.2631049	-1.55313639	21.9280176	0	0	0	0	0	3
33	10	0	0.825	-31.1268829	-23.5825093	-31.2631049	-3.31571323	23.1824258	0	0	0	0	0	3
34	11	0	0.85	-31.2366294	-24.9785551	-31.2631049	-5.66222908	24.2276619	0	0	0	0	0	3
35	11	0	0.875	-30.9677536	-26.2438314	-31.2631049	-8.15655107	23.1065538	0	0	0	0	0	3
36	11	0	0.9	-31.1434182	-27.3931747	-31.2631049	-11.4835997	19.7795052	0	0	0	0	0	3
37	11	0	0.925	-31.1677732	-28.3773834	-31.2631049	-15.4594579	15.803647	0	0	0	0	0	3
38	11	0	0.95	-31.1164711	-29.1602341	-31.2631049	-19.1799801	12.0831248	0	0	0	0	0	3
39	12	0	0.975	-31.0559739	-29.7540337	-31.2631049	-22.4111865	8.85191842	0	0	0	0	0	3
40	12	0	1	-31.1675352	-30.1918512	-31.2631049	-24.2525444	7.01056053	4.70128901	67	0	0	0	3
41	12	0	1.025	-31.1473511	-30.5365915	-31.2631049	-25.9451833	5.31792165	4.70128901	88.4	0	0	0	3
42	12	0	1.05	-31.008535	-30.7897591	-31.2631049	-27.7060059	3.55709904	4.70128901	100	0	0	0	3
43	13	0	1.075	-31.1062592	-30.9597718	-31.2631049	-29.2352884	2.02781651	4.70128901	100	0	0	0	3
44	13	0	1.1	-31.2173678	-30.9720382	-31.2631049	-29.2352884	2.02781651	4.70128901	100	0	0	0	3
45	13	0	1.125	-31.2478239	-31.0678733	-31.2631049	-30.2802397	0.98286519	4.70128901	100	0	0	0	3
46	14	0	1.15	-31.1744422	-31.1104543	-31.2631049	-30.7347239	0.528380982	4.70128901	100	0	0	0	3
47	14	0	1.175	-31.2031742	-31.1327615	-31.2631049	-30.904966	0.358138892	4.70128901	100	0	0	0	3
48	14	0	1.2	-31.2561026	-31.1494823	-31.2631049	-30.9677536	0.295351347	4.70128901	100	0	0	0	3
49	14	0	1.225	-31.3457194	-31.1575367	-31.3457194	-30.9677536	0.377965794	4.70128901	100	0	0	0	3
50	14	0	1.25	-31.1998404	-31.1634623	-31.3457194	-30.9677536	0.377965794	4.70128901	100	0	0	0	3
51	15	0	1.275	-31.2479542	-31.1627408	-31.3457194	-30.9677536	0.377965794	4.70128901	100	0	0	0	3
