Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	-0.0285408751	-0.0285408751	-0.0285408751	-0.0285408751	0	0	0	0	0	0	3
2	2	0	0.05	0.0358365846	0.00364785478	-0.0285408751	0.0358365846	0.0321887298	0	0	0	0	0	3
3	2	0	0.075	0.0240216366	0.0104391154	-0.0285408751	0.0358365846	0.0389799904	0	0	0	0	0	3
4	2	0	0.1	0.00370986295	0.00875680227	-0.0285408751	0.0358365846	0.0389799904	0	0	0	0	0	3
5	3	0	0.125	-0.0162532116	0.00375479949	-0.0285408751	0.0358365846	0.0389799904	0	0	0	0	0	3
6	3	0	0.15	-0.014001554	0.000795407237	-0.0285408751	0.0358365846	0.0389799904	0	0	0	0	0	3
7	3	0	0.175	-0.0167623532	-0.00171284425	-0.0285408751	0.0358365846	0.0389799904	0	0	0	0	0	3
8	3	0	0.2	-0.00548943559	-0.00218491817	-0.0285408751	0.0358365846	0.0389799904	0	0	0	0	0	3
9	4	0	0.225	-0.0025491609	-0.00222538958	-0.0285408751	0.0358365846	0.0389799904	0	0	0	0	0	3
10	4	0	0.25	-0.00496643769	-0.00249949439	-0.0285408751	0.0358365846	0.0389799904	0	0	0	0	0	3
11	4	0	0.275	-0.0360587842	-0.00555033892	-0.0360587842	0.0358365846	0.0389799904	0	0	0	0	0	3
12	4	0	0.3	-0.086322415	-0.0122813453	-0.086322415	0.0358365846	0.0389799904	0	0	0	0	0	3
13	4	0	0.325	-0.221585164	-0.028381639	-0.221585164	0.0358365846	0.0389799904	0	0	0	0	0	3
14	5	0	0.35	-0.443504462	-0.0580332692	-0.443504462	0.0358365846	0.0684723846	0	0	0	0	0	3
15	5	0	0.375	-0.772054282	-0.10563467	-0.772054282	0.0358365846	0.116073785	0	0	0	0	0	3
16	5	0	0.4	-1.10958205	-0.168381381	-1.10958205	0.0358365846	0.178820497	0	0	0	0	0	3
17	5	0	0.425	-1.67647601	-0.25709283	-1.67647601	0.0358365846	0.267531946	0	0	0	0	0	3
18	6	0	0.45	-2.36407262	-0.374147263	-2.36407262	0.0358365846	0.384586379	0	0	0	0	0	3
19	6	0	0.475	-3.05891814	-0.515450994	-3.05891814	0.0358365846	0.525890109	0	0	0	0	0	3
20	6	0	0.5	-3.5469134	-0.667024114	-3.5469134	0.0358365846	0.677463229	0	0	0	0	0	3
21	6	0	0.525	-3.89932538	-0.860563339	-3.89932538	0.0358365846	0.871002455	0	0	0	0	0	3
22	7	0	0.55	-4.29386135	-1.07704824	-4.29386135	0.0240216366	1.08748735	0	0	0	0	0	3
23	7	0	0.575	-4.56779028	-1.30663883	-4.56779028	0.00370986295	1.31539563	0	0	0	0	0	3
24	7	0	0.6	-4.71762804	-1.54270573	-4.71762804	-0.0025491609	1.54646053	0	0	0	0	0	3
25	7	0	0.625	-4.67584704	-1.77568542	-4.71762804	-0.0025491609	1.77648083	0	0	0	0	0	3
26	8	0	0.65	-4.63167639	-2.00656916	-4.71762804	-0.0025491609	2.00485632	0	0	0	0	0	3
27	8	0	0.675	-4.58175194	-2.23481864	-4.71762804	-0.0025491609	2.23263372	0	0	0	0	0	3
28	8	0	0.7	-4.60503701	-2.46479602	-4.71762804	-0.0025491609	2.46257063	0	0	0	0	0	3
29	8	0	0.725	-4.59918864	-2.69462799	-4.71762804	-0.00496643769	2.6921285	0	0	0	0	0	3
30	8	0	0.75	-4.66405168	-2.92758225	-4.71762804	-0.0360587842	2.92203192	0	0	0	0	0	3
31	10	0	0.775	-4.63758344	-3.15765849	-4.71762804	-0.086322415	3.14537714	0	0	0	0	0	3
32	10	0	0.8	-4.65086288	-3.38588551	-4.71762804	-0.221585164	3.35750387	0	0	0	0	0	3
33	10	0	0.825	-4.64786439	-3.60719947	-4.71762804	-0.443504462	3.5491662	0	0	0	0	0	3
34	11	0	0.85	-4.58234196	-3.81414135	-4.71762804	-0.772054282	3.70850668	0	0	0	0	0	3
35	11	0	0.875	-4.59807521	-4.00544239	-4.71762804	-1.10958205	3.60804599	0	0	0	0	0	3
36	11	0	0.9	-4.56471158	-4.17819887	-4.71762804	-1.67647601	3.04115203	0	0	0	0	0	3
37	11	0	0.925	-4.52915013	-4.32083258	-4.71762804	-2.36407262	2.35355542	0	0	0	0	0	3
38	11	0	0.95	-4.5512768	-4.43019278	-4.71762804	-3.05891814	1.6587099	0	0	0	0	0	3
39	12	0	0.975	-4.54312446	-4.5044031	-4.71762804	-3.5469134	1.17071464	0	0	0	0	0	3
40	12	0	1	-4.50127008	-4.55212093	-4.71762804	-3.89932538	0.818302657	0.711247451	86.9	0	0	0	3
41	12	0	1.025	-4.54325089	-4.58431721	-4.71762804	-4.29386135	0.42376669	0.711247451	100	0	0	0	3
42	12	0	1.05	-4.5418818	-4.59671823	-4.71762804	-4.50127008	0.216357959	0.711247451	100	0	0	0	3
43	13	0	1.075	-4.54033907	-4.59534567	-4.71762804	-4.50127008	0.216357959	0.711247451	100	0	0	0	3
44	13	0	1.1	-4.50993368	-4.59127843	-4.71762804	-4.50127008	0.216357959	0.711247451	100	0	0	0	3
45	13	0	1.125	-4.54895765	-4.58324651	-4.67584704	-4.50127008	0.174576958	0.711247451	100	0	0	0	3
46	14	0	1.15	-4.52806573	-4.5762093	-4.66405168	-4.50127008	0.162781594	0.711247451	100	0	0	0	3
47	14	0	1.175	-4.52281041	-4.57102521	-4.66405168	-4.50127008	0.162781594	0.711247451	100	0	0	0	3
48	14	0	1.2	-4.51094695	-4.56765354	-4.66405168	-4.50127008	0.162781594	0.711247451	100	0	0	0	3
49	14	0	1.225	-4.51348031	-4.5632937	-4.66405168	-4.50127008	0.162781594	0.711247451	100	0	0	0	3
50	14	0	1.25	-4.50386303	-4.55875439	-4.66405168	-4.50127008	0.162781594	0.711247451	100	0	0	0	3
51	15	0	1.275	-4.51097819	-4.55146517	-4.65086288	-4.50127008	0.149592801	0.711247451	100	0	0	0	3
52	15	0	1.3	-4.4883521	-4.54435892	-4.65086288	-4.4883521	0.162510785	0.711247451	100	0	0	0	3
53	15	0	1.325	-4.48683543	-4.53654809	-4.64786439	-4.48683543	0.161028961	0.711247451	100	0	0	0	3
54	15	0	1.35	-4.48539142	-4.52881128	-4.59807521	-4.48539142	0.11268379	0.711247451	100	0	0	0	3
55	16	0	1.375	-4.48794781	-4.52431632	-4.59807521	-4.48539142	0.11268379	0.711247451	100	0	0	0	3
56	16	0	1.4	-4.48592341	-4.51897576	-4.56471158	-4.48539142	0.0793201662	0.711247451	100	0	0	0	3
57	16	0	1.425	-4.4829944	-4.51508446	-4.5512768	-4.4829944	0.0682823912	0.711247451	100	0	0	0	3
58	16	0	1.45	-4.46280883	-4.51192535	-4.5512768	-4.46280883	0.0884679662	0.711247451	100	0	0	0	3
59	16	0	1.475	-4.46650259	-4.50788849	-4.54895765	-4.46280883	0.0861488161	0.711247451	100	0	0	0	3
60	17	0	1.5	-4.43425215	-4.50270409	-4.54895765	-4.43425215	0.0940141399	0.711247451	100	0	0	0	3
61	17	0	1.525	-4.44091111	-4.49982986	-4.54895765	-4.43425215	0.0968883764	0.711247451	100	0	0	0	3
62	17	0	1.55	-4.42193489	-4.4940529	-4.54895765	-4.42193489	0.102665329	0.711247451	100	0	0	0	3
63	17	0	1.575	-4.42116049	-4.48830427	-4.54895765	-4.42116049	0.107041402	0.711247451	100	0	0	0	3
64	18	0	1.6	-4.42314851	-4.48272377	-4.54895765	-4.42116049	0.108554667	0.711247451	100	0	0	0	3
65	18	0	1.625	-4.41117506	-4.47802098	-4.54895765	-4.41117506	0.105225535	0.711247451	100	0	0	0	3
66	18	0	1.65	-4.39263024	-4.47057681	-4.52806573	-4.39263024	0.105632492	0.711247451	100	0	0	0	3
67	18	0	1.675	-4.39301446	-4.4641458	-4.52281041	-4.39263024	0.10687941	0.711247451	100	0	0	0	3
68	19	0	1.7	-4.38981116	-4.4578125	-4.51348031	-4.38981116	0.109841041	0.711247451	100	0	0	0	3
69	19	0	1.725	-4.39485187	-4.45228417	-4.51348031	-4.38981116	0.111009535	0.711247451	100	0	0	0	3
70	19	0	1.75	-4.37469809	-4.44567549	-4.51097819	-4.37469809	0.113078898	0.711247451	100	0	0	0	3
71	19	0	1.775	-4.39070894	-4.4402872	-4.51097819	-4.37469809	0.111177974	0.711247451	100	0	0	0	3
72	20	0	1.8	-4.36619049	-4.43339255	-4.4883521	-4.36619049	0.110966372	0.711247451	100	0	0	0	3
73	20	0	1.825	-4.39151153	-4.42878109	-4.48794781	-4.36619049	0.107766997	0.711247451	100	0	0	0	3
74	20	0	1.85	-4.35178145	-4.42234995	-4.48794781	-4.35178145	0.10646133	0.711247451	100	0	0	0	3
75	20	0	1.875	-4.33832613	-4.41534684	-4.48794781	-4.33832613	0.10896948	0.711247451	100	0	0	0	3
76	21	0	1.9	-4.33441634	-4.40803582	-4.48592341	-4.33441634	0.110939941	0.711247451	100	0	0	0	3
77	21	0	1.925	-4.35744356	-4.40191773	-4.4829944	-4.33441634	0.113166735	0.711247451	100	0	0	0	3
78	21	0	1.95	-4.32606579	-4.39444494	-4.46650259	-4.32606579	0.117480416	0.711247451	100	0	0	0	3
79	21	0	1.975	-4.34289816	-4.38873491	-4.46650259	-4.32606579	0.119153582	0.711247451	100	0	0	0	3
80	22	0	2	-4.34202487	-4.3828074	-4.44091111	-4.32606579	0.114845329	0.711247451	100	0	0	0	3
81	22	0	2.025	-4.34541214	-4.37857692	-4.44091111	-4.32606579	0.114845329	0.711247451	100	0	0	0	3
82	22	0	2.05	-4.31849255	-4.37274746	-4.42314851	-4.31849255	0.10465596	0.711247451	100	0	0	0	3
83	22	0	2.075	-4.31424773	-4.3676195	-4.42314851	-4.31424773	0.108900785	0.711247451	100	0	0	0	3
84	23	0	2.1	-4.30508759	-4.36209222	-4.42314851	-4.30508759	0.118060928	0.711247451	100	0	0	0	3
85	23	0	2.125	-4.33241532	-4.35777159	-4.41117506	-4.30508759	0.106087473	0.711247451	100	0	0	0	3
86	23	0	2.15	-4.30812807	-4.35286459	-4.39485187	-4.30508759	0.0897642839	0.711247451	100	0	0	0	3
87	23	0	2.175	-4.31023611	-4.34894106	-4.39485187	-4.30508759	0.0897642839	0.711247451	100	0	0	0	3
88	24	0	2.2	-4.28717457	-4.34390107	-4.39485187	-4.28717457	0.107677297	0.711247451	100	0	0	0	3
89	24	0	2.225	-4.30163621	-4.33970226	-4.39485187	-4.28717457	0.107677297	0.711247451	100	0	0	0	3
90	24	0	2.25	-4.25840143	-4.33320462	-4.39151153	-4.25840143	0.112470867	0.711247451	100	0	0	0	3
91	24	0	2.275	-4.29612095	-4.32946285	-4.39151153	-4.25840143	0.110824345	0.711247451	100	0	0	0	3
92	25	0	2.3	-4.26088148	-4.32328059	-4.39151153	-4.25840143	0.110111953	0.711247451	100	0	0	0	3
93	25	0	2.325	-4.24503205	-4.31751114	-4.39151153	-4.24503205	0.111269947	0.711247451	100	0	0	0	3
94	25	0	2.35	-4.2310915	-4.30987209	-4.35744356	-4.2310915	0.112477854	0.711247451	100	0	0	0	3
95	26	0	2.375	-4.25184168	-4.30511306	-4.35744356	-4.2310915	0.110233782	0.711247451	100	0	0	0	3
96	26	0	2.4	-4.23796438	-4.30033393	-4.35744356	-4.2310915	0.10770189	0.711247451	100	0	0	0	3
97	26	0	2.425	-4.24790251	-4.29621422	-4.35744356	-4.2310915	0.105703508	0.711247451	100	0	0	0	3
98	27	0	2.45	-4.21659621	-4.2895072	-4.34541214	-4.21659621	0.104937733	0.711247451	100	0	0	0	3
99	27	0	2.475	-4.21729481	-4.28432763	-4.34541214	-4.21659621	0.104407272	0.711247451	100	0	0	0	3
100	27	0	2.5	-4.208104	-4.27790886	-4.34541214	-4.208104	0.10489853	0.711247451	100	0	0	0	3
101	27	0	2.525	-4.23171569	-4.27265605	-4.34541214	-4.208104	0.105920872	0.711247451	100	0	0	0	3
102	28	0	2.55	-4.2081781	-4.26612109	-4.33241532	-4.208104	0.106626371	0.711247451	100	0	0	0	3
103	28	0	2.575	-4.19278673	-4.2601351	-4.33241532	-4.19278673	0.107484402	0.711247451	100	0	0	0	3
104	28	0	2.6	-4.18039406	-4.25376112	-4.33241532	-4.18039406	0.108331105	0.711247451	100	0	0	0	3
105	29	0	2.625	-4.19292711	-4.24842014	-4.33241532	-4.18039406	0.109351451	0.711247451	100	0	0	0	3
106	29	0	2.65	-4.18725735	-4.24150786	-4.31023611	-4.18039406	0.111356736	0.711247451	100	0	0	0	3
107	29	0	2.675	-4.20086307	-4.2364	-4.31023611	-4.18039406	0.112541063	0.711247451	100	0	0	0	3
108	29	0	2.7	-4.18000144	-4.23019835	-4.30163621	-4.18000144	0.113702718	0.711247451	100	0	0	0	3
109	30	0	2.725	-4.1638644	-4.22432644	-4.30163621	-4.1638644	0.115375824	0.711247451	100	0	0	0	3
110	30	0	2.75	-4.17487814	-4.21829034	-4.29612095	-4.1638644	0.114914283	0.711247451	100	0	0	0	3
111	30	0	2.775	-4.16660945	-4.21391929	-4.29612095	-4.1638644	0.115543562	0.711247451	100	0	0	0	3
112	30	0	2.8	-4.16336857	-4.20759775	-4.26088148	-4.16336857	0.097512911	0.711247451	100	0	0	0	3
113	31	0	2.825	-4.16388869	-4.20297905	-4.25184168	-4.16336857	0.0884731075	0.711247451	100	0	0	0	3
114	31	0	2.85	-4.1516502	-4.19853229	-4.25184168	-4.1516502	0.100191473	0.711247451	100	0	0	0	3
115	31	0	2.875	-4.15637942	-4.19497457	-4.25184168	-4.1516502	0.100191473	0.711247451	100	0	0	0	3
116	31	0	2.9	-4.15329676	-4.19028196	-4.24790251	-4.1516502	0.0962523041	0.711247451	100	0	0	0	3
117	32	0	2.925	-4.1499653	-4.18609152	-4.24790251	-4.1499653	0.097937205	0.711247451	100	0	0	0	3
118	32	0	2.95	-4.13608372	-4.18076682	-4.23171569	-4.13608372	0.0956319657	0.711247451	100	0	0	0	3
119	32	0	2.975	-4.11037977	-4.1757089	-4.23171569	-4.11037977	0.108618739	0.711247451	100	0	0	0	3
120	32	0	3	-4.13177024	-4.1716363	-4.23171569	-4.11037977	0.106272568	0.711247451	100	0	0	0	3
121	33	0	3.025	-4.11725145	-4.16730998	-4.23171569	-4.11037977	0.105346062	0.711247451	100	0	0	0	3
122	33	0	3.05	-4.10737772	-4.16138913	-4.2081781	-4.10737772	0.100800382	0.711247451	100	0	0	0	3
123	33	0	3.075	-4.1134067	-4.15687621	-4.20086307	-4.10737772	0.0934853459	0.711247451	100	0	0	0	3
124	34	0	3.1	-4.11380954	-4.15311539	-4.20086307	-4.10737772	0.0934853459	0.711247451	100	0	0	0	3
125	34	0	3.125	-4.09926068	-4.14925189	-4.20086307	-4.09926068	0.0991682503	0.711247451	100	0	0	0	3
126	34	0	3.15	-4.09186658	-4.14443949	-4.20086307	-4.09186658	0.0970683725	0.711247451	100	0	0	0	3
127	34	0	3.175	-4.06890195	-4.13880351	-4.20086307	-4.06890195	0.0975964872	0.711247451	100	0	0	0	3
128	35	0	3.2	-4.07824069	-4.13296435	-4.18000144	-4.06890195	0.0972339974	0.711247451	100	0	0	0	3
129	35	0	3.225	-4.07095055	-4.12777145	-4.17487814	-4.06890195	0.0965549838	0.711247451	100	0	0	0	3
130	35	0	3.25	-4.04796582	-4.12225247	-4.17487814	-4.04796582	0.0960378648	0.711247451	100	0	0	0	3
