Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	101889.975	101889.975	101889.975	101889.975	0	0	0	10186.3	0	0	3
2	2	0	0.05	101462.478	101676.227	101462.478	101889.975	213.748479	0	0	12565.3	0	0	3
3	2	0	0.075	101400.113	101584.189	101400.113	101889.975	305.78624	0	0	9556.6	0	0	3
4	2	0	0.1	101314.36	101516.732	101314.36	101889.975	373.243457	0	0	3972.36	0	0	3
5	3	0	0.125	101327.741	101478.934	101314.36	101889.975	411.041509	0	0	1798.02	0	0	3
6	3	0	0.15	101310.141	101450.802	101310.141	101889.975	439.173553	0	0	1319.12	0	0	3
7	3	0	0.175	101332.006	101433.831	101310.141	101889.975	456.144303	0	0	1065.14	0	0	3
8	3	0	0.2	101313.054	101418.734	101310.141	101889.975	471.241435	0	0	663.991	0	0	3
9	4	0	0.225	101327.797	101408.63	101310.141	101889.975	481.345509	0	0	419.078	0	0	3
10	4	0	0.25	101311.707	101398.937	101310.141	101889.975	491.037775	0	0	465.535	0	0	3
11	4	0	0.275	101331.977	101392.85	101310.141	101889.975	497.125067	0	0	458.867	0	0	3
12	4	0	0.3	101319.755	101386.759	101310.141	101889.975	503.216335	0	0	379.345	0	0	3
13	4	0	0.325	101338.772	101383.068	101310.141	101889.975	506.907655	0	0	412.478	0	0	3
14	5	0	0.35	101338.256	101379.867	101310.141	101889.975	510.108513	0	0	523.499	0	0	3
15	5	0	0.375	101349.314	101377.83	101310.141	101889.975	512.145389	0	0	754.249	0	0	3
16	5	0	0.4	101351.309	101376.172	101310.141	101889.975	513.802938	0	0	917.707	0	0	3
17	5	0	0.425	101352.284	101374.767	101310.141	101889.975	515.208131	0	0	1200.28	0	0	3
18	6	0	0.45	101351.826	101373.493	101310.141	101889.975	516.482642	0	0	1474.9	0	0	3
19	6	0	0.475	101348.325	101372.168	101310.141	101889.975	517.807236	0	0	1854.76	0	0	3
20	6	0	0.5	101345.019	101370.811	101310.141	101889.975	519.164671	0	0	2209.46	0	0	3
21	6	0	0.525	101340.44	101343.334	101310.141	101462.478	152.336812	0	0	2441.48	0	0	3
22	7	0	0.55	101336.632	101337.041	101310.141	101400.113	89.9720094	0	0	2655.82	0	0	3
23	7	0	0.575	101332.369	101333.654	101310.141	101352.284	42.1425536	0	0	2864.19	0	0	3
24	7	0	0.6	101330.643	101334.468	101310.141	101352.284	42.1425536	0	0	3070.6	0	0	3
25	7	0	0.625	101328.626	101334.513	101310.141	101352.284	42.1425536	0	0	3177.25	0	0	3
26	8	0	0.65	101327.902	101335.401	101311.707	101352.284	40.5769487	0	0	3273.21	0	0	3
27	8	0	0.675	101325.752	101335.088	101311.707	101352.284	40.5769487	0	0	3343.09	0	0	3
28	8	0	0.7	101324.247	101335.648	101311.707	101352.284	40.5769487	0	0	3442.21	0	0	3
29	8	0	0.725	101322.223	101335.369	101311.707	101352.284	40.5769487	0	0	3482.77	0	0	3
30	8	0	0.75	101321.451	101335.856	101319.755	101352.284	32.5290625	0	0	3605.42	0	0	3
31	10	0	0.775	101320.985	101335.306	101319.755	101352.284	32.5290625	0	0	3591.5	0	0	3
32	10	0	0.8	101320.634	101335.35	101320.634	101352.284	31.6501427	0	0	3683.88	0	0	3
33	10	0	0.825	101320.228	101334.423	101320.228	101352.284	32.0556859	0	0	3656.29	0	0	3
34	11	0	0.85	101319.926	101333.507	101319.926	101352.284	32.3576608	0	0	3748.16	0	0	3
35	11	0	0.875	101319.552	101332.019	101319.552	101352.284	32.7319079	0	0	3720.07	0	0	3
36	11	0	0.9	101319.835	101330.445	101319.552	101352.284	32.7319079	0	0	3765.16	0	0	3
37	11	0	0.925	101319.633	101328.812	101319.552	101351.826	32.2738047	0	0	3769.02	0	0	3
38	11	0	0.95	101319.449	101327.194	101319.449	101348.325	28.8759267	0	0	3812.12	0	0	3
39	12	0	0.975	101319.306	101325.743	101319.306	101345.019	25.7132444	0	0	3808.64	0	0	3
40	12	0	1	101319.222	101324.453	101319.222	101340.44	18.8809416	13.4958014	0	3860.75	0	0	3
41	12	0	1.025	101319.088	101323.385	101319.088	101336.632	13.6562197	13.4958014	0	3847.69	0	0	3
42	12	0	1.05	101319.198	101322.514	101319.088	101332.369	13.2805569	13.4958014	0	3888.35	0	0	3
43	13	0	1.075	101319.262	101321.858	101319.088	101330.643	11.5551347	13.4958014	0	3877.81	0	0	3
44	13	0	1.1	101319.292	101321.736	101319.088	101330.643	11.5551347	13.4958014	0	3918.88	0	0	3
45	13	0	1.125	101319.23	101321.193	101319.088	101328.626	9.53847169	13.4958014	0	3905.09	0	0	3
46	14	0	1.15	101319.061	101320.737	101319.061	101327.902	8.84124789	13.4958014	0	3947.05	0	0	3
47	14	0	1.175	101319.043	101320.315	101319.043	101325.752	6.70934456	13.4958014	0	3938.13	0	0	3
48	14	0	1.2	101319.092	101319.998	101319.043	101324.247	5.20375081	13.4958014	0	3977.52	0	0	3
49	14	0	1.225	101319.083	101319.752	101319.043	101322.223	3.18038524	13.4958014	0	3961.71	0	0	3
50	14	0	1.25	101318.964	101319.597	101318.964	101321.451	2.48646372	13.4958014	0	3996.9	0	0	3
51	15	0	1.275	101318.814	101319.471	101318.814	101320.985	2.17116601	13.4958014	0	3981.84	0	0	3
52	15	0	1.3	101318.928	101319.373	101318.814	101320.634	1.81984865	13.4958014	0	4022.72	0	0	3
53	15	0	1.325	101318.992	101319.295	101318.814	101320.228	1.41430546	13.4958014	0	3998.7	0	0	3
54	15	0	1.35	101318.799	101319.227	101318.799	101319.926	1.12775409	13.4958014	0	4034.39	0	0	3
55	16	0	1.375	101318.894	101319.178	101318.799	101319.835	1.03678652	13.4958014	0	4014.78	0	0	3
56	16	0	1.4	101318.917	101319.148	101318.799	101319.835	1.03678652	13.4958014	0	4054.02	0	0	3
57	16	0	1.425	101318.887	101319.103	101318.799	101319.633	0.834605573	13.4958014	0	4028.07	0	0	3
58	16	0	1.45	101319.027	101319.074	101318.799	101319.449	0.650764925	13.4958014	0	4059.19	0	0	3
59	16	0	1.475	101319	101319.052	101318.799	101319.306	0.507460081	13.4958014	0	4037.6	0	0	3
60	17	0	1.5	101318.846	101319.03	101318.799	101319.292	0.493285376	13.4958014	0	4072.27	0	0	3
61	17	0	1.525	101318.866	101319.013	101318.799	101319.292	0.493285376	13.4958014	0	4050.62	0	0	3
62	17	0	1.55	101318.835	101319.001	101318.799	101319.292	0.493285376	13.4958014	0	4083.73	0	0	3
63	17	0	1.575	101318.709	101318.978	101318.709	101319.292	0.58247127	13.4958014	0	4066.47	0	0	3
64	18	0	1.6	101318.941	101318.963	101318.709	101319.292	0.58247127	13.4958014	0	4104.65	0	0	3
65	18	0	1.625	101318.947	101318.946	101318.709	101319.23	0.520469889	13.4958014	0	4083.57	0	0	3
66	18	0	1.65	101319.043	101318.938	101318.709	101319.092	0.382520263	13.4958014	0	4117.59	0	0	3
67	18	0	1.675	101318.879	101318.929	101318.709	101319.092	0.382520263	13.4958014	0	4102	0	0	3
