Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0	0	0	0	0	0	0	1139.23	0	0	3
2	1	0	0.05	0	0	0	0	0	0	0	1139.32	0	0	3
3	1	0	0.075	0	0	0	0	0	0	0	1247.56	0	0	3
4	2	0	0.1	0	0	0	0	0	0	0	1321.25	0	0	3
5	2	0	0.125	0	0	0	0	0	0	0	1201.42	0	0	3
6	2	0	0.15	0	0	0	0	0	0	0	1143.78	0	0	3
7	2	0	0.175	0	0	0	0	0	0	0	1143.4	0	0	3
8	3	0	0.2	0	0	0	0	0	0	0	1143.03	0	0	3
9	3	0	0.225	0	0	0	0	0	0	0	1142.75	0	0	3
10	3	0	0.25	0	0	0	0	0	0	0	1142.48	0	0	3
11	3	0	0.275	0	0	0	0	0	0	0	1142.27	0	0	3
12	4	0	0.3	0	0	0	0	0	0	0	1142.07	0	0	3
13	4	0	0.325	0	0	0	0	0	0	0	1141.88	0	0	3
14	4	0	0.35	0	0	0	0	0	0	0	1153.24	0	0	3
15	4	0	0.375	0	0	0	0	0	0	0	1157.86	0	0	3
16	5	0	0.4	0	0	0	0	0	0	0	1161.15	0	0	3
17	5	0	0.425	0	0	0	0	0	0	0	1153.94	0	0	3
18	5	0	0.45	0	0	0	0	0	0	0	1159.29	0	0	3
19	5	0	0.475	0	0	0	0	0	0	0	1153.07	0	0	3
20	5	0	0.5	0	0	0	0	0	0	0	1149.42	0	0	3
21	6	0	0.525	0	0	0	0	0	0	0	1144.89	0	0	3
22	6	0	0.55	0	0	0	0	0	0	0	1142.64	0	0	3
23	6	0	0.575	0	0	0	0	0	0	0	1145.04	0	0	3
24	6	0	0.6	0	0	0	0	0	0	0	1149.07	0	0	3
25	7	0	0.625	0	0	0	0	0	0	0	1197.41	0	0	3
26	7	0	0.65	0	0	0	0	0	0	0	1232.65	0	0	3
27	7	0	0.675	0	0	0	0	0	0	0	1253.49	0	0	3
28	8	0	0.7	0	0	0	0	0	0	0	1268.95	0	0	3
29	8	0	0.725	0	0	0	0	0	0	0	1283.17	0	0	3
30	8	0	0.75	0	0	0	0	0	0	0	1290.75	0	0	3
31	8	0	0.775	0	0	0	0	0	0	0	1297.45	0	0	3
32	9	0	0.8	0	0	0	0	0	0	0	1296.26	0	0	3
33	9	0	0.825	0	0	0	0	0	0	0	1297.64	0	0	3
34	9	0	0.85	0	0	0	0	0	0	0	1299.6	0	0	3
35	9	0	0.875	0	0	0	0	0	0	0	1302.51	0	0	3
36	9	0	0.9	0	0	0	0	0	0	0	1305.57	0	0	3
37	10	0	0.925	0	0	0	0	0	0	0	1307	0	0	3
38	10	0	0.95	0	0	0	0	0	0	0	1305.27	0	0	3
39	10	0	0.975	0	0	0	0	0	0	0	1306.8	0	0	3
40	10	0	1	0	0	0	0	0	0	100	1308.37	0	0	3
41	11	0	1.025	0	0	0	0	0	0	100	1312.61	0	0	3
42	11	0	1.05	0	0	0	0	0	0	100	1313.05	0	0	3
43	11	0	1.075	0	0	0	0	0	0	100	1316.54	0	0	3
44	11	0	1.1	0	0	0	0	0	0	100	1317.23	0	0	3
45	12	0	1.125	0	0	0	0	0	0	100	1319.96	0	0	3
46	12	0	1.15	0	0	0	0	0	0	100	1316.36	0	0	3
47	12	0	1.175	0	0	0	0	0	0	100	1317.79	0	0	3
48	12	0	1.2	0	0	0	0	0	0	100	1318.99	0	0	3
49	13	0	1.225	0	0	0	0	0	0	100	1319	0	0	3
50	13	0	1.25	0	0	0	0	0	0	100	1321.12	0	0	3
51	13	0	1.275	0	0	0	0	0	0	100	1319.37	0	0	3
52	13	0	1.3	0	0	0	0	0	0	100	1322.74	0	0	3
53	13	0	1.325	0	0	0	0	0	0	100	1321.31	0	0	3
54	14	0	1.35	0	0	0	0	0	0	100	1320.36	0	0	3
55	14	0	1.375	0	0	0	0	0	0	100	1319.35	0	0	3
56	14	0	1.4	0	0	0	0	0	0	100	1319.52	0	0	3
57	14	0	1.425	0	0	0	0	0	0	100	1319.92	0	0	3
58	15	0	1.45	0	0	0	0	0	0	100	1323.1	0	0	3
59	15	0	1.475	0	0	0	0	0	0	100	1323.49	0	0	3
60	15	0	1.5	0	0	0	0	0	0	100	1322.73	0	0	3
61	15	0	1.525	0	0	0	0	0	0	100	1320.76	0	0	3
62	16	0	1.55	0	0	0	0	0	0	100	1322.05	0	0	3
63	16	0	1.575	0	0	0	0	0	0	100	1320.8	0	0	3
64	16	0	1.6	0	0	0	0	0	0	100	1321.92	0	0	3
65	17	0	1.625	0	0	0	0	0	0	100	1322.19	0	0	3
66	17	0	1.65	0	0	0	0	0	0	100	1324.63	0	0	3
67	17	0	1.675	0	0	0	0	0	0	100	1323.32	0	0	3
