Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.05	0.000187574036	9.3787018e-05	0	0.000187574036	9.3787018e-05	0	0	0	0	0	3
3	1	0	0.075	-5.64509714e-06	6.06429796e-05	-5.64509714e-06	0.000187574036	9.3787018e-05	0	0	0	0	0	3
4	2	0	0.1	1.92725826e-07	4.55304162e-05	-5.64509714e-06	0.000187574036	9.3787018e-05	0	0	0	0	0	3
5	2	0	0.125	-5.12236799e-06	3.53998593e-05	-5.64509714e-06	0.000187574036	9.3787018e-05	0	0	0	0	0	3
6	2	0	0.15	-2.25357992e-06	2.91242861e-05	-5.64509714e-06	0.000187574036	9.3787018e-05	0	0	0	0	0	3
7	2	0	0.175	-3.41364413e-06	2.44760104e-05	-5.64509714e-06	0.000187574036	9.3787018e-05	0	0	0	0	0	3
8	3	0	0.2	-5.63821249e-06	2.07117325e-05	-5.64509714e-06	0.000187574036	9.3787018e-05	0	0	0	0	0	3
9	3	0	0.225	-0.000100210839	7.27589121e-06	-0.000100210839	0.000187574036	9.3787018e-05	0	0	0	0	0	3
10	3	0	0.25	-0.000376588817	-3.11105796e-05	-0.000376588817	0.000187574036	0.000124897598	0	0	0	0	0	3
11	3	0	0.275	-0.000183099719	-4.49277741e-05	-0.000376588817	0.000187574036	0.000138714792	0	0	0	0	0	3
12	4	0	0.3	-0.00204144303	-0.000211304046	-0.00204144303	0.000187574036	0.000305091064	0	0	0	0	0	3
13	4	0	0.325	-0.00337454398	-0.000454630195	-0.00337454398	0.000187574036	0.000548417213	0	0	0	0	0	3
14	4	0	0.35	-0.00504171793	-0.000782279319	-0.00504171793	0.000187574036	0.000876066337	0	0	0	0	0	3
15	4	0	0.375	-0.00663302031	-0.00117232872	-0.00663302031	0.000187574036	0.00126611574	0	0	0	0	0	3
16	5	0	0.4	-0.00863253164	-0.0016385914	-0.00863253164	0.000187574036	0.00173237842	0	0	0	0	0	3
17	5	0	0.425	-0.0124101757	-0.00227221401	-0.0124101757	0.000187574036	0.00236600103	0	0	0	0	0	3
18	5	0	0.45	-0.0174739268	-0.00311675361	-0.0174739268	0.000187574036	0.00321054062	0	0	0	0	0	3
19	5	0	0.475	-0.0170306969	-0.00384906641	-0.0174739268	0.000187574036	0.00394285343	0	0	0	0	0	3
20	5	0	0.5	-0.0175979571	-0.00453651095	-0.0175979571	0.000187574036	0.00463029797	0	0	0	0	0	3
21	6	0	0.525	-0.0203161981	-0.00555232085	-0.0203161981	0.000187574036	0.00564610787	0	0	0	0	0	3
22	6	0	0.55	-0.0209722715	-0.00661031313	-0.0209722715	1.92725826e-07	0.00667095611	0	0	0	0	0	3
23	6	0	0.575	-0.0158430439	-0.00740218307	-0.0209722715	1.92725826e-07	0.00744771349	0	0	0	0	0	3
24	6	0	0.6	-0.00873383307	-0.00783888436	-0.0209722715	-2.25357992e-06	0.00787428422	0	0	0	0	0	3
25	7	0	0.625	-0.00657663953	-0.00816746022	-0.0209722715	-2.25357992e-06	0.0081965845	0	0	0	0	0	3
26	7	0	0.65	-0.000658002493	-0.00820024766	-0.0209722715	-3.41364413e-06	0.00822472367	0	0	0	0	0	3
27	7	0	0.675	-0.00192499796	-0.00829632688	-0.0209722715	-5.63821249e-06	0.00831703861	0	0	0	0	0	3
28	8	0	0.7	0.00548229428	-0.00802193025	-0.0209722715	0.00548229428	0.00830360277	0	0	0	0	0	3
29	8	0	0.725	-0.00147768796	-0.00809080411	-0.0209722715	0.00548229428	0.0082652163	0	0	0	0	0	3
30	8	0	0.75	0.00902683105	-0.00762063312	-0.0209722715	0.00902683105	0.0082513991	0	0	0	0	0	3
31	8	0	0.775	0.00177385554	-0.00752278535	-0.0209722715	0.00902683105	0.00808502283	0	0	0	0	0	3
32	9	0	0.8	0.00927540732	-0.00695694284	-0.0209722715	0.00927540732	0.00784169668	0	0	0	0	0	3
33	9	0	0.825	-0.00138615323	-0.0068575233	-0.0209722715	0.00927540732	0.00751404756	0	0	0	0	0	3
34	9	0	0.85	0.00742483353	-0.00623419572	-0.0209722715	0.00927540732	0.00712399816	0	0	0	0	0	3
35	9	0	0.875	0.000855859492	-0.00585975173	-0.0209722715	0.00927540732	0.00665773548	0	0	0	0	0	3
36	9	0	0.9	0.00731790621	-0.00506222984	-0.0209722715	0.00927540732	0.00602411287	0	0	0	0	0	3
37	10	0	0.925	-0.000399239166	-0.00446168301	-0.0209722715	0.00927540732	0.00517957327	0	0	0	0	0	3
38	10	0	0.95	0.00937215727	-0.00311937881	-0.0209722715	0.00937215727	0.00517694807	0	0	0	0	0	3
39	10	0	0.975	0.00116905115	-0.00220939141	-0.0209722715	0.00937215727	0.00608693547	0	0	0	0	0	3
40	10	0	1	0.00909583832	-0.000874701635	-0.0209722715	0.00937215727	0.00742162524	0.00455166432	61.3	0	0	0	3
41	11	0	1.025	0.00013378053	0.000147797295	-0.0209722715	0.00937215727	0.00844412417	0.00455166432	53.9	0	0	0	3
42	11	0	1.05	0.0161758232	0.00200520203	-0.0158430439	0.0161758232	0.0103015289	0.00506193926	49.1	0	0	0	3
43	11	0	1.075	-0.000120493252	0.00279132956	-0.00873383307	0.0161758232	0.0110876564	0.00523203091	47.1	0	0	0	3
44	11	0	1.1	0.0129522634	0.00327518355	-0.00873383307	0.0161758232	0.0115715104	0.00531707673	45.9	0	0	0	3
45	12	0	1.125	-0.00514437355	0.00344611019	-0.00657663953	0.0161758232	0.0117424371	0.00536810422	45.7	0	0	0	3
46	12	0	1.15	0.0203453785	0.00472811105	-0.00514437355	0.0203453785	0.0130244379	0.00550636144	42.2	0	0	0	3
47	12	0	1.175	-0.00197883668	0.00466521419	-0.00514437355	0.0203453785	0.0130244379	0.00560511659	43	0	0	0	3
48	12	0	1.2	0.0198531375	0.00570226826	-0.00514437355	0.0203453785	0.0137930724	0.00567918295	41.1	0	0	0	3
49	13	0	1.225	-0.00494142169	0.00520590083	-0.00514437355	0.0203453785	0.0137930724	0.00573679012	41.5	0	0	0	3
50	13	0	1.25	0.0139590486	0.00594098352	-0.00514437355	0.0203453785	0.0135616166	0.00578287586	42.6	0	0	0	3
51	13	0	1.275	-0.00163289002	0.00543337776	-0.00514437355	0.0203453785	0.0134637689	0.00582058237	43.2	0	0	0	3
52	13	0	1.3	0.0154245516	0.0060834109	-0.00514437355	0.0203453785	0.0130403537	0.00585200447	44.8	0	0	0	3
53	13	0	1.325	-0.00335648713	0.00548189212	-0.00514437355	0.0203453785	0.0129409342	0.00587859239	45.4	0	0	0	3
54	14	0	1.35	0.0114494608	0.00609311183	-0.00514437355	0.0203453785	0.0123273076	0.00590138204	47.8	0	0	0	3
55	14	0	1.375	-0.00271298035	0.00561035879	-0.00514437355	0.0203453785	0.0119528636	0.00592113307	49.5	0	0	0	3
56	14	0	1.4	0.0178187497	0.00641811547	-0.00514437355	0.0203453785	0.0114803453	0.00593841523	51.7	0	0	0	3
57	14	0	1.425	-0.0023521205	0.005957638	-0.00514437355	0.0203453785	0.0108797985	0.00595366418	54.7	0	0	0	3
58	15	0	1.45	0.0152074857	0.00670081538	-0.00514437355	0.0203453785	0.00982019419	0.00596721881	60.7	0	0	0	3
59	15	0	1.475	-0.00224552305	0.00614759251	-0.00514437355	0.0203453785	0.00891020678	0.00597934664	67.1	0	0	0	3
60	15	0	1.5	0.0201870933	0.00705321356	-0.00514437355	0.0203453785	0.0079279152	0.00599026168	75.5	0	0	0	3
61	15	0	1.525	-0.0023600032	0.0065076973	-0.00514437355	0.0203453785	0.00690541627	0.0060001372	86.8	0	0	0	3
62	16	0	1.55	0.01805384	0.00736103346	-0.00514437355	0.0203453785	0.00535583143	0.00600911494	100	0	0	0	3
63	16	0	1.575	0.000647562815	0.00662159249	-0.00514437355	0.0203453785	0.0045697039	0.00598386052	100	0	0	0	3
64	16	0	1.6	0.021555618	0.00765378827	-0.00514437355	0.021555618	0.00437860471	0.00592384207	100	0	0	0	3
65	17	0	1.625	-0.00286707412	0.00690048648	-0.00514437355	0.021555618	0.00420767807	0.00585568193	100	0	0	0	3
66	17	0	1.65	0.0183120842	0.00801746066	-0.00494142169	0.021555618	0.00335224647	0.00578450181	100	0	0	0	3
67	17	0	1.675	-0.00303219182	0.00690424303	-0.00494142169	0.021555618	0.00335224647	0.00571859428	100	0	0	0	3
68	18	0	1.7	0.0200392807	0.0079527248	-0.00494142169	0.021555618	0.00281155983	0.00565739444	100	0	0	0	3
69	18	0	1.725	-0.00576888955	0.00673262828	-0.00576888955	0.021555618	0.00281155983	0.00560364554	100	0	0	0	3
70	18	0	1.75	0.0141661767	0.00764251392	-0.00576888955	0.021555618	0.0025840829	0.00555347989	100	0	0	0	3
71	18	0	1.775	-0.00333213671	0.00681912414	-0.00576888955	0.021555618	0.0025840829	0.00550655073	100	0	0	0	3
72	19	0	1.8	0.0176445676	0.00773709831	-0.00576888955	0.021555618	0.00253556854	0.00546255465	100	0	0	0	3
73	19	0	1.825	-0.00697959295	0.00667023429	-0.00697959295	0.021555618	0.00253556854	0.0054267282	100	0	0	0	3
74	19	0	1.85	0.0137671298	0.00748564462	-0.00697959295	0.021555618	0.00240710187	0.00539300918	100	0	0	0	3
75	19	0	1.875	-0.00264121614	0.00681466001	-0.00697959295	0.021555618	0.00240710187	0.00536121697	100	0	0	0	3
76	20	0	1.9	0.0186453825	0.0078317249	-0.00697959295	0.021555618	0.00205982266	0.00533119098	100	0	0	0	3
77	20	0	1.925	-0.00470235675	0.00675929126	-0.00697959295	0.021555618	0.00205982266	0.00530278803	100	0	0	0	3
78	20	0	1.95	0.0170630659	0.00768382394	-0.00697959295	0.021555618	0.00186986815	0.00527587997	100	0	0	0	3
79	21	0	1.975	-0.00288078681	0.00682247764	-0.00697959295	0.021555618	0.00186986815	0.0052503518	100	0	0	0	3
80	21	0	2	0.0177192048	0.00777317896	-0.00697959295	0.021555618	0.00150976336	0.00522610005	100	0	0	0	3
81	21	0	2.025	-0.00380440626	0.0066307266	-0.00697959295	0.021555618	0.00150976336	0.00520303131	100	0	0	0	3
82	21	0	2.05	0.0171415503	0.00755937201	-0.00697959295	0.021555618	0.00139586817	0.00518106108	100	0	0	0	3
83	22	0	2.075	-0.000347899513	0.0066830987	-0.00697959295	0.021555618	0.00139586817	0.00516011272	100	0	0	0	3
84	22	0	2.1	0.015699726	0.00739986837	-0.00697959295	0.021555618	0.00138673406	0.00514011656	100	0	0	0	3
85	22	0	2.125	-0.00169845163	0.00629253172	-0.00697959295	0.0200392807	0.00172492894	0.00512100912	100	0	0	0	3
86	23	0	2.15	0.0216443355	0.00745974171	-0.00697959295	0.0216443355	0.00172492894	0.00510302173	100	0	0	0	3
87	23	0	2.175	-0.00449098493	0.00637388127	-0.00697959295	0.0216443355	0.00166019308	0.00508579976	100	0	0	0	3
88	23	0	2.2	0.0138076639	0.00717577916	-0.00697959295	0.0216443355	0.00166019308	0.00506929537	100	0	0	0	3
89	24	0	2.225	-0.000403044095	0.00620233513	-0.00697959295	0.0216443355	0.00162938978	0.00505346464	100	0	0	0	3
90	24	0	2.25	0.0157020143	0.00722475912	-0.00697959295	0.0216443355	0.00162938978	0.00503826713	100	0	0	0	3
91	24	0	2.275	0.00133656534	0.00661382524	-0.00697959295	0.0216443355	0.00162938978	0.0050236656	100	0	0	0	3
92	24	0	2.3	0.0219541694	0.00781793506	-0.00697959295	0.0219541694	0.00162938978	0.00501051943	100	0	0	0	3
93	25	0	2.325	-0.00362899611	0.00680490821	-0.00697959295	0.0219541694	0.00162938978	0.00499786933	100	0	0	0	3
94	25	0	2.35	0.0177172126	0.00798094657	-0.00470235675	0.0219541694	0.00177861144	0.00498568776	100	0	0	0	3
95	25	0	2.375	-0.0027913963	0.00719244533	-0.00470235675	0.0219541694	0.00177861144	0.00497394915	100	0	0	0	3
96	25	0	2.4	0.0168633838	0.0081212358	-0.00470235675	0.0219541694	0.00191890067	0.00496262978	100	0	0	0	3
