Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0	0	0	0	0	0	0	43.622	0	0	3
2	1	0	0.05	0	0	0	0	0	0	0	43.5632	0	0	3
3	1	0	0.075	0	0	0	0	0	0	0	44.6764	0	0	3
4	2	0	0.1	0	0	0	0	0	0	0	46.721	0	0	3
5	2	0	0.125	0	0	0	0	0	0	0	44.9009	0	0	3
6	2	0	0.15	0	0	0	0	0	0	0	43.6254	0	0	3
7	2	0	0.175	0	0	0	0	0	0	0	43.6253	0	0	3
8	3	0	0.2	0	0	0	0	0	0	0	43.624	0	0	3
9	3	0	0.225	0	0	0	0	0	0	0	43.6237	0	0	3
10	3	0	0.25	0	0	0	0	0	0	0	43.623	0	0	3
11	3	0	0.275	0	0	0	0	0	0	0	43.623	0	0	3
12	4	0	0.3	0	0	0	0	0	0	0	43.6227	0	0	3
13	4	0	0.325	0	0	0	0	0	0	0	43.6382	0	0	3
14	4	0	0.35	0	0	0	0	0	0	0	43.8913	0	0	3
15	4	0	0.375	0	0	0	0	0	0	0	43.9797	0	0	3
16	5	0	0.4	0	0	0	0	0	0	0	44.0404	0	0	3
17	5	0	0.425	0	0	0	0	0	0	0	43.9054	0	0	3
18	5	0	0.45	0	0	0	0	0	0	0	44.0008	0	0	3
19	5	0	0.475	0	0	0	0	0	0	0	43.883	0	0	3
20	5	0	0.5	0	0	0	0	0	0	0	43.8145	0	0	3
21	6	0	0.525	0	0	0	0	0	0	0	43.7314	0	0	3
22	6	0	0.55	0	0	0	0	0	0	0	43.6887	0	0	3
23	6	0	0.575	0	0	0	0	0	0	0	43.7341	0	0	3
24	6	0	0.6	0	0	0	0	0	0	0	43.81	0	0	3
25	7	0	0.625	0	0	0	0	0	0	0	44.7272	0	0	3
26	7	0	0.65	0	0	0	0	0	0	0	45.38	0	0	3
27	7	0	0.675	0	0	0	0	0	0	0	45.7622	0	0	3
28	8	0	0.7	0	0	0	0	0	0	0	46.0438	0	0	3
29	8	0	0.725	0	0	0	0	0	0	0	46.3013	0	0	3
30	8	0	0.75	0	0	0	0	0	0	0	46.4379	0	0	3
31	8	0	0.775	0	0	0	0	0	0	0	46.5579	0	0	3
32	9	0	0.8	0	0	0	0	0	0	0	46.5369	0	0	3
33	9	0	0.825	0	0	0	0	0	0	0	46.5621	0	0	3
34	9	0	0.85	0	0	0	0	0	0	0	46.5975	0	0	3
35	9	0	0.875	0	0	0	0	0	0	0	46.6496	0	0	3
36	9	0	0.9	0	0	0	0	0	0	0	46.7039	0	0	3
37	10	0	0.925	0	0	0	0	0	0	0	46.7295	0	0	3
38	10	0	0.95	0	0	0	0	0	0	0	46.6988	0	0	3
