Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.05	0.000181653294	9.08266468e-05	0	0.000181653294	9.08266468e-05	0	0	0	0	0	3
3	1	0	0.075	2.32782629e-06	6.132704e-05	0	0.000181653294	9.08266468e-05	0	0	0	0	0	3
4	2	0	0.1	2.90007077e-06	4.67202977e-05	0	0.000181653294	9.08266468e-05	0	0	0	0	0	3
5	2	0	0.125	6.54608845e-06	3.86854558e-05	0	0.000181653294	9.08266468e-05	0	0	0	0	0	3
6	2	0	0.15	5.06125394e-06	3.30814222e-05	0	0.000181653294	9.08266468e-05	0	0	0	0	0	3
7	2	0	0.175	3.73397133e-06	2.88889292e-05	0	0.000181653294	9.08266468e-05	0	0	0	0	0	3
8	3	0	0.2	5.72784226e-05	3.24376159e-05	0	0.000181653294	9.08266468e-05	0	0	0	0	0	3
9	3	0	0.225	4.37096027e-05	3.36900589e-05	0	0.000181653294	9.08266468e-05	0	0	0	0	0	3
10	3	0	0.25	0.000323305285	6.26515815e-05	0	0.000323305285	9.08266468e-05	0	0	0	0	0	3
11	3	0	0.275	0.000145365289	7.01710094e-05	0	0.000323305285	9.08266468e-05	0	0	0	0	0	3
12	4	0	0.3	0.000962899691	0.000144565066	0	0.000962899691	0.000144565066	0	0	0	0	0	3
13	4	0	0.325	0.001615215	0.000257691984	0	0.001615215	0.000257691984	0	0	0	0	0	3
14	4	0	0.35	0.00296998748	0.000451427376	0	0.00296998748	0.000451427376	0	0	0	0	0	3
15	4	0	0.375	0.00389902036	0.000681266909	0	0.00389902036	0.000681266909	0	0	0	0	0	3
16	5	0	0.4	0.0058878969	0.00100668128	0	0.0058878969	0.00100668128	0	0	0	0	0	3
17	5	0	0.425	0.00955527405	0.00150953968	0	0.00955527405	0.00150953968	0	0	0	0	0	3
18	5	0	0.45	0.0147172554	0.00224330167	0	0.0147172554	0.00224330167	0	0	0	0	0	3
19	5	0	0.475	0.0218560961	0.00327555401	0	0.0218560961	0.00327555401	0	0	0	0	0	3
20	5	0	0.5	0.0296410714	0.00459382988	0	0.0296410714	0.00459382988	0	0	0	0	0	3
21	6	0	0.525	0.0516996722	0.00717881349	2.32782629e-06	0.0516996722	0.00714992456	0	0	0	0	0	3
