Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.05	0.0299611888	0.0149805944	0	0.0299611888	0.0149805944	0	0	0	0	0	3
3	1	0	0.075	0.000251142455	0.0100707771	0	0.0299611888	0.0149805944	0	0	0	0	0	3
4	2	0	0.1	0.000716663714	0.00773224874	0	0.0299611888	0.0149805944	0	0	0	0	0	3
5	2	0	0.125	0.000440368994	0.00627387279	0	0.0299611888	0.0149805944	0	0	0	0	0	3
6	2	0	0.15	0.00067208954	0.00534024225	0	0.0299611888	0.0149805944	0	0	0	0	0	3
7	2	0	0.175	0.0010909962	0.0047332071	0	0.0299611888	0.0149805944	0	0	0	0	0	3
8	3	0	0.2	0.0051644703	0.004787115	0	0.0299611888	0.0149805944	0	0	0	0	0	3
9	3	0	0.225	0.00359463915	0.00465461768	0	0.0299611888	0.0149805944	0	0	0	0	0	3
10	3	0	0.25	0.0161966274	0.00580881865	0	0.0299611888	0.0149805944	0	0	0	0	0	3
11	3	0	0.275	0.0101667595	0.00620499509	0	0.0299611888	0.0149805944	0	0	0	0	0	3
12	4	0	0.3	0.0755984804	0.0119877855	0	0.0755984804	0.0149805944	0	0	0	0	0	3
13	4	0	0.325	0.107492698	0.0193343173	0	0.107492698	0.0193343173	0	0	0	0	0	3
14	4	0	0.35	0.169917299	0.0300902445	0	0.169917299	0.0300902445	0	0	0	0	0	3
15	4	0	0.375	0.296429276	0.0478461799	0	0.296429276	0.0478461799	0	0	0	0	0	3
16	5	0	0.4	0.516348327	0.0771275641	0	0.516348327	0.0771275641	0	0	0	0	0	3
17	5	0	0.425	0.760798217	0.117343485	0	0.760798217	0.117343485	0	0	0	0	0	3
18	5	0	0.45	0.998783639	0.166312382	0	0.998783639	0.166312382	0	0	0	0	0	3
19	5	0	0.475	1.38401925	0.230402218	0	1.38401925	0.230402218	0	0	0	0	0	3
20	5	0	0.5	1.55049671	0.296406942	0	1.55049671	0.296406942	0	0	0	0	0	3
21	6	0	0.525	1.60356366	0.376585125	0.000251142455	1.60356366	0.371930507	0	0	0	0	0	3
22	6	0	0.55	2.37709731	0.493941931	0.000251142455	2.37709731	0.489287313	0	0	0	0	0	3
23	6	0	0.575	3.05691416	0.646775082	0.000440368994	3.05691416	0.642120464	0	0	0	0	0	3
24	6	0	0.6	2.70229959	0.781854228	0.000440368994	3.05691416	0.77719961	0	0	0	0	0	3
25	7	0	0.625	3.11834306	0.937749363	0.00067208954	3.11834306	0.933094745	0	0	0	0	0	3
26	7	0	0.65	3.44931339	1.11018143	0.0010909962	3.44931339	1.10552681	0	0	0	0	0	3
27	7	0	0.675	3.73964585	1.29710917	0.00359463915	3.73964585	1.29245455	0	0	0	0	0	3
28	8	0	0.7	3.92821116	1.49326151	0.00359463915	3.92821116	1.48860689	0	0	0	0	0	3
29	8	0	0.725	4.02260631	1.69421209	0.0101667595	4.02260631	1.68840327	0	0	0	0	0	3
30	8	0	0.75	4.09957012	1.89838076	0.0101667595	4.09957012	1.89217577	0	0	0	0	0	3
31	8	0	0.775	4.14867235	2.10530604	0.0755984804	4.14867235	2.09331826	0	0	0	0	0	3
32	9	0	0.8	4.14552408	2.30880232	0.107492698	4.14867235	2.28946801	0	0	0	0	0	3
33	9	0	0.825	4.14244909	2.51055014	0.169917299	4.14867235	2.4804599	0	0	0	0	0	3
34	9	0	0.85	4.17055708	2.71058213	0.296429276	4.17055708	2.66273595	0	0	0	0	0	3
35	9	0	0.875	4.23887207	2.90770427	0.516348327	4.23887207	2.83057671	0	0	0	0	0	3
36	9	0	0.9	4.28081684	3.0959277	0.760798217	4.28081684	2.97858421	0	0	0	0	0	3
37	10	0	0.925	4.27220014	3.27149779	0.998783639	4.28081684	3.10518541	0	0	0	0	0	3
38	10	0	0.95	4.25148335	3.43413278	1.38401925	4.28081684	2.89679759	0	0	0	0	0	3
39	10	0	0.975	4.27172108	3.57851787	1.55049671	4.28081684	2.73032013	0	0	0	0	0	3
40	10	0	1	4.28802356	3.71539421	1.60356366	4.28802356	2.6844599	0.643165862	23.9	0	0	0	3
41	11	0	1.025	4.25666658	3.84804936	2.37709731	4.28802356	1.91092625	0.643165862	33.6	0	0	0	3
42	11	0	1.05	4.25432333	3.94191066	2.70229959	4.28802356	1.58572397	0.643165862	40.5	0	0	0	3
43	11	0	1.075	4.25983923	4.00205691	2.70229959	4.28802356	1.58572397	0.643165862	40.5	0	0	0	3
44	11	0	1.1	4.237651	4.01327568	2.70229959	4.28802356	1.58572397	0.643165862	40.5	0	0	0	3
45	12	0	1.125	4.28773464	4.08877259	3.11834306	4.28802356	1.16968049	0.643165862	54.9	0	0	0	3
46	12	0	1.15	4.30030001	4.14505625	3.44931339	4.30030001	0.850986613	0.643442265	75.6	0	0	0	3
47	12	0	1.175	4.26923029	4.18409991	3.73964585	4.30030001	0.560654158	0.643647848	100	0	0	0	3
48	12	0	1.2	4.23449399	4.20766411	3.92821116	4.30030001	0.372088842	0.643755093	100	0	0	0	3
49	13	0	1.225	4.23963062	4.22249361	4.02260631	4.30030001	0.277693693	0.643838505	100	0	0	0	3
50	13	0	1.25	4.21281873	4.23155134	4.09957012	4.30030001	0.200729884	0.643806654	100	0	0	0	3
