Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-0.261347508	-0.261347508	-0.261347508	-0.261347508	0	0	0	0	0	0	3
2	1	0	0.05	0.345184362	0.0419184274	-0.261347508	0.345184362	0.303265935	0	0	0	0	0	3
3	1	0	0.075	0.099455159	0.0610973379	-0.261347508	0.345184362	0.322444845	0	0	0	0	0	3
4	2	0	0.1	-0.0155453252	0.0419366721	-0.261347508	0.345184362	0.322444845	0	0	0	0	0	3
5	2	0	0.125	-0.0391298	0.0257233777	-0.261347508	0.345184362	0.322444845	0	0	0	0	0	3
6	2	0	0.15	-0.0493865834	0.0132050509	-0.261347508	0.345184362	0.322444845	0	0	0	0	0	3
7	2	0	0.175	-0.063981664	0.00217837732	-0.261347508	0.345184362	0.322444845	0	0	0	0	0	3
8	3	0	0.2	-0.0120402408	0.00040105005	-0.261347508	0.345184362	0.322444845	0	0	0	0	0	3
9	3	0	0.225	-0.0493947867	-0.0051318207	-0.261347508	0.345184362	0.322444845	0	0	0	0	0	3
10	3	0	0.25	-0.0230859365	-0.00692723228	-0.261347508	0.345184362	0.322444845	0	0	0	0	0	3
11	3	0	0.275	-0.258853019	-0.0298295765	-0.261347508	0.345184362	0.322444845	0	0	0	0	0	3
12	4	0	0.3	-0.703676541	-0.0859834902	-0.703676541	0.345184362	0.322444845	0	0	0	0	0	3
13	4	0	0.325	-2.11649576	-0.242176742	-2.11649576	0.345184362	0.322444845	0	0	0	0	0	3
14	4	0	0.35	-4.56274308	-0.550788623	-4.56274308	0.345184362	0.611885961	0	0	0	0	0	3
15	4	0	0.375	-7.78816482	-1.03328037	-7.78816482	0.345184362	1.09437771	0	0	0	0	0	3
16	5	0	0.4	-11.2702971	-1.67309391	-11.2702971	0.345184362	1.73419125	0	0	0	0	0	3
17	5	0	0.425	-16.032258	-2.51775062	-16.032258	0.345184362	2.57884796	0	0	0	0	0	3
18	5	0	0.45	-21.5646356	-3.5759109	-21.5646356	0.345184362	3.63700824	0	0	0	0	0	3
19	5	0	0.475	-26.9769617	-4.80754515	-26.9769617	0.345184362	4.86864249	0	0	0	0	0	3
20	5	0	0.5	-31.5299905	-6.14366742	-31.5299905	0.345184362	6.20476476	0	0	0	0	0	3
21	6	0	0.525	-34.0380189	-7.83250099	-34.0380189	0.345184362	7.89359833	0	0	0	0	0	3
22	6	0	0.55	-37.1828852	-9.70890447	-37.1828852	0.099455159	9.77000181	0	0	0	0	0	3
23	6	0	0.575	-39.977532	-11.7127538	-39.977532	-0.0120402408	11.7546905	0	0	0	0	0	3
24	6	0	0.6	-41.7155581	-13.7977545	-41.7155581	-0.0120402408	13.8234778	0	0	0	0	0	3
25	7	0	0.625	-43.4967447	-15.9706352	-43.4967447	-0.0120402408	15.9838403	0	0	0	0	0	3
26	7	0	0.65	-44.5971386	-18.1980228	-44.5971386	-0.0120402408	18.2002012	0	0	0	0	0	3
27	7	0	0.675	-44.9081025	-20.4402288	-44.9081025	-0.0120402408	20.4406299	0	0	0	0	0	3
28	8	0	0.7	-44.8129283	-22.6802733	-44.9081025	-0.0230859365	22.6751414	0	0	0	0	0	3
29	8	0	0.725	-44.7213436	-24.9138707	-44.9081025	-0.0230859365	24.9069435	0	0	0	0	0	3
30	8	0	0.75	-45.0884985	-27.1671413	-45.0884985	-0.258853019	27.1373117	0	0	0	0	0	3
31	8	0	0.775	-45.0596314	-29.4071802	-45.0884985	-0.703676541	29.3211968	0	0	0	0	0	3
32	9	0	0.8	-44.516336	-31.5978132	-45.0884985	-2.11649576	31.3556365	0	0	0	0	0	3
33	9	0	0.825	-44.8113375	-33.7325553	-45.0884985	-4.56274308	33.1817667	0	0	0	0	0	3
34	9	0	0.85	-44.8477563	-35.746806	-45.0884985	-7.78816482	34.7135256	0	0	0	0	0	3
35	9	0	0.875	-44.51645	-37.5832202	-45.0884985	-11.2702971	33.8182014	0	0	0	0	0	3
36	9	0	0.9	-44.2307894	-39.2312448	-45.0884985	-16.032258	29.0562405	0	0	0	0	0	3
37	10	0	0.925	-44.4381904	-40.6515415	-45.0884985	-21.5646356	23.5238628	0	0	0	0	0	3
38	10	0	0.95	-44.2191511	-41.7842672	-45.0884985	-26.9769617	18.1115368	0	0	0	0	0	3
39	10	0	0.975	-44.45385	-42.6581116	-45.0884985	-31.5299905	13.558508	0	0	0	0	0	3
40	10	0	1	-44.5353184	-43.308378	-45.0884985	-34.0380189	11.0504796	6.77819304	61.3	0	0	0	3
41	11	0	1.025	-44.4967633	-43.8313153	-45.0884985	-37.1828852	7.90561328	6.77819304	85.7	0	0	0	3
42	11	0	1.05	-44.4134705	-44.1928445	-45.0884985	-39.977532	5.11096651	6.77819304	100	0	0	0	3
43	11	0	1.075	-44.6090441	-44.4244201	-45.0884985	-41.7155581	3.37294037	6.77819304	100	0	0	0	3
44	11	0	1.1	-44.7469124	-44.4397769	-45.0884985	-41.7155581	3.37294037	6.77819304	100	0	0	0	3
45	12	0	1.125	-44.7384674	-44.583725	-45.0884985	-43.4967447	1.59175376	6.77819304	100	0	0	0	3
46	12	0	1.15	-44.637124	-44.6380287	-45.0884985	-44.2191511	0.869347385	6.77819304	100	0	0	0	3
47	12	0	1.175	-44.7848267	-44.6469663	-45.0884985	-44.2191511	0.869347385	6.77819304	100	0	0	0	3
48	12	0	1.2	-44.9055471	-44.6468446	-45.0884985	-44.2191511	0.869347385	6.77819304	100	0	0	0	3
49	13	0	1.225	-44.8698799	-44.6495566	-45.0884985	-44.2191511	0.869347385	6.77819304	100	0	0	0	3
50	13	0	1.25	-44.8358806	-44.6550107	-45.0884985	-44.2191511	0.869347385	6.77819304	100	0	0	0	3
51	13	0	1.275	-44.8500825	-44.6436576	-45.0596314	-44.2191511	0.840480359	6.77819304	100	0	0	0	3
52	13	0	1.3	-44.9318028	-44.6375705	-44.9318028	-44.2191511	0.712651733	6.77819304	100	0	0	0	3
53	13	0	1.325	-44.7737378	-44.6498277	-44.9318028	-44.2191511	0.712651733	6.77819304	100	0	0	0	3
