Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.0030945993	0.0030945993	0.0030945993	0.0030945993	0	0	0	0	0	0	3
2	1	0	0.05	-0.00613420806	-0.00151980438	-0.00613420806	0.0030945993	0.00461440368	0	0	0	0	0	3
3	1	0	0.075	0.000965387285	-0.000691407158	-0.00613420806	0.0030945993	0.00461440368	0	0	0	0	0	3
4	2	0	0.1	-0.00151896586	-0.000898296835	-0.00613420806	0.0030945993	0.00461440368	0	0	0	0	0	3
5	2	0	0.125	0.000692332153	-0.000580171037	-0.00613420806	0.0030945993	0.00461440368	0	0	0	0	0	3
6	2	0	0.15	0.000214931531	-0.000447653942	-0.00613420806	0.0030945993	0.00461440368	0	0	0	0	0	3
7	2	0	0.175	0.00112416014	-0.000223109074	-0.00613420806	0.0030945993	0.00461440368	0	0	0	0	0	3
8	3	0	0.2	0.000576243943	-0.000123189947	-0.00613420806	0.0030945993	0.00461440368	0	0	0	0	0	3
9	3	0	0.225	0.000444089851	-6.0158858e-05	-0.00613420806	0.0030945993	0.00461440368	0	0	0	0	0	3
10	3	0	0.25	0.000888071413	3.4664169e-05	-0.00613420806	0.0030945993	0.00461440368	0	0	0	0	0	3
11	3	0	0.275	0.00303465698	0.000307390788	-0.00613420806	0.0030945993	0.00461440368	0	0	0	0	0	3
12	4	0	0.3	0.00587157651	0.000771072931	-0.00613420806	0.00587157651	0.00461440368	0	0	0	0	0	3
13	4	0	0.325	0.00946242865	0.00143963876	-0.00613420806	0.00946242865	0.00461440368	0	0	0	0	0	3
14	4	0	0.35	0.0266380221	0.00323952328	-0.00613420806	0.0266380221	0.00475932766	0	0	0	0	0	3
15	4	0	0.375	0.0503727042	0.00638173534	-0.00613420806	0.0503727042	0.00790153972	0	0	0	0	0	3
16	5	0	0.4	0.0817280323	0.0110908789	-0.00613420806	0.0817280323	0.0126106833	0	0	0	0	0	3
17	5	0	0.425	0.110612162	0.016945072	-0.00613420806	0.110612162	0.0184648764	0	0	0	0	0	3
18	5	0	0.45	0.140404472	0.0238039276	-0.00613420806	0.140404472	0.025323732	0	0	0	0	0	3
19	5	0	0.475	0.148886458	0.0303872187	-0.00613420806	0.148886458	0.0319070231	0	0	0	0	0	3
20	5	0	0.5	0.151150872	0.0364254014	-0.00613420806	0.151150872	0.0379452057	0	0	0	0	0	3
21	6	0	0.525	0.171444668	0.0448429048	-0.00613420806	0.171444668	0.0463627092	0	0	0	0	0	3
22	6	0	0.55	0.1756673	0.0539329802	-0.00151896586	0.1756673	0.0548312771	0	0	0	0	0	3
23	6	0	0.575	0.168823985	0.0623259101	-0.00151896586	0.1756673	0.063224207	0	0	0	0	0	3
24	6	0	0.6	0.169251137	0.0708644153	0.000214931531	0.1756673	0.0714445863	0	0	0	0	0	3
25	7	0	0.625	0.162134967	0.078936547	0.000214931531	0.1756673	0.079384201	0	0	0	0	0	3
26	7	0	0.65	0.146514777	0.0862515393	0.000444089851	0.1756673	0.0864746484	0	0	0	0	0	3
27	7	0	0.675	0.159693728	0.0941800177	0.000444089851	0.1756673	0.0943032076	0	0	0	0	0	3
28	8	0	0.7	0.157445858	0.102023498	0.000444089851	0.1756673	0.102083657	0	0	0	0	0	3
29	8	0	0.725	0.159978489	0.110000218	0.000888071413	0.1756673	0.109965554	0	0	0	0	0	3
30	8	0	0.75	0.152718092	0.117591719	0.00303465698	0.1756673	0.117284329	0	0	0	0	0	3
31	8	0	0.775	0.144953991	0.124687686	0.00587157651	0.1756673	0.123916613	0	0	0	0	0	3
32	9	0	0.8	0.14359786	0.131574	0.00946242865	0.1756673	0.130134362	0	0	0	0	0	3
33	9	0	0.825	0.140908681	0.138146313	0.0266380221	0.1756673	0.13490679	0	0	0	0	0	3
34	9	0	0.85	0.131294793	0.143379151	0.0503727042	0.1756673	0.125294596	0	0	0	0	0	3
35	9	0	0.875	0.132572979	0.147489165	0.0817280323	0.1756673	0.0939392679	0	0	0	0	0	3
36	9	0	0.9	0.14343206	0.150574367	0.110612162	0.1756673	0.065055138	0	0	0	0	0	3
37	10	0	0.925	0.142877977	0.152187657	0.131294793	0.1756673	0.044372507	0	0	0	0	0	3
38	10	0	0.95	0.142226879	0.152278778	0.131294793	0.1756673	0.044372507	0	0	0	0	0	3
39	10	0	0.975	0.145873918	0.152128151	0.131294793	0.1756673	0.044372507	0	0	0	0	0	3
40	10	0	1	0.141298507	0.151635532	0.131294793	0.1756673	0.044372507	0.0265779399	59.8	0	0	0	3
41	11	0	1.025	0.149145572	0.150520577	0.131294793	0.1756673	0.044372507	0.0265779399	59.8	0	0	0	3
42	11	0	1.05	0.149494467	0.149211936	0.131294793	0.169251137	0.0379563434	0.0265779399	70	0	0	0	3
43	11	0	1.075	0.153136992	0.148427586	0.131294793	0.169251137	0.0379563434	0.0265779399	70	0	0	0	3
44	11	0	1.1	0.149303054	0.148469275	0.131294793	0.169251137	0.0379563434	0.0265779399	70	0	0	0	3
45	12	0	1.125	0.152339919	0.147663979	0.131294793	0.162134967	0.0308401741	0.0265779399	86.1	0	0	0	3
46	12	0	1.15	0.157010112	0.147419938	0.131294793	0.159978489	0.0286836955	0.0265779399	92.6	0	0	0	3
47	12	0	1.175	0.155899043	0.147866808	0.131294793	0.159978489	0.0286836955	0.0265779399	92.6	0	0	0	3
48	12	0	1.2	0.15302251	0.147549131	0.131294793	0.159978489	0.0286836955	0.0265779399	92.6	0	0	0	3
49	13	0	1.225	0.158746523	0.147611067	0.131294793	0.159978489	0.0286836955	0.0265779399	92.6	0	0	0	3
50	13	0	1.25	0.159039746	0.147566365	0.131294793	0.159039746	0.0277449531	0.0265779399	95.7	0	0	0	3
51	13	0	1.275	0.163646596	0.14808677	0.131294793	0.163646596	0.0275910915	0.0265779399	96.3	0	0	0	3
52	13	0	1.3	0.160774085	0.148840108	0.131294793	0.163646596	0.0207047773	0.0265779399	100	0	0	0	3
53	13	0	1.325	0.166600872	0.14993549	0.131294793	0.166600872	0.0141324647	0.0265779399	100	0	0	0	3
54	14	0	1.35	0.166093161	0.151134751	0.131294793	0.166600872	0.00889962616	0.0265779399	100	0	0	0	3
55	14	0	1.375	0.168458012	0.152904428	0.132572979	0.168458012	0.00548448955	0.0265779399	100	0	0	0	3
56	14	0	1.4	0.16656258	0.15452298	0.141298507	0.168458012	0.00710304198	0.0265779399	100	0	0	0	3
57	14	0	1.425	0.174154641	0.15598596	0.141298507	0.174154641	0.00856602205	0.0265779399	100	0	0	0	3
58	15	0	1.45	0.173394593	0.157439132	0.141298507	0.174154641	0.0100191942	0.0265779399	100	0	0	0	3
59	15	0	1.475	0.176322011	0.15906271	0.141298507	0.176322011	0.011642772	0.0265779399	100	0	0	0	3
60	15	0	1.5	0.174271897	0.160414995	0.141298507	0.176322011	0.0129950567	0.0265779399	100	0	0	0	3
61	15	0	1.525	0.179825776	0.162249627	0.149145572	0.179825776	0.0148296886	0.0265779399	100	0	0	0	3
62	16	0	1.55	0.181828317	0.163805948	0.149303054	0.181828317	0.0163860097	0.0265779399	100	0	0	0	3
63	16	0	1.575	0.184211791	0.165459154	0.149303054	0.184211791	0.0180392156	0.0265779399	100	0	0	0	3
64	16	0	1.6	0.181726757	0.166820571	0.149303054	0.184211791	0.019400633	0.0265779399	100	0	0	0	3
65	17	0	1.625	0.189224971	0.168721615	0.152339919	0.189224971	0.0213016767	0.0265779399	100	0	0	0	3
66	17	0	1.65	0.191361621	0.170579791	0.15302251	0.191361621	0.023159853	0.0265779399	100	0	0	0	3
67	17	0	1.675	0.193675416	0.172325758	0.15302251	0.193675416	0.0247766271	0.0265779399	100	0	0	0	3
68	18	0	1.7	0.190145818	0.173956557	0.15302251	0.193675416	0.0264074259	0.0265779399	100	0	0	0	3
69	18	0	1.725	0.196886901	0.176045337	0.158746523	0.196886901	0.028478972	0.0265779399	93.3	0	0	0	3
70	18	0	1.75	0.197222614	0.177877532	0.159039746	0.197222614	0.0303111668	0.0265779399	87.6	0	0	0	3
71	18	0	1.775	0.199468807	0.179802726	0.160774085	0.199468807	0.0317159552	0.0265779399	83.7	0	0	0	3
72	19	0	1.8	0.195764049	0.181332128	0.160774085	0.199468807	0.0324920198	0.0265779399	81.7	0	0	0	3
73	19	0	1.825	0.202614863	0.183324546	0.166093161	0.202614863	0.0333890563	0.0265779399	79.6	0	0	0	3
74	19	0	1.85	0.202908072	0.18505346	0.166093161	0.202908072	0.0339187097	0.0265779399	78.3	0	0	0	3
75	19	0	1.875	0.203526282	0.18683599	0.16656258	0.203526282	0.0339315622	0.0265779399	78.3	0	0	0	3
76	20	0	1.9	0.20298163	0.188479972	0.16656258	0.203526282	0.0339569915	0.0265779399	78.2	0	0	0	3
77	20	0	1.925	0.209571827	0.190528031	0.173394593	0.209571827	0.0345420708	0.0265779399	76.9	0	0	0	3
78	20	0	1.95	0.211500768	0.192306418	0.173394593	0.211500768	0.0348672857	0.0265779399	76.2	0	0	0	3
79	21	0	1.975	0.213885824	0.194234572	0.174271897	0.213885824	0.0351718618	0.0265779399	75.5	0	0	0	3
80	21	0	2	0.212368572	0.195951075	0.174271897	0.213885824	0.03553608	0.0265779399	74.7	0	0	0	3
81	21	0	2.025	0.216564661	0.197965016	0.179825776	0.216564661	0.0357153892	0.0265779399	74.4	0	0	0	3
