Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	23.3489287	23.3489287	23.3489287	23.3489287	0	0	0	0	0	0	3
2	1	0	0.05	23.4112696	23.3800991	23.3489287	23.4112696	0.0311704372	0	0	0	0	0	3
3	1	0	0.075	23.4456447	23.4019476	23.3489287	23.4456447	0.0530189503	0	0	0	0	0	3
4	2	0	0.1	23.4590152	23.4162145	23.3489287	23.4590152	0.0672858438	0	0	0	0	0	3
5	2	0	0.125	23.4552763	23.4240269	23.3489287	23.4590152	0.0750982021	0	0	0	0	0	3
6	2	0	0.15	23.4461965	23.4277218	23.3489287	23.4590152	0.0787931382	0	0	0	0	0	3
7	2	0	0.175	23.4374257	23.4291081	23.3489287	23.4590152	0.0801794017	0	0	0	0	0	3
8	3	0	0.2	23.4299878	23.429218	23.3489287	23.4590152	0.0802893649	0	0	0	0	0	3
9	3	0	0.225	23.422599	23.4284826	23.3489287	23.4590152	0.0802893649	0	0	0	0	0	3
10	3	0	0.25	23.4152341	23.4271577	23.3489287	23.4590152	0.0802893649	0	0	0	0	0	3
11	3	0	0.275	23.4086443	23.4254747	23.3489287	23.4590152	0.0802893649	0	0	0	0	0	3
12	4	0	0.3	23.4018096	23.4235026	23.3489287	23.4590152	0.0802893649	0	0	0	0	0	3
13	4	0	0.325	23.3964087	23.4214185	23.3489287	23.4590152	0.0802893649	0	0	0	0	0	3
14	4	0	0.35	23.3921269	23.4193262	23.3489287	23.4590152	0.0802893649	0	0	0	0	0	3
15	4	0	0.375	23.389889	23.4173637	23.3489287	23.4590152	0.0802893649	0	0	0	0	0	3
16	5	0	0.4	23.3883274	23.415549	23.3489287	23.4590152	0.0802893649	0	0	0	0	0	3
17	5	0	0.425	23.3864114	23.413835	23.3489287	23.4590152	0.0802893649	0	0	0	0	0	3
18	5	0	0.45	23.3862677	23.4123035	23.3489287	23.4590152	0.0802893649	0	0	0	0	0	3
19	5	0	0.475	23.3844826	23.4108392	23.3489287	23.4590152	0.0802893649	0	0	0	0	0	3
20	5	0	0.5	23.379944	23.4092945	23.3489287	23.4590152	0.0802893649	0	0	0	0	0	3
21	6	0	0.525	23.3726736	23.4104817	23.3726736	23.4590152	0.0491189278	0	0	0	0	0	3
22	6	0	0.55	23.3330647	23.4065715	23.3330647	23.4590152	0.0272704147	0	0	0	0	0	3
23	6	0	0.575	23.2041444	23.3944964	23.2041444	23.4590152	0.0347216053	0	0	0	0	0	3
24	6	0	0.6	22.8371187	23.3634016	22.8371187	23.4552763	0.0658164304	0	0	0	0	0	3
25	7	0	0.625	22.0173085	23.2915032	22.0173085	23.4461965	0.137714823	0	0	0	0	0	3
26	7	0	0.65	20.4864457	23.1435157	20.4864457	23.4374257	0.285702364	0	0	0	0	0	3
27	7	0	0.675	17.2471471	22.8340018	17.2471471	23.4299878	0.595216293	0	0	0	0	0	3
28	8	0	0.7	13.733827	22.3491937	13.733827	23.422599	1.07928888	0	0	0	0	0	3
29	8	0	0.725	10.6916552	21.7126465	10.6916552	23.4152341	1.71451121	0	0	0	0	0	3
30	8	0	0.75	8.47724257	20.965747	8.47724257	23.4086443	2.45972774	0	0	0	0	0	3
31	8	0	0.775	7.07899591	20.1492645	7.07899591	23.4018096	3.27423807	0	0	0	0	0	3
32	9	0	0.8	6.15027522	19.2866878	6.15027522	23.3964087	4.13473064	0	0	0	0	0	3
33	9	0	0.825	5.79998345	18.4068666	5.79998345	23.3921269	5.01245965	0	0	0	0	0	3
34	9	0	0.85	5.65571296	17.5200459	5.65571296	23.389889	5.89731787	0	0	0	0	0	3
35	9	0	0.875	5.54634525	16.6278687	5.54634525	23.3883274	6.78768029	0	0	0	0	0	3
36	9	0	0.9	5.42581088	15.7297428	5.42581088	23.3864114	7.68409214	0	0	0	0	0	3
37	10	0	0.925	5.31411192	14.8261279	5.31411192	23.3862677	8.5861756	0	0	0	0	0	3
38	10	0	0.95	5.26753659	13.9201913	5.26753659	23.3844826	9.4906479	0	0	0	0	0	3
39	10	0	0.975	5.27234492	13.0145844	5.26753659	23.379944	10.3958973	0	0	0	0	0	3
40	10	0	1	5.29598639	12.1103865	5.26753659	23.3726736	11.3000951	2.72872179	0	0	0	0	3
41	11	0	1.025	5.29515769	11.2065108	5.26753659	23.3330647	12.2000607	2.72872179	0	0	0	0	3
42	11	0	1.05	5.29521393	10.3046182	5.26753659	23.2041444	13.0898782	2.72872179	0	0	0	0	3
43	11	0	1.075	5.280059	9.40841394	5.26753659	22.8371187	13.9549877	2.72872179	0	0	0	0	3
44	11	0	1.1	5.28752838	9.2121813	5.26753659	22.8371187	14.1512203	2.72872179	0	0	0	0	3
45	12	0	1.125	5.28964222	8.37658718	5.26753659	22.0173085	14.914916	2.72872179	0	0	0	0	3
46	12	0	1.15	5.26759364	7.57898171	5.26753659	20.4864457	15.2189091	2.72872179	0	0	0	0	3
47	12	0	1.175	5.26201754	6.85400894	5.26201754	17.2471471	11.9851295	2.72872179	0	0	0	0	3
48	12	0	1.2	5.26674055	6.28351339	5.26201754	13.733827	8.47180946	2.72872179	0	0	0	0	3
49	13	0	1.225	5.25284062	5.8796569	5.25284062	10.6916552	5.4388146	2.72872179	0	0	0	0	3
50	13	0	1.25	5.26563397	5.62127493	5.25284062	8.47724257	3.22440195	2.72872179	0	0	0	0	3
51	13	0	1.275	5.28422641	5.46922654	5.25284062	7.07899591	1.82615529	2.72872179	0	0	0	0	3
52	13	0	1.3	5.27874279	5.38350021	5.25284062	6.15027522	0.897434602	2.72872179	0	0	0	0	3
53	13	0	1.325	5.26441684	5.34131647	5.25284062	5.79998345	0.547142837	2.72872179	0	0	0	0	3
54	14	0	1.35	5.23813844	5.31456195	5.23813844	5.65571296	0.417574517	2.72872179	0	0	0	0	3
55	14	0	1.375	5.2252862	5.29406544	5.2252862	5.54634525	0.321059048	2.72872179	0	0	0	0	3
56	14	0	1.4	5.23427375	5.27920489	5.2252862	5.42581088	0.200524682	2.72872179	0	0	0	0	3
57	14	0	1.425	5.24674157	5.27067778	5.2252862	5.31411192	0.0888257232	2.72872179	0	0	0	0	3
58	15	0	1.45	5.25043671	5.26764563	5.2252862	5.29598639	0.0707001914	2.72872179	0	0	0	0	3
59	15	0	1.475	5.27227565	5.2678713	5.2252862	5.29598639	0.0707001914	2.72872179	0	0	0	0	3
60	15	0	1.5	5.28145614	5.26830516	5.2252862	5.29598639	0.0707001914	2.72872179	0	0	0	0	3
61	15	0	1.525	5.28162186	5.26762114	5.2252862	5.29521393	0.0699277232	2.72872179	0	0	0	0	3
62	16	0	1.55	5.28153217	5.2669723	5.2252862	5.29521393	0.0699277232	2.72872179	0	0	0	0	3
63	16	0	1.575	5.28404203	5.26644031	5.2252862	5.28964222	0.0643560133	2.72872179	0	0	0	0	3
64	16	0	1.6	5.28511219	5.26668094	5.2252862	5.28964222	0.0643560133	2.72872179	0	0	0	0	3
65	17	0	1.625	5.30277702	5.26740706	5.2252862	5.30277702	0.0774908213	2.72872179	0	0	0	0	3
66	17	0	1.65	5.31163905	5.26845453	5.2252862	5.31163905	0.0863528451	2.72872179	0	0	0	0	3
67	17	0	1.675	5.29144142	5.26959014	5.2252862	5.31163905	0.0863528451	2.72872179	0	0	0	0	3
68	18	0	1.7	5.28399533	5.2706367	5.2252862	5.31163905	0.0863528451	2.72872179	0	0	0	0	3
69	18	0	1.725	5.28606807	5.27155706	5.2252862	5.31163905	0.0863528451	2.72872179	0	0	0	0	3
70	18	0	1.75	5.28983502	5.2733187	5.2252862	5.31163905	0.0863528451	2.72872179	0	0	0	0	3
71	18	0	1.775	5.29974074	5.27494283	5.2252862	5.31163905	0.0863528451	2.72872179	0	0	0	0	3
72	19	0	1.8	5.32064252	5.27667693	5.2252862	5.32064252	0.0953563186	2.72872179	0	0	0	0	3
73	19	0	1.825	5.35352037	5.28023777	5.2252862	5.35352037	0.0748761651	2.72872179	0	0	0	0	3
74	19	0	1.85	5.35130468	5.28437528	5.2252862	5.35352037	0.0481216409	2.72872179	0	0	0	0	3
75	19	0	1.875	5.33217604	5.28885326	5.2252862	5.35352037	0.0276251286	2.72872179	0	0	0	0	3
76	20	0	1.9	5.313887	5.29307235	5.23427375	5.35352037	0.0266320405	2.72872179	0	0	0	0	3
77	20	0	1.925	5.31371611	5.29685532	5.24674157	5.35352037	0.0304150101	2.72872179	0	0	0	0	3
78	20	0	1.95	5.31330658	5.30002508	5.25043671	5.35352037	0.0335847725	2.72872179	0	0	0	0	3
79	21	0	1.975	5.31538583	5.3031179	5.27227565	5.35352037	0.0366775876	2.72872179	0	0	0	0	3
80	21	0	2	5.31326081	5.30506957	5.28145614	5.35352037	0.0386292621	2.72872179	0	0	0	0	3
81	21	0	2.025	5.31224995	5.30653594	5.28153217	5.35352037	0.0400956338	2.72872179	0	0	0	0	3
82	21	0	2.05	5.31253494	5.30800799	5.28153217	5.35352037	0.0415676855	2.72872179	0	0	0	0	3
83	22	0	2.075	5.29804225	5.30879419	5.28399533	5.35352037	0.0423538795	2.72872179	0	0	0	0	3
84	22	0	2.1	5.29544128	5.30933701	5.28399533	5.35352037	0.0426560726	2.72872179	0	0	0	0	3
85	22	0	2.125	5.32451132	5.31121316	5.28399533	5.35352037	0.0438060954	2.72872179	0	0	0	0	3
86	23	0	2.15	5.35198175	5.31355624	5.28399533	5.35352037	0.0451017093	2.72872179	0	0	0	0	3
87	23	0	2.175	5.34608452	5.3151965	5.28399533	5.35352037	0.0456063613	2.72872179	0	0	0	0	3
88	23	0	2.2	5.33532447	5.31728617	5.28399533	5.35352037	0.0466494691	2.72872179	0	0	0	0	3
89	24	0	2.225	5.33306972	5.31962305	5.28606807	5.35352037	0.0480659867	2.72872179	0	0	0	0	3
90	24	0	2.25	5.30642297	5.32059233	5.28983502	5.35352037	0.0472736292	2.72872179	0	0	0	0	3
91	24	0	2.275	5.2978286	5.32097297	5.29544128	5.35352037	0.0460301443	2.72872179	0	0	0	0	3
92	24	0	2.3	5.31783734	5.32183472	5.29544128	5.35352037	0.045157787	2.72872179	0	0	0	0	3
93	25	0	2.325	5.34765871	5.3231212	5.29544128	5.35352037	0.0428834354	2.72872179	0	0	0	0	3
94	25	0	2.35	5.38515036	5.32462739	5.29544128	5.38515036	0.0402521095	2.72872179	0	0	0	0	3
95	25	0	2.375	5.36793253	5.32541919	5.29544128	5.38515036	0.0365659311	2.72872179	0	0	0	0	3
96	25	0	2.4	5.34560007	5.32605843	5.29544128	5.38515036	0.032986085	2.72872179	0	0	0	0	3
97	26	0	2.425	5.31913131	5.32630816	5.29544128	5.38515036	0.029452844	2.72872179	0	0	0	0	3
98	26	0	2.45	5.31565594	5.32640054	5.29544128	5.38515036	0.0263754545	2.72872179	0	0	0	0	3
99	26	0	2.475	5.31838544	5.32664239	5.29544128	5.38515036	0.02352449	2.72872179	0	0	0	0	3
100	26	0	2.5	5.3297435	5.32732608	5.29544128	5.38515036	0.0222565141	2.72872179	0	0	0	0	3
101	27	0	2.525	5.34087732	5.32864116	5.29544128	5.38515036	0.022105214	2.72872179	0	0	0	0	3
102	27	0	2.55	5.34694827	5.33029346	5.29544128	5.38515036	0.0222854636	2.72872179	0	0	0	0	3
103	27	0	2.575	5.34332743	5.33175977	5.29544128	5.38515036	0.0229655785	2.72872179	0	0	0	0	3
104	28	0	2.6	5.34312413	5.33390652	5.29544128	5.38515036	0.0245695136	2.72872179	0	0	0	0	3
105	28	0	2.625	5.33208383	5.33565141	5.2978286	5.38515036	0.0244382485	2.72872179	0	0	0	0	3
106	28	0	2.65	5.34343076	5.33655233	5.2978286	5.38515036	0.0229960923	2.72872179	0	0	0	0	3
