Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	293.187782	293.187782	293.187782	293.187782	0	0	0	0.655528	0	0	3
2	1	0	0.05	293.185563	293.186673	293.185563	293.187782	0.00110954857	0	0	0.711166	0	0	3
3	1	0	0.075	293.184523	293.185956	293.184523	293.187782	0.00182616113	0	0	0.8596	0	0	3
4	2	0	0.1	293.188232	293.186525	293.184523	293.188232	0.00182616113	0	0	0.752887	0	0	3
5	2	0	0.125	293.1916	293.18754	293.184523	293.1916	0.00182616113	0	0	0.725331	0	0	3
6	2	0	0.15	293.199634	293.189556	293.184523	293.199634	0.00359943255	0	0	0.493983	0	0	3
7	2	0	0.175	293.208897	293.192319	293.184523	293.208897	0.00636254294	0	0	0.376926	0	0	3
8	3	0	0.2	293.219117	293.195669	293.184523	293.219117	0.00971236061	0	0	0.284858	0	0	3
9	3	0	0.225	293.229028	293.199375	293.184523	293.229028	0.0134189728	0	0	0.302609	0	0	3
10	3	0	0.25	293.238473	293.203285	293.184523	293.238473	0.0173287418	0	0	0.322085	0	0	3
11	3	0	0.275	293.253891	293.207886	293.184523	293.253891	0.0219293209	0	0	0.344798	0	0	3
12	4	0	0.3	293.263636	293.212531	293.184523	293.263636	0.026575188	0	0	0.43736	0	0	3
13	4	0	0.325	293.269744	293.216932	293.184523	293.269744	0.0309761834	0	0	0.476899	0	0	3
14	4	0	0.35	293.270589	293.220765	293.184523	293.270589	0.034808777	0	0	0.467718	0	0	3
15	4	0	0.375	293.269817	293.224035	293.184523	293.270589	0.0380789147	0	0	0.528542	0	0	3
16	5	0	0.4	293.269236	293.22686	293.184523	293.270589	0.0409039941	0	0	0.588812	0	0	3
17	5	0	0.425	293.270642	293.229436	293.184523	293.270642	0.0434793662	0	0	0.613075	0	0	3
18	5	0	0.45	293.273997	293.231911	293.184523	293.273997	0.04595499	0	0	0.690393	0	0	3
19	5	0	0.475	293.279858	293.234435	293.184523	293.279858	0.0484784903	0	0	0.751174	0	0	3
20	5	0	0.5	293.287714	293.237099	293.184523	293.287714	0.0511424766	0	0	0.79682	0	0	3
21	6	0	0.525	293.3061	293.243015	293.184523	293.3061	0.0570583521	0	0	0.821076	0	0	3
22	6	0	0.55	293.327913	293.250132	293.184523	293.327913	0.0641758555	0	0	0.82301	0	0	3
23	6	0	0.575	293.351749	293.258493	293.188232	293.351749	0.0719682438	0	0	0.834827	0	0	3
24	6	0	0.6	293.371947	293.267679	293.1916	293.371947	0.0801390974	0	0	0.846652	0	0	3
25	7	0	0.625	293.384176	293.277308	293.199634	293.384176	0.0877522982	0	0	0.882899	0	0	3
26	7	0	0.65	293.386146	293.286634	293.208897	293.386146	0.0943148121	0	0	0.908889	0	0	3
27	7	0	0.675	293.376284	293.295003	293.219117	293.386146	0.0993343402	0	0	0.926951	0	0	3
28	8	0	0.7	293.365092	293.302302	293.229028	293.386146	0.10292646	0	0	0.945009	0	0	3
29	8	0	0.725	293.356299	293.308665	293.238473	293.386146	0.105380213	0	0	0.964466	0	0	3
30	8	0	0.75	293.350948	293.314289	293.253891	293.386146	0.106403391	0	0	0.978912	0	0	3
31	8	0	0.775	293.346969	293.318943	293.263636	293.386146	0.106411423	0	0	0.996019	0	0	3
32	9	0	0.8	293.344797	293.323001	293.269236	293.386146	0.106068455	0	0	1.00875	0	0	3
33	9	0	0.825	293.34484	293.326756	293.269236	293.386146	0.105990623	0	0	1.01991	0	0	3
34	9	0	0.85	293.34493	293.330473	293.269236	293.386146	0.106437554	0	0	1.02515	0	0	3
35	9	0	0.875	293.345014	293.334233	293.269236	293.386146	0.107372301	0	0	1.03428	0	0	3
36	9	0	0.9	293.344329	293.337987	293.270642	293.386146	0.108551558	0	0	1.04509	0	0	3
37	10	0	0.925	293.343189	293.341615	293.273997	293.386146	0.109703304	0	0	1.04091	0	0	3
38	10	0	0.95	293.343072	293.345068	293.279858	293.386146	0.106288633	0	0	1.04091	0	0	3
39	10	0	0.975	293.343466	293.348249	293.287714	293.386146	0.0984319125	0	0	1.04091	0	0	3
40	10	0	1	293.343409	293.351033	293.3061	293.386146	0.0800464583	0.0302435031	0	1.04671	0	0	3
41	11	0	1.025	293.343709	293.352914	293.327913	293.386146	0.0582329982	0.0302435031	0	1.0463	0	0	3
42	11	0	1.05	293.3419	293.353613	293.3419	293.386146	0.0442465515	0.0302435031	0	1.0463	0	0	3
43	11	0	1.075	293.342361	293.353144	293.3419	293.386146	0.0442465515	0.0302435031	0	1.05257	0	0	3
44	11	0	1.1	293.342752	293.352649	293.3419	293.386146	0.0442465515	0.0302435031	0	1.05257	0	0	3
45	12	0	1.125	293.342162	293.351231	293.3419	293.386146	0.0442465515	0.0302435031	0	1.05257	0	0	3
46	12	0	1.15	293.341629	293.349205	293.341629	293.386146	0.0445174646	0.0302435031	0	1.05257	0	0	3
47	12	0	1.175	293.34266	293.347134	293.341629	293.376284	0.0346554568	0.0302435031	0	1.05257	0	0	3
48	12	0	1.2	293.341475	293.345476	293.341475	293.365092	0.0236170906	0.0302435031	0	1.05257	0	0	3
49	13	0	1.225	293.343029	293.344426	293.341475	293.356299	0.0148236682	0.0302435031	0	1.05257	0	0	3
50	13	0	1.25	293.343147	293.343799	293.341475	293.350948	0.00947316266	0.0302435031	0	1.05587	0	0	3
51	13	0	1.275	293.342577	293.343401	293.341475	293.346969	0.00549447287	0.0302435031	0	1.05587	0	0	3
52	13	0	1.3	293.342562	293.343191	293.341475	293.345014	0.00353872721	0.0302435031	0	1.05587	0	0	3
53	13	0	1.325	293.344023	293.343154	293.341475	293.345014	0.00353872721	0.0302435031	0	1.05242	0	0	3
54	14	0	1.35	293.342638	293.343049	293.341475	293.345014	0.00353872721	0.0302435031	0	1.05242	0	0	3
55	14	0	1.375	293.342531	293.342935	293.341475	293.345014	0.00353872721	0.0302435031	0	1.05242	0	0	3
56	14	0	1.4	293.343502	293.342863	293.341475	293.344329	0.00285412719	0.0302435031	0	1.05242	0	0	3
57	14	0	1.425	293.343417	293.34282	293.341475	293.344023	0.00254805676	0.0302435031	0	1.05242	0	0	3
58	15	0	1.45	293.343333	293.342826	293.341475	293.344023	0.00254805676	0.0302435031	0	1.05242	0	0	3
59	15	0	1.475	293.343033	293.342825	293.341475	293.344023	0.00254805676	0.0302435031	0	1.05242	0	0	3
60	15	0	1.5	293.343248	293.342814	293.341475	293.344023	0.00254805676	0.0302435031	0	1.05242	0	0	3
61	15	0	1.525	293.344107	293.342847	293.341475	293.344107	0.00263191174	0.0302435031	0	1.05242	0	0	3
62	16	0	1.55	293.343881	293.342856	293.341475	293.344107	0.00263191174	0.0302435031	0	1.05242	0	0	3
63	16	0	1.575	293.34331	293.342923	293.341475	293.344107	0.00263191174	0.0302435031	0	1.05242	0	0	3
64	16	0	1.6	293.343907	293.342996	293.341475	293.344107	0.00263191174	0.0302435031	0	1.05242	0	0	3
65	17	0	1.625	293.346094	293.343155	293.341475	293.346094	0.0046191956	0.0302435031	0	1.05242	0	0	3
66	17	0	1.65	293.343761	293.343232	293.341475	293.346094	0.0046191956	0.0302435031	0	1.05594	0	0	3
67	17	0	1.675	293.343511	293.343321	293.341475	293.346094	0.00431964876	0.0302435031	0	1.05594	0	0	3
68	18	0	1.7	293.343364	293.343355	293.341475	293.346094	0.00266205426	0.0302435031	0	1.05594	0	0	3
69	18	0	1.725	293.343634	293.343458	293.342531	293.346094	0.0016114218	0.0302435031	0	1.05594	0	0	3
70	18	0	1.75	293.344931	293.343548	293.342531	293.346094	0.000985178715	0.0302435031	0	1.05594	0	0	3
71	18	0	1.775	293.343624	293.343571	293.342531	293.346094	0.000756783172	0.0302435031	0	1.05594	0	0	3
72	19	0	1.8	293.344847	293.343679	293.342531	293.346094	0.000864865919	0.0302435031	0	1.05203	0	0	3
73	19	0	1.825	293.346089	293.343847	293.342531	293.346094	0.00103285568	0.0302435031	0	1.05203	0	0	3
74	19	0	1.85	293.344951	293.343891	293.342531	293.346094	0.00107702683	0.0302435031	0	1.05203	0	0	3
75	19	0	1.875	293.343546	293.343934	293.342531	293.346094	0.00112025369	0.0302435031	0	1.05203	0	0	3
76	20	0	1.9	293.345246	293.344064	293.343033	293.346094	0.0012495309	0.0302435031	0	1.05203	0	0	3
77	20	0	1.925	293.345151	293.344142	293.343033	293.346094	0.00132804544	0.0302435031	0	1.05495	0	0	3
78	20	0	1.95	293.345584	293.344245	293.343033	293.346094	0.00143120657	0.0302435031	0	1.05495	0	0	3
79	21	0	1.975	293.34642	293.344392	293.343033	293.34642	0.00157823578	0.0302435031	0	1.05495	0	0	3
80	21	0	2	293.344877	293.34448	293.343248	293.34642	0.00166603077	0.0302435031	0	1.05495	0	0	3
81	21	0	2.025	293.346131	293.344617	293.34331	293.34642	0.00177008206	0.0302435031	0	1.05116	0	0	3
82	21	0	2.05	293.346493	293.344731	293.34331	293.346493	0.0018755682	0.0302435031	0	1.05116	0	0	3
83	22	0	2.075	293.341802	293.344632	293.341802	293.346493	0.00180839762	0.0302435031	0	1.05116	0	0	3
84	22	0	2.1	293.344178	293.344673	293.341802	293.346493	0.00173474783	0.0302435031	0	1.05489	0	0	3
85	22	0	2.125	293.347382	293.344839	293.341802	293.347382	0.00168339413	0.0302435031	0	1.06027	0	0	3
86	23	0	2.15	293.345931	293.344831	293.341802	293.347382	0.00160724499	0.0302435031	0	1.06027	0	0	3
87	23	0	2.175	293.345422	293.34491	293.341802	293.347382	0.00158895354	0.0302435031	0	1.05651	0	0	3
88	23	0	2.2	293.346828	293.345068	293.341802	293.347382	0.00171340088	0.0302435031	0	1.05369	0	0	3
89	24	0	2.225	293.345824	293.345185	293.341802	293.347382	0.00172769447	0.0302435031	0	1.05369	0	0	3
90	24	0	2.25	293.345125	293.345256	293.341802	293.347382	0.00170806415	0.0302435031	0	1.05369	0	0	3
91	24	0	2.275	293.34555	293.345286	293.341802	293.347382	0.00171478929	0.0302435031	0	1.05369	0	0	3
92	24	0	2.3	293.346962	293.345445	293.341802	293.347382	0.00176562332	0.0302435031	0	1.05369	0	0	3
93	25	0	2.325	293.347306	293.345562	293.341802	293.347382	0.00171476969	0.0302435031	0	1.05369	0	0	3
94	25	0	2.35	293.345901	293.345553	293.341802	293.347382	0.00167059855	0.0302435031	0	1.05661	0	0	3
95	25	0	2.375	293.347172	293.345659	293.341802	293.347382	0.00172414537	0.0302435031	0	1.05661	0	0	3
96	25	0	2.4	293.347019	293.345824	293.341802	293.347382	0.00176023466	0.0302435031	0	1.0538	0	0	3
97	26	0	2.425	293.347947	293.345953	293.341802	293.347947	0.0018103304	0.0302435031	0	1.0538	0	0	3
98	26	0	2.45	293.346703	293.346026	293.341802	293.347947	0.00178106554	0.0302435031	0	1.0538	0	0	3
99	26	0	2.475	293.345242	293.34601	293.341802	293.347947	0.00163403634	0.0302435031	0	1.0538	0	0	3
100	26	0	2.5	293.347154	293.346045	293.341802	293.347947	0.00156487885	0.0302435031	0	1.0538	0	0	3
101	27	0	2.525	293.347653	293.346177	293.341802	293.347947	0.00155977555	0.0302435031	0	1.0538	0	0	3
102	27	0	2.55	293.347477	293.346241	293.341802	293.347947	0.00160922623	0.0302435031	0	1.0538	0	0	3
103	27	0	2.575	293.348352	293.34633	293.341802	293.348352	0.00169775205	0.0302435031	0	1.0538	0	0	3
104	28	0	2.6	293.345519	293.346507	293.344178	293.348352	0.00183344983	0.0302435031	0	1.0538	0	0	3
105	28	0	2.625	293.347891	293.346684	293.345125	293.348352	0.00185255807	0.0302435031	0	1.05701	0	0	3
106	28	0	2.65	293.346737	293.346653	293.345125	293.348352	0.00185255807	0.0302435031	0	1.05701	0	0	3
