Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.05	0.000354356232	0.000177178116	0	0.000354356232	0.000177178116	0	0	0	0	0	3
3	1	0	0.075	-1.59459778e-06	0.000117587211	-1.59459778e-06	0.000354356232	0.000177178116	0	0	0	0	0	3
4	1	0	0.1	-7.37939021e-06	8.63455609e-05	-7.37939021e-06	0.000354356232	0.000177178116	0	0	0	0	0	3
5	2	0	0.125	-3.32303027e-06	6.84118427e-05	-7.37939021e-06	0.000354356232	0.000177178116	0	0	0	0	0	3
6	2	0	0.15	-3.95304845e-06	5.63510275e-05	-7.37939021e-06	0.000354356232	0.000177178116	0	0	0	0	0	3
7	2	0	0.175	-1.25036482e-05	4.65146452e-05	-1.25036482e-05	0.000354356232	0.000177178116	0	0	0	0	0	3
8	2	0	0.2	-0.000120060835	2.56927102e-05	-0.000120060835	0.000354356232	0.000177178116	0	0	0	0	0	3
9	2	0	0.225	-0.000163644151	4.65528116e-06	-0.000163644151	0.000354356232	0.000177178116	0	0	0	0	0	3
10	3	0	0.25	-0.000630768776	-5.88871246e-05	-0.000630768776	0.000354356232	0.00023606524	0	0	0	0	0	3
11	3	0	0.275	-0.000710712537	-0.00011814398	-0.000710712537	0.000354356232	0.000295322096	0	0	0	0	0	3
12	3	0	0.3	-0.0044238037	-0.000476948957	-0.0044238037	0.000354356232	0.000654127072	0	0	0	0	0	3
13	3	0	0.325	-0.00895483445	-0.00112909399	-0.00895483445	0.000354356232	0.00130627211	0	0	0	0	0	3
14	3	0	0.35	-0.0152797496	-0.00213985511	-0.0152797496	0.000354356232	0.00231703323	0	0	0	0	0	3
15	4	0	0.375	-0.0231639322	-0.00354146025	-0.0231639322	0.000354356232	0.00371863836	0	0	0	0	0	3
16	4	0	0.4	-0.0360846771	-0.0055754113	-0.0360846771	0.000354356232	0.00575258942	0	0	0	0	0	3
17	4	0	0.425	-0.0615413587	-0.00886752585	-0.0615413587	0.000354356232	0.00904470397	0	0	0	0	0	3
18	4	0	0.45	-0.101620751	-0.0140204828	-0.101620751	0.000354356232	0.0141976609	0	0	0	0	0	3
19	5	0	0.475	-0.143623915	-0.0208417161	-0.143623915	0.000354356232	0.0210188942	0	0	0	0	0	3
20	5	0	0.5	-0.193583217	-0.0294787911	-0.193583217	0.000354356232	0.0296559692	0	0	0	0	0	3
21	5	0	0.525	-0.340980251	-0.0465278037	-0.340980251	0.000354356232	0.0467049818	0	0	0	0	0	3
22	5	0	0.55	-0.470829148	-0.0700869789	-0.470829148	-1.59459778e-06	0.0702045661	0	0	0	0	0	3
23	5	0	0.575	-0.576640124	-0.0989189054	-0.576640124	-3.32303027e-06	0.099005251	0	0	0	0	0	3
24	6	0	0.6	-0.601069005	-0.128971987	-0.601069005	-3.32303027e-06	0.129040399	0	0	0	0	0	3
25	6	0	0.625	-0.672086521	-0.162576147	-0.672086521	-3.95304845e-06	0.162632498	0	0	0	0	0	3
26	6	0	0.65	-0.720445325	-0.198598215	-0.720445325	-1.25036482e-05	0.19864473	0	0	0	0	0	3
27	7	0	0.675	-0.765401656	-0.236867673	-0.765401656	-0.000120060835	0.236893365	0	0	0	0	0	3
28	7	0	0.7	-0.778569227	-0.275790131	-0.778569227	-0.000163644151	0.275794786	0	0	0	0	0	3
29	7	0	0.725	-0.79262917	-0.315413407	-0.79262917	-0.000630768776	0.31535452	0	0	0	0	0	3
30	7	0	0.75	-0.806315473	-0.355697643	-0.806315473	-0.000710712537	0.355579499	0	0	0	0	0	3
31	7	0	0.775	-0.807369282	-0.396030571	-0.807369282	-0.0044238037	0.395553622	0	0	0	0	0	3
32	8	0	0.8	-0.809525657	-0.436285664	-0.809525657	-0.00895483445	0.43515657	0	0	0	0	0	3
33	8	0	0.825	-0.813490802	-0.476512462	-0.813490802	-0.0152797496	0.474372607	0	0	0	0	0	3
34	8	0	0.85	-0.816865017	-0.516591726	-0.816865017	-0.0231639322	0.513050265	0	0	0	0	0	3
35	9	0	0.875	-0.819637788	-0.556415418	-0.819637788	-0.0360846771	0.550840007	0	0	0	0	0	3
36	9	0	0.9	-0.824994452	-0.595860907	-0.824994452	-0.0615413587	0.586993381	0	0	0	0	0	3
37	9	0	0.925	-0.831121592	-0.634339919	-0.831121592	-0.101620751	0.620319436	0	0	0	0	0	3
38	9	0	0.95	-0.816029857	-0.670060374	-0.831121592	-0.143623915	0.649218658	0	0	0	0	0	3
39	9	0	0.975	-0.831916603	-0.704475008	-0.831916603	-0.193583217	0.638333386	0	0	0	0	0	3
