Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101340.78	101340.78	101340.78	101340.78	0	0	0	11640.2	0	0	3
2	1	0	0.05	101286.823	101313.801	101286.823	101340.78	26.978566	0	0	11930.6	0	0	3
3	1	0	0.075	101335.777	101321.127	101286.823	101340.78	26.978566	0	0	9148.72	0	0	3
4	1	0	0.1	101325.024	101322.101	101286.823	101340.78	26.978566	0	0	4512.88	0	0	3
5	2	0	0.125	101319.695	101321.62	101286.823	101340.78	26.978566	0	0	1971.7	0	0	3
6	2	0	0.15	101320.556	101321.443	101286.823	101340.78	26.978566	0	0	1665.71	0	0	3
7	2	0	0.175	101324.862	101321.931	101286.823	101340.78	26.978566	0	0	1663.22	0	0	3
8	2	0	0.2	101321.015	101321.817	101286.823	101340.78	26.978566	0	0	1648.35	0	0	3
9	2	0	0.225	101324.528	101322.118	101286.823	101340.78	26.978566	0	0	1698.92	0	0	3
10	3	0	0.25	101321.191	101322.025	101286.823	101340.78	26.978566	0	0	1617	0	0	3
11	3	0	0.275	101338.869	101323.556	101286.823	101340.78	26.978566	0	0	1632.87	0	0	3
12	3	0	0.3	101351.618	101325.895	101286.823	101351.618	26.978566	0	0	1633.7	0	0	3
13	3	0	0.325	101392.727	101331.036	101286.823	101392.727	26.978566	0	0	1639.21	0	0	3
14	3	0	0.35	101418.682	101337.296	101286.823	101418.682	26.978566	0	0	1665.36	0	0	3
15	4	0	0.375	101464.269	101345.761	101286.823	101464.269	31.9601449	0	0	1679.51	0	0	3
16	4	0	0.4	101484.578	101354.437	101286.823	101484.578	40.6362231	0	0	1694.2	0	0	3
17	4	0	0.425	101506.459	101363.38	101286.823	101506.459	49.5786523	0	0	1691.21	0	0	3
18	4	0	0.45	101518.108	101371.976	101286.823	101518.108	58.1746737	0	0	1774.64	0	0	3
19	5	0	0.475	101514.747	101379.49	101286.823	101518.108	65.6889282	0	0	1886.99	0	0	3
20	5	0	0.5	101492.975	101385.164	101286.823	101518.108	71.3631625	0	0	1998.96	0	0	3
21	5	0	0.525	101460.861	101391.168	101286.823	101518.108	77.3672382	0	0	2250.07	0	0	3
22	5	0	0.55	101434.623	101398.558	101319.695	101518.108	77.4317914	0	0	2469.04	0	0	3
23	5	0	0.575	101407.438	101402.141	101319.695	101518.108	80.6987901	0	0	2652.64	0	0	3
24	6	0	0.6	101388.918	101405.336	101319.695	101518.108	83.8934757	0	0	2807.89	0	0	3
25	6	0	0.625	101371.578	101407.93	101320.556	101518.108	86.4875999	0	0	2920.72	0	0	3
26	6	0	0.65	101359.676	101409.886	101321.015	101518.108	88.069571	0	0	3009.6	0	0	3
27	7	0	0.675	101352.729	101411.28	101321.015	101518.108	89.4629177	0	0	3056.3	0	0	3
28	7	0	0.7	101343.849	101412.421	101321.191	101518.108	90.3960516	0	0	3116.31	0	0	3
29	7	0	0.725	101339.338	101413.162	101321.191	101518.108	91.1365803	0	0	3153.1	0	0	3
30	7	0	0.75	101330.247	101413.615	101330.247	101518.108	90.0580896	0	0	3203.63	0	0	3
31	7	0	0.775	101330.146	101413.178	101330.146	101518.108	87.7195944	0	0	3209.35	0	0	3
32	8	0	0.8	101329.044	101412.05	101329.044	101518.108	82.5786654	0	0	3261.13	0	0	3
33	8	0	0.825	101329.848	101408.906	101329.044	101518.108	76.318211	0	0	3289.22	0	0	3
34	8	0	0.85	101330.341	101404.489	101329.044	101518.108	67.8533357	0	0	3327.54	0	0	3
35	9	0	0.875	101329.563	101397.753	101329.044	101518.108	59.1772575	0	0	3350.66	0	0	3
36	9	0	0.9	101328.344	101389.942	101328.344	101518.108	50.2348282	0	0	3383.42	0	0	3
37	9	0	0.925	101329.393	101381.088	101328.344	101518.108	41.6388069	0	0	3381.56	0	0	3
38	9	0	0.95	101327.671	101371.567	101327.671	101514.747	42.0479837	0	0	3430.49	0	0	3
39	9	0	0.975	101328.175	101362.238	101327.671	101492.975	51.3765741	0	0	3430.09	0	0	3
40	10	0	1	101327.719	101353.975	101327.671	101460.861	59.6393433	29.7618985	49.9	3462.1	0	0	3
41	10	0	1.025	101327.096	101347.287	101327.096	101434.623	66.3275825	29.7618985	44.8	3433.04	0	0	3
42	10	0	1.05	101326.305	101341.871	101326.305	101407.438	71.7434601	29.7618985	41.4	3477.92	0	0	3
43	10	0	1.075	101327.468	101337.873	101326.305	101388.918	62.6130447	29.7618985	47.5	3462.73	0	0	3
44	11	0	1.1	101327.657	101337.386	101326.305	101388.918	62.6130447	29.7618985	47.5	3484.79	0	0	3
45	11	0	1.125	101328.845	101334.526	101326.305	101371.578	45.2729611	29.7618985	65.7	3461.34	0	0	3
46	11	0	1.15	101328.739	101332.486	101326.305	101359.676	33.3714551	29.7618985	89.1	3485.91	0	0	3
47	12	0	1.175	101329.646	101331.056	101326.305	101352.729	26.4242208	29.7618985	100	3458.52	0	0	3
48	12	0	1.2	101328.715	101329.912	101326.305	101343.849	17.5445021	29.7618985	100	3485.55	0	0	3
49	12	0	1.225	101329.193	101329.214	101326.305	101339.338	13.0333495	29.7618985	100	3464.13	0	0	3
50	13	0	1.25	101328.238	101328.685	101326.305	101330.341	4.03642945	29.7618985	100	3498.95	0	0	3
51	13	0	1.275	101328.593	101328.607	101326.305	101330.341	4.03642945	29.7618985	100	3481.86	0	0	3
52	13	0	1.3	101327.827	101328.496	101326.305	101330.341	4.03642945	29.7618985	100	3513.43	0	0	3
53	13	0	1.325	101328.106	101328.452	101326.305	101330.341	4.03642945	29.7618985	100	3484.72	0	0	3
54	14	0	1.35	101327.934	101328.36	101326.305	101330.341	4.03642945	29.7618985	100	3520.95	0	0	3
55	14	0	1.375	101329.579	101328.324	101326.305	101329.646	3.34078629	29.7618985	100	3491.85	0	0	3
56	14	0	1.4	101329.083	101328.301	101326.305	101329.646	3.34078629	29.7618985	100	3518.24	0	0	3
57	15	0	1.425	101329.676	101328.365	101326.305	101329.676	3.37106563	29.7618985	100	3491.76	0	0	3
58	15	0	1.45	101329.444	101328.367	101326.305	101329.676	3.37106563	29.7618985	100	3527.82	0	0	3
59	15	0	1.475	101330.711	101328.512	101326.305	101330.711	4.40645298	29.7618985	100	3519.4	0	0	3
60	16	0	1.5	101330.39	101328.617	101326.305	101330.711	4.40645298	29.7618985	100	3536.09	0	0	3
61	16	0	1.525	101331.41	101328.793	101326.305	101331.41	5.10521205	29.7618985	100	3516.37	0	0	3
