Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.0569546335	0.0569546335	0.0569546335	0.0569546335	0	0	0	0	0	0	3
2	1	0	0.05	-0.0699852768	-0.00651532167	-0.0699852768	0.0569546335	0.0634699551	0	0	0	0	0	3
3	1	0	0.075	-0.045218426	-0.0194163564	-0.0699852768	0.0569546335	0.0763709899	0	0	0	0	0	3
4	1	0	0.1	-0.00717072791	-0.0163549493	-0.0699852768	0.0569546335	0.0763709899	0	0	0	0	0	3
5	2	0	0.125	0.02984699	-0.00711456145	-0.0699852768	0.0569546335	0.0763709899	0	0	0	0	0	3
6	2	0	0.15	0.0250441796	-0.00175477127	-0.0699852768	0.0569546335	0.0763709899	0	0	0	0	0	3
7	2	0	0.175	0.0292620758	0.00267620688	-0.0699852768	0.0569546335	0.0763709899	0	0	0	0	0	3
8	2	0	0.2	0.0125795587	0.00391412586	-0.0699852768	0.0569546335	0.0763709899	0	0	0	0	0	3
9	2	0	0.225	0.00868047211	0.00444371989	-0.0699852768	0.0569546335	0.0763709899	0	0	0	0	0	3
10	3	0	0.25	0.0138691682	0.00538626472	-0.0699852768	0.0569546335	0.0763709899	0	0	0	0	0	3
11	3	0	0.275	0.0716247688	0.0114079469	-0.0699852768	0.0716247688	0.0763709899	0	0	0	0	0	3
12	3	0	0.3	0.151807881	0.0231079414	-0.0699852768	0.151807881	0.0763709899	0	0	0	0	0	3
13	3	0	0.325	0.449054677	0.0558730749	-0.0699852768	0.449054677	0.0763709899	0	0	0	0	0	3
14	3	0	0.35	0.868970274	0.113951446	-0.0699852768	0.868970274	0.133367803	0	0	0	0	0	3
15	4	0	0.375	1.49913479	0.206297002	-0.0699852768	1.49913479	0.225713359	0	0	0	0	0	3
16	4	0	0.4	2.18524965	0.329981543	-0.0699852768	2.18524965	0.3493979	0	0	0	0	0	3
17	4	0	0.425	3.33285104	0.506620925	-0.0699852768	3.33285104	0.526037282	0	0	0	0	0	3
18	4	0	0.45	4.69687665	0.73941291	-0.0699852768	4.69687665	0.758829266	0	0	0	0	0	3
19	5	0	0.475	6.1393405	1.02361963	-0.0699852768	6.1393405	1.04303598	0	0	0	0	0	3
20	5	0	0.5	7.08700465	1.32678888	-0.0699852768	7.08700465	1.34620523	0	0	0	0	0	3
21	5	0	0.525	7.8556514	1.71672371	-0.0699852768	7.8556514	1.73614007	0	0	0	0	0	3
22	5	0	0.55	8.61144097	2.15079503	-0.045218426	8.61144097	2.17021138	0	0	0	0	0	3
23	5	0	0.575	9.28219353	2.61716562	-0.00717072791	9.28219353	2.63352057	0	0	0	0	0	3
24	6	0	0.6	9.59968073	3.0975082	0.00868047211	9.59968073	3.10462276	0	0	0	0	0	3
25	6	0	0.625	9.63798754	3.57791522	0.00868047211	9.63798754	3.57967	0	0	0	0	0	3
26	6	0	0.65	9.39711436	4.04651873	0.00868047211	9.63798754	4.04384253	0	0	0	0	0	3
27	7	0	0.675	9.31516364	4.51081381	0.00868047211	9.63798754	4.50689969	0	0	0	0	0	3
28	7	0	0.7	9.2641522	4.97339244	0.00868047211	9.63798754	4.96894872	0	0	0	0	0	3
29	7	0	0.725	9.29862189	5.43788952	0.0138691682	9.63798754	5.43250325	0	0	0	0	0	3
30	7	0	0.75	9.28650777	5.90152145	0.0716247688	9.63798754	5.8901135	0	0	0	0	0	3
31	7	0	0.775	9.18950718	6.35741557	0.151807881	9.63798754	6.33430762	0	0	0	0	0	3
32	8	0	0.8	9.18850223	6.80925028	0.449054677	9.63798754	6.75337721	0	0	0	0	0	3
33	8	0	0.825	9.13920041	7.24375757	0.868970274	9.63798754	7.12980612	0	0	0	0	0	3
34	8	0	0.85	9.08679139	7.65464863	1.49913479	9.63798754	7.44835162	0	0	0	0	0	3
35	9	0	0.875	9.00840174	8.03011197	2.18524965	9.63798754	7.45273788	0	0	0	0	0	3
36	9	0	0.9	8.96256356	8.36897767	3.33285104	9.63798754	6.3051365	0	0	0	0	0	3
37	9	0	0.925	8.97446733	8.65105848	4.69687665	9.63798754	4.94111089	0	0	0	0	0	3
38	9	0	0.95	8.95674475	8.86405189	6.1393405	9.63798754	3.49864703	0	0	0	0	0	3
39	9	0	0.975	8.87434343	9.00080203	7.08700465	9.63798754	2.55098289	0	0	0	0	0	3
40	10	0	1	8.97863532	9.09538357	7.8556514	9.63798754	1.78233614	1.45248089	81.4	0	0	0	3
