Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.38191714	0.38191714	0.38191714	0.38191714	0	0	0	0	0	0	3
2	1	0	0.05	0.510597875	0.446257507	0.38191714	0.510597875	0.0643403677	0	0	0	0	0	3
3	1	0	0.075	0.155430369	0.349315128	0.155430369	0.510597875	0.0969423796	0	0	0	0	0	3
4	1	0	0.1	0.0399976618	0.271985761	0.0399976618	0.510597875	0.174271746	0	0	0	0	0	3
5	2	0	0.125	0.0769500729	0.232978624	0.0399976618	0.510597875	0.213278884	0	0	0	0	0	3
6	2	0	0.15	0.0815084008	0.207733586	0.0399976618	0.510597875	0.238523921	0	0	0	0	0	3
7	2	0	0.175	0.0985037175	0.192129319	0.0399976618	0.510597875	0.254128188	0	0	0	0	0	3
8	2	0	0.2	0.0254587605	0.1712955	0.0254587605	0.510597875	0.274962008	0	0	0	0	0	3
9	2	0	0.225	0.047191592	0.157506177	0.0254587605	0.510597875	0.288751331	0	0	0	0	0	3
10	3	0	0.25	0.0222976304	0.143985322	0.0222976304	0.510597875	0.302272185	0	0	0	0	0	3
11	3	0	0.275	0.376603391	0.165132419	0.0222976304	0.510597875	0.302272185	0	0	0	0	0	3
12	3	0	0.3	1.01465454	0.235925929	0.0222976304	1.01465454	0.302272185	0	0	0	0	0	3
13	3	0	0.325	3.11813154	0.457634053	0.0222976304	3.11813154	0.313648732	0	0	0	0	0	3
14	3	0	0.35	6.61547091	0.897479543	0.0222976304	6.61547091	0.753494221	0	0	0	0	0	3
15	4	0	0.375	11.3535363	1.59454999	0.0222976304	11.3535363	1.45056467	0	0	0	0	0	3
16	4	0	0.4	16.4181693	2.5210262	0.0222976304	16.4181693	2.37704088	0	0	0	0	0	3
17	4	0	0.425	23.5618895	3.75872404	0.0222976304	23.5618895	3.61473872	0	0	0	0	0	3
18	4	0	0.45	31.7677756	5.31478246	0.0222976304	31.7677756	5.17079714	0	0	0	0	0	3
19	5	0	0.475	39.5183238	7.11496885	0.0222976304	39.5183238	6.97098353	0	0	0	0	0	3
20	5	0	0.5	46.0800829	9.06322455	0.0222976304	46.0800829	8.91923923	0	0	0	0	0	3
21	5	0	0.525	50.1628376	11.5522706	0.0222976304	50.1628376	11.4082853	0	0	0	0	0	3
22	5	0	0.55	54.0281664	14.228149	0.0222976304	54.0281664	14.0841637	0	0	0	0	0	3
23	5	0	0.575	58.4510844	17.1429317	0.0222976304	58.4510844	16.9989464	0	0	0	0	0	3
24	6	0	0.6	61.3234408	20.2071039	0.0222976304	61.3234408	20.0631185	0	0	0	0	0	3
25	6	0	0.625	63.824743	23.3944935	0.0222976304	63.824743	23.2505082	0	0	0	0	0	3
26	6	0	0.65	65.1126901	26.6460526	0.0222976304	65.1126901	26.5020673	0	0	0	0	0	3
27	7	0	0.675	65.4129736	29.9117761	0.0222976304	65.4129736	29.7677908	0	0	0	0	0	3
28	7	0	0.7	65.9996274	33.2104845	0.0222976304	65.9996274	33.0664992	0	0	0	0	0	3
29	7	0	0.725	65.5112313	36.4836865	0.0222976304	65.9996274	36.3397012	0	0	0	0	0	3
30	7	0	0.75	66.0987732	39.7875103	0.376603391	66.0987732	39.6223779	0	0	0	0	0	3
31	7	0	0.775	65.5363861	43.0454994	1.01465454	66.0987732	42.8095735	0	0	0	0	0	3
32	8	0	0.8	65.5566154	46.2725975	3.11813154	66.0987732	45.8149634	0	0	0	0	0	3
33	8	0	0.825	65.1244506	49.3729134	6.61547091	66.0987732	48.4754339	0	0	0	0	0	3
34	8	0	0.85	64.7112719	52.2777035	11.3535363	66.0987732	50.6831535	0	0	0	0	0	3
35	9	0	0.875	64.614931	54.9407732	16.4181693	66.0987732	49.6806039	0	0	0	0	0	3
36	9	0	0.9	64.7657317	57.3581513	23.5618895	66.0987732	42.5368837	0	0	0	0	0	3
37	9	0	0.925	64.4177707	59.4009454	31.7677756	66.0987732	34.3309977	0	0	0	0	0	3
38	9	0	0.95	64.7016417	61.0476387	39.5183238	66.0987732	26.5804495	0	0	0	0	0	3
39	9	0	0.975	64.9372275	62.3185839	46.0800829	66.0987732	20.0186904	0	0	0	0	0	3
40	10	0	1	64.9315567	63.2611576	50.1628376	66.0987732	15.9359356	9.91147134	62.1	0	0	0	3
41	10	0	1.025	64.8932382	63.9976776	54.0281664	66.0987732	12.0706068	9.91147134	82.1	0	0	0	3
42	10	0	1.05	64.8575239	64.5391455	58.4510844	66.0987732	7.64768881	9.91147134	100	0	0	0	3
43	10	0	1.075	65.021682	64.8676753	61.3234408	66.0987732	4.77533245	9.91147134	100	0	0	0	3
44	11	0	1.1	65.1929936	64.8831667	61.3234408	66.0987732	4.77533245	9.91147134	100	0	0	0	3
45	11	0	1.125	65.1196412	65.0639381	63.824743	66.0987732	2.27403025	9.91147134	100	0	0	0	3
46	11	0	1.15	65.115693	65.1254119	64.4177707	66.0987732	1.68100254	9.91147134	100	0	0	0	3
47	12	0	1.175	65.1556996	65.12746	64.4177707	66.0987732	1.68100254	9.91147134	100	0	0	0	3
48	12	0	1.2	65.1594953	65.1153896	64.4177707	66.0987732	1.68100254	9.91147134	100	0	0	0	3
49	12	0	1.225	65.0250402	65.0689807	64.4177707	66.0987732	1.68100254	9.91147134	100	0	0	0	3
50	13	0	1.25	65.0196191	65.0455706	64.4177707	66.0987732	1.68100254	9.91147134	100	0	0	0	3
