Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.05	0.000225050211	0.000112525106	0	0.000225050211	0.000112525106	0	0	0	0	0	3
3	1	0	0.075	-1.99574496e-06	7.43514888e-05	-1.99574496e-06	0.000225050211	0.000112525106	0	0	0	0	0	3
4	1	0	0.1	-8.5993682e-06	5.36137746e-05	-8.5993682e-06	0.000225050211	0.000112525106	0	0	0	0	0	3
5	2	0	0.125	-6.02210443e-06	4.16865988e-05	-8.5993682e-06	0.000225050211	0.000112525106	0	0	0	0	0	3
6	2	0	0.15	-2.56976765e-06	3.43105377e-05	-8.5993682e-06	0.000225050211	0.000112525106	0	0	0	0	0	3
7	2	0	0.175	5.11217565e-08	2.94163354e-05	-8.5993682e-06	0.000225050211	0.000112525106	0	0	0	0	0	3
8	2	0	0.2	-4.98376046e-05	1.95095929e-05	-4.98376046e-05	0.000225050211	0.000112525106	0	0	0	0	0	3
9	2	0	0.225	-1.76932139e-05	1.53759477e-05	-4.98376046e-05	0.000225050211	0.000112525106	0	0	0	0	0	3
10	3	0	0.25	-6.86087745e-05	6.97747549e-06	-6.86087745e-05	0.000225050211	0.000112525106	0	0	0	0	0	3
11	3	0	0.275	-0.000116638705	-4.26035914e-06	-0.000116638705	0.000225050211	0.000116785465	0	0	0	0	0	3
12	3	0	0.3	-0.000581930672	-5.23995519e-05	-0.000581930672	0.000225050211	0.000164924658	0	0	0	0	0	3
13	3	0	0.325	-0.00102610114	-0.000127299674	-0.00102610114	0.000225050211	0.00023982478	0	0	0	0	0	3
14	3	0	0.35	-0.00125431111	-0.000207800491	-0.00125431111	0.000225050211	0.000320325596	0	0	0	0	0	3
15	4	0	0.375	-0.00134539975	-0.000283640442	-0.00134539975	0.000225050211	0.000396165547	0	0	0	0	0	3
16	4	0	0.4	-0.00173496808	-0.000374348419	-0.00173496808	0.000225050211	0.000486873525	0	0	0	0	0	3
17	4	0	0.425	-0.000862658009	-0.000403072513	-0.00173496808	0.000225050211	0.000515597618	0	0	0	0	0	3
18	4	0	0.45	-0.00141958743	-0.000459545563	-0.00173496808	0.000225050211	0.000572070669	0	0	0	0	0	3
19	5	0	0.475	-0.00471481219	-0.000683506965	-0.00471481219	0.000225050211	0.00079603207	0	0	0	0	0	3
20	5	0	0.5	-0.00429316654	-0.000863989944	-0.00471481219	0.000225050211	0.000976515049	0	0	0	0	0	3
21	5	0	0.525	-0.00319336224	-0.00102365806	-0.00471481219	0.000225050211	0.00113618316	0	0	0	0	0	3
22	5	0	0.55	0.00383197403	-0.000843311865	-0.00471481219	0.00383197403	0.00109800954	0	0	0	0	0	3
23	5	0	0.575	0.00445653603	-0.000620385276	-0.00471481219	0.00445653603	0.00107727183	0	0	0	0	0	3
24	6	0	0.6	0.00241218066	-0.000499346275	-0.00471481219	0.00445653603	0.00106534465	0	0	0	0	0	3
25	6	0	0.625	0.00370749496	-0.000313670422	-0.00471481219	0.00445653603	0.00105796859	0	0	0	0	0	3
26	6	0	0.65	0.00300854777	-0.000163114545	-0.00471481219	0.00445653603	0.00105307439	0	0	0	0	0	3
27	7	0	0.675	0.00317878773	-4.17771453e-06	-0.00471481219	0.00445653603	0.00104316765	0	0	0	0	0	3
28	7	0	0.7	0.00710127729	0.00035337803	-0.00471481219	0.00710127729	0.00137703609	0	0	0	0	0	3
29	7	0	0.725	0.00548425177	0.000628475279	-0.00471481219	0.00710127729	0.00165213333	0	0	0	0	0	3
30	7	0	0.75	0.00253046601	0.000758429019	-0.00471481219	0.00710127729	0.00178208707	0	0	0	0	0	3
31	7	0	0.775	0.0106720621	0.00129786406	-0.00471481219	0.0106720621	0.00232152211	0	0	0	0	0	3
32	8	0	0.8	0.00354099457	0.00150401032	-0.00471481219	0.0106720621	0.00252766838	0	0	0	0	0	3
33	8	0	0.825	0.0127394629	0.00219228852	-0.00471481219	0.0127394629	0.00321594658	0	0	0	0	0	3
34	8	0	0.85	0.00957702104	0.00273385513	-0.00471481219	0.0127394629	0.00375751319	0	0	0	0	0	3
35	9	0	0.875	0.00395293091	0.00299877166	-0.00471481219	0.0127394629	0.00402242972	0	0	0	0	0	3
36	9	0	0.9	-0.0038324167	0.00289389923	-0.00471481219	0.0127394629	0.00402242972	0	0	0	0	0	3
37	9	0	0.925	-0.00419114089	0.00272747509	-0.00471481219	0.0127394629	0.00402242972	0	0	0	0	0	3
38	9	0	0.95	0.0107087592	0.00333389242	-0.00471481219	0.0127394629	0.00435755048	0	0	0	0	0	3
39	9	0	0.975	-0.00420483942	0.00335939106	-0.00429316654	0.0127394629	0.00438304911	0	0	0	0	0	3
40	10	0	1	0.00948862492	0.00404848063	-0.00420483942	0.0127394629	0.00507213869	0.00261814127	51.6	0	0	0	3
41	10	0	1.025	-0.000615799756	0.00417735876	-0.00420483942	0.0127394629	0.00502067062	0.00261814127	52.1	0	0	0	3
42	10	0	1.05	0.00350923679	0.00416122189	-0.00420483942	0.0127394629	0.00479774403	0.00261814127	54.5	0	0	0	3
43	10	0	1.075	-0.00265688859	0.00380555066	-0.00420483942	0.0127394629	0.00467670503	0.00261814127	55.9	0	0	0	3
44	11	0	1.1	0.0100947786	0.00410503771	-0.00420483942	0.0127394629	0.00467670503	0.00261814127	55.9	0	0	0	3
45	11	0	1.125	0.00722055189	0.00433400777	-0.00420483942	0.0127394629	0.00464767819	0.00261814127	56.3	0	0	0	3
46	11	0	1.15	0.00152477396	0.00423006867	-0.00420483942	0.0127394629	0.00449712231	0.00261814127	58.2	0	0	0	3
47	12	0	1.175	-0.00302895079	0.00394256874	-0.00420483942	0.0127394629	0.00433818548	0.00261814127	60.3	0	0	0	3
48	12	0	1.2	0.00726165318	0.00413699091	-0.00420483942	0.0127394629	0.00398062974	0.00261814127	65.7	0	0	0	3
49	12	0	1.225	-0.00277888861	0.00366650682	-0.00420483942	0.0127394629	0.00370553249	0.00261814127	70.6	0	0	0	3
50	13	0	1.25	0.00202951336	0.00350199546	-0.00420483942	0.0127394629	0.00357557875	0.00261814127	73.2	0	0	0	3
51	13	0	1.275	-0.00276962631	0.00324961011	-0.00420483942	0.0127394629	0.00303614371	0.00261814127	86.2	0	0	0	3
52	13	0	1.3	0.00247480805	0.00285926468	-0.00420483942	0.0127394629	0.00282999745	0.00261814127	92.5	0	0	0	3
53	13	0	1.325	-0.0035943545	0.00251948616	-0.00420483942	0.0127394629	0.00214171925	0.00261814127	100	0	0	0	3
54	14	0	1.35	0.0016438892	0.0019911255	-0.00420483942	0.0107087592	0.00234288226	0.00261814127	100	0	0	0	3
55	14	0	1.375	-0.00313336561	0.001385869	-0.00420483942	0.0107087592	0.00294813877	0.00261814127	88.8	0	0	0	3
56	14	0	1.4	0.0017765436	0.00128223151	-0.00420483942	0.0107087592	0.00305177626	0.00261814127	85.7	0	0	0	3
57	15	0	1.425	-0.00289281937	0.00132697424	-0.00420483942	0.0107087592	0.00305177626	0.00261814127	85.7	0	0	0	3
58	15	0	1.45	0.00705111329	0.00186231967	-0.00420483942	0.0107087592	0.00305177626	0.00261814127	85.7	0	0	0	3
59	15	0	1.475	-0.00266952344	0.00122525859	-0.00420483942	0.0100947786	0.00310874917	0.00261814127	84.2	0	0	0	3
60	16	0	1.5	0.00240119194	0.00153983152	-0.0035943545	0.0100947786	0.00310874917	0.00261814127	84.2	0	0	0	3
61	16	0	1.525	-0.00304932138	0.000942786454	-0.0035943545	0.0100947786	0.00339122131	0.00261814127	77.2	0	0	0	3
62	16	0	1.55	0.00254344593	0.00109322673	-0.0035943545	0.0100947786	0.00339122131	0.00261814127	77.2	0	0	0	3
63	16	0	1.575	-0.00260568511	0.000802039968	-0.0035943545	0.0100947786	0.0035319678	0.00261814127	74.1	0	0	0	3
64	17	0	1.6	0.00259225487	0.00105199918	-0.0035943545	0.0100947786	0.0035319678	0.00261814127	74.1	0	0	0	3
65	17	0	1.625	-0.00332649686	0.000412890823	-0.0035943545	0.00726165318	0.00392111695	0.00261814127	66.7	0	0	0	3
66	17	0	1.65	0.00657592669	0.000382194385	-0.0035943545	0.00726165318	0.00384787429	0.00261814127	68	0	0	0	3
67	18	0	1.675	-0.00333643876	0.000150708065	-0.0035943545	0.00726165318	0.00398628284	0.00261814127	65.6	0	0	0	3
68	18	0	1.7	0.00696236504	0.000626485009	-0.0035943545	0.00726165318	0.00398628284	0.00261814127	65.6	0	0	0	3
69	18	0	1.725	-0.00328299354	0.000124358975	-0.0035943545	0.00705111329	0.00354214784	0.00261814127	73.9	0	0	0	3
70	18	0	1.75	0.00637067373	0.00056005242	-0.0035943545	0.00705111329	0.00337763649	0.00261814127	77.5	0	0	0	3
71	19	0	1.775	-0.00372968832	0.000285804721	-0.00372968832	0.00705111329	0.00312525114	0.00261814127	83.7	0	0	0	3
72	19	0	1.8	0.00635437472	0.00072028096	-0.00372968832	0.00705111329	0.00273490571	0.00261814127	95.7	0	0	0	3
73	19	0	1.825	-0.00358995795	0.000431482579	-0.00372968832	0.00705111329	0.00239512718	0.00261814127	100	0	0	0	3
74	20	0	1.85	0.00215309293	0.000705170552	-0.00372968832	0.00705111329	0.00186676653	0.00261814127	100	0	0	0	3
75	20	0	1.875	-0.0034012167	0.000464927414	-0.00372968832	0.00705111329	0.0017379607	0.00261814127	100	0	0	0	3
76	20	0	1.9	0.00234698463	0.000725896473	-0.00372968832	0.00705111329	0.0017379607	0.00261814127	100	0	0	0	3
77	20	0	1.925	-0.00331910585	0.000483246499	-0.00372968832	0.00705111329	0.0017379607	0.00261814127	100	0	0	0	3
78	21	0	1.95	0.00220293634	0.000725901533	-0.00372968832	0.00705111329	0.0017379607	0.00261814127	100	0	0	0	3
79	21	0	1.975	-0.00338852691	0.000228775809	-0.00372968832	0.00696236504	0.00141547254	0.00261814127	100	0	0	0	3
80	21	0	2	0.00679618069	0.000679523625	-0.00372968832	0.00696236504	0.00141547254	0.00261814127	100	0	0	0	3
81	21	0	2.025	-0.00354964482	0.000396150446	-0.00372968832	0.00696236504	0.00096886775	0.00261814127	100	0	0	0	3
82	22	0	2.05	0.00150588436	0.000613065005	-0.00372968832	0.00696236504	0.00096886775	0.00261814127	100	0	0	0	3
83	22	0	2.075	-0.00342270211	0.000328962717	-0.00372968832	0.00696236504	0.000927640205	0.00261814127	100	0	0	0	3
84	22	0	2.1	0.000225196691	0.000463766612	-0.00372968832	0.00696236504	0.000927640205	0.00261814127	100	0	0	0	3
85	23	0	2.125	-0.00344109375	0.000176464297	-0.00372968832	0.00696236504	0.000601542558	0.00261814127	100	0	0	0	3
86	23	0	2.15	0.00156908092	0.000409587048	-0.00372968832	0.00696236504	0.000601542558	0.00261814127	100	0	0	0	3
87	23	0	2.175	-0.00310588961	-5.14518231e-05	-0.00372968832	0.00696236504	0.000777353356	0.00261814127	100	0	0	0	3
88	24	0	2.2	0.00104654279	0.000157261584	-0.00372968832	0.00696236504	0.000777353356	0.00261814127	100	0	0	0	3
89	24	0	2.225	-0.0024571097	-0.000291284832	-0.00372968832	0.00679618069	0.00101718636	0.00261814127	100	0	0	0	3
90	24	0	2.25	0.00718182778	0.000207039992	-0.00372968832	0.00718182778	0.00101718636	0.00261814127	100	0	0	0	3
91	25	0	2.275	-0.00231145863	-0.000206394882	-0.00372968832	0.00718182778	0.00101718636	0.00261814127	100	0	0	0	3
92	25	0	2.3	0.00774539662	0.000340037734	-0.00358995795	0.00774539662	0.00101718636	0.00261814127	100	0	0	0	3
93	25	0	2.325	-0.00219520006	-6.7084874e-05	-0.00358995795	0.00774539662	0.00101718636	0.00261814127	100	0	0	0	3
94	26	0	2.35	0.00301355983	0.000247368354	-0.00354964482	0.00774539662	0.00101718636	0.00261814127	100	0	0	0	3
95	26	0	2.375	-0.001983529	5.03863574e-05	-0.00354964482	0.00774539662	0.00101718636	0.00261814127	100	0	0	0	3
96	26	0	2.4	0.00277702367	0.00034458828	-0.00354964482	0.00774539662	0.00101718636	0.00261814127	100	0	0	0	3
97	27	0	2.425	-0.00200284097	0.000137453727	-0.00354964482	0.00774539662	0.00101718636	0.00261814127	100	0	0	0	3
98	27	0	2.45	0.00108488857	0.000347167747	-0.00354964482	0.00774539662	0.00101718636	0.00261814127	100	0	0	0	3
99	28	0	2.475	-0.00191089196	0.000151271161	-0.00354964482	0.00774539662	0.000970808457	0.00261814127	100	0	0	0	3
100	28	0	2.5	0.00289215855	0.000450351421	-0.00354964482	0.00774539662	0.000970808457	0.00261814127	100	0	0	0	3
101	29	0	2.525	-0.00179296175	4.13446384e-05	-0.00354964482	0.00774539662	0.000904349837	0.00261814127	100	0	0	0	3
102	29	0	2.55	0.00516896144	0.000456516365	-0.00344109375	0.00774539662	0.000904349837	0.00261814127	100	0	0	0	3
103	29	0	2.575	0.00738941775	0.000736684622	-0.00344109375	0.00774539662	0.00102796945	0.00261814127	100	0	0	0	3
104	30	0	2.6	0.00528172135	0.00115118098	-0.00344109375	0.00774539662	0.00144246581	0.00261814127	100	0	0	0	3
105	30	0	2.625	-0.00224741854	0.00103343739	-0.00344109375	0.00774539662	0.00144246581	0.00261814127	100	0	0	0	3
106	30	0	2.65	0.00509512344	0.00143992393	-0.00310588961	0.00774539662	0.00173120876	0.00261814127	100	0	0	0	3
107	30	0	2.675	-0.00185698049	0.00127677815	-0.00310588961	0.00774539662	0.00173120876	0.00261814127	100	0	0	0	3
108	31	0	2.7	0.00564959701	0.00169370608	-0.0024571097	0.00774539662	0.00198499091	0.00261814127	100	0	0	0	3
109	31	0	2.725	-0.00191973376	0.00155245482	-0.0024571097	0.00774539662	0.00198499091	0.00261814127	100	0	0	0	3
110	32	0	2.75	0.00573602691	0.00194260418	-0.00231145863	0.00774539662	0.00214899906	0.00261814127	100	0	0	0	3
111	32	0	2.775	-0.00193712038	0.00150836855	-0.00231145863	0.00774539662	0.00214899906	0.00261814127	100	0	0	0	3
112	32	0	2.8	0.000930988236	0.00166277078	-0.00224741854	0.00774539662	0.00200968905	0.00261814127	100	0	0	0	3
113	33	0	2.825	-0.00245091602	0.00117723209	-0.00245091602	0.00738941775	0.00200968905	0.00261814127	100	0	0	0	3
114	33	0	2.85	0.000827326851	0.00132116194	-0.00245091602	0.00738941775	0.00190125954	0.00261814127	100	0	0	0	3
115	33	0	2.875	0.00609403114	0.00146785105	-0.00245091602	0.00738941775	0.00190125954	0.00261814127	100	0	0	0	3
116	34	0	2.9	0.00536655653	0.00181785512	-0.00245091602	0.00738941775	0.00190125954	0.00261814127	100	0	0	0	3
117	34	0	2.925	-0.00584496436	0.00140728426	-0.00584496436	0.00738941775	0.00190125954	0.00261814127	100	0	0	0	3
118	35	0	2.95	0.00985781347	0.00197207733	-0.00584496436	0.00985781347	0.00193073269	0.00261814127	100	0	0	0	3
119	35	0	2.975	-0.00518921154	0.00167331066	-0.00584496436	0.00985781347	0.00193073269	0.00261814127	100	0	0	0	3
120	35	0	3	0.00816998956	0.00215335264	-0.00584496436	0.00985781347	0.002112008	0.00261814127	100	0	0	0	3
121	36	0	3.025	0.00477967808	0.00224323452	-0.00584496436	0.00985781347	0.00220188988	0.00261814127	100	0	0	0	3
122	36	0	3.05	0.0049508973	0.00256437067	-0.00584496436	0.00985781347	0.0021078543	0.00261814127	100	0	0	0	3
123	37	0	3.075	-0.00478382445	0.00209042848	-0.00584496436	0.00985781347	0.00182768604	0.00261814127	100	0	0	0	3
124	37	0	3.1	0.00420920961	0.00193899	-0.00584496436	0.00985781347	0.00153093327	0.00261814127	100	0	0	0	3
125	37	0	3.125	-0.00474137839	0.00146169953	-0.00584496436	0.00985781347	0.00153093327	0.00261814127	100	0	0	0	3
126	38	0	3.15	0.00347498154	0.00173419478	-0.00584496436	0.00985781347	0.00138713858	0.00261814127	100	0	0	0	3
127	38	0	3.175	-0.00514481454	0.00124657868	-0.00584496436	0.00985781347	0.00138713858	0.00261814127	100	0	0	0	3
128	38	0	3.2	0.00844284354	0.00173704649	-0.00584496436	0.00985781347	0.00138713858	0.00261814127	100	0	0	0	3
129	39	0	3.225	-0.00510314719	0.00122501105	-0.00584496436	0.00985781347	0.00138713858	0.00261814127	100	0	0	0	3
