Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	1	0	0.05	0.0122139104	0.00610695522	0	0.0122139104	0.00610695522	0	0	0	0	0	3
3	1	0	0.075	0.000486783622	0.00423356469	0	0.0122139104	0.00610695522	0	0	0	0	0	3
4	1	0	0.1	0.000862309573	0.00339075091	0	0.0122139104	0.00610695522	0	0	0	0	0	3
5	2	0	0.125	0.000673767207	0.00284735417	0	0.0122139104	0.00610695522	0	0	0	0	0	3
6	2	0	0.15	0.000412375103	0.00244152432	0	0.0122139104	0.00610695522	0	0	0	0	0	3
7	2	0	0.175	8.1778026e-05	0.00210441771	0	0.0122139104	0.00610695522	0	0	0	0	0	3
8	2	0	0.2	0.00119182292	0.00199034336	0	0.0122139104	0.00610695522	0	0	0	0	0	3
9	2	0	0.225	0.000539725093	0.00182916355	0	0.0122139104	0.00610695522	0	0	0	0	0	3
10	3	0	0.25	0.00208286575	0.00185453377	0	0.0122139104	0.00610695522	0	0	0	0	0	3
11	3	0	0.275	0.00340770268	0.00199573095	0	0.0122139104	0.00610695522	0	0	0	0	0	3
12	3	0	0.3	0.00881527704	0.00256402645	0	0.0122139104	0.00610695522	0	0	0	0	0	3
13	3	0	0.325	0.0210318168	0.00398462571	0	0.0210318168	0.00610695522	0	0	0	0	0	3
14	3	0	0.35	0.0314904067	0.00594932436	0	0.0314904067	0.00610695522	0	0	0	0	0	3
15	4	0	0.375	0.0437766475	0.0084711459	0	0.0437766475	0.0084711459	0	0	0	0	0	3
16	4	0	0.4	0.0603244095	0.0117119749	0	0.0603244095	0.0117119749	0	0	0	0	0	3
17	4	0	0.425	0.0797276119	0.0157128947	0	0.0797276119	0.0157128947	0	0	0	0	0	3
18	4	0	0.45	0.105818194	0.0207187447	0	0.105818194	0.0207187447	0	0	0	0	0	3
19	5	0	0.475	0.127791981	0.0263541781	0	0.127791981	0.0263541781	0	0	0	0	0	3
20	5	0	0.5	0.150192261	0.0325460823	0	0.150192261	0.0325460823	0	0	0	0	0	3
21	5	0	0.525	0.202531159	0.0426726402	8.1778026e-05	0.202531159	0.0408434767	0	0	0	0	0	3
22	5	0	0.55	0.243311261	0.0542275077	8.1778026e-05	0.243311261	0.0523983442	0	0	0	0	0	3
23	5	0	0.575	0.400180625	0.0742121998	8.1778026e-05	0.400180625	0.0723830362	0	0	0	0	0	3
24	6	0	0.6	0.391731239	0.0937556463	8.1778026e-05	0.400180625	0.0919264827	0	0	0	0	0	3
25	6	0	0.625	0.382546273	0.112849272	8.1778026e-05	0.400180625	0.111020108	0	0	0	0	0	3
26	6	0	0.65	0.3913575	0.132396528	8.1778026e-05	0.400180625	0.130567364	0	0	0	0	0	3
27	7	0	0.675	0.251098016	0.14494734	0.000539725093	0.400180625	0.143118176	0	0	0	0	0	3
28	7	0	0.7	0.253760296	0.157575763	0.000539725093	0.400180625	0.1557466	0	0	0	0	0	3
29	7	0	0.725	0.306807979	0.172889176	0.00208286575	0.400180625	0.171034642	0	0	0	0	0	3
30	7	0	0.75	0.232153648	0.184392715	0.00340770268	0.400180625	0.182396984	0	0	0	0	0	3
31	7	0	0.775	0.241426338	0.196293647	0.00881527704	0.400180625	0.19372962	0	0	0	0	0	3
32	8	0	0.8	0.283251148	0.21001544	0.0210318168	0.400180625	0.206030815	0	0	0	0	0	3
33	8	0	0.825	0.272663446	0.222597022	0.0314904067	0.400180625	0.216647698	0	0	0	0	0	3
34	8	0	0.85	0.320402119	0.237042608	0.0437766475	0.400180625	0.228571462	0	0	0	0	0	3
35	9	0	0.875	0.273042482	0.248505899	0.0603244095	0.400180625	0.236793924	0	0	0	0	0	3
36	9	0	0.9	0.268975033	0.25893843	0.0797276119	0.400180625	0.243225536	0	0	0	0	0	3
37	9	0	0.925	0.273004808	0.26860229	0.105818194	0.400180625	0.247883546	0	0	0	0	0	3
38	9	0	0.95	0.248132061	0.275717984	0.127791981	0.400180625	0.249363805	0	0	0	0	0	3
39	9	0	0.975	0.274316952	0.283044232	0.150192261	0.400180625	0.249988364	0	0	0	0	0	3
40	10	0	1	0.254652626	0.28826725	0.202531159	0.400180625	0.197649466	0.060014827	30.3	0	0	0	3
41	10	0	1.025	0.282550352	0.29226821	0.232153648	0.400180625	0.168026977	0.060014827	35.7	0	0	0	3
42	10	0	1.05	0.26961821	0.293583558	0.232153648	0.400180625	0.168026977	0.060014827	35.7	0	0	0	3
43	10	0	1.075	0.269399489	0.287044501	0.232153648	0.391731239	0.159577591	0.060014827	37.6	0	0	0	3
44	11	0	1.1	0.261242479	0.285815833	0.232153648	0.391731239	0.159577591	0.060014827	37.6	0	0	0	3
45	11	0	1.125	0.278537977	0.280425678	0.232153648	0.3913575	0.159203853	0.060014827	37.6	0	0	0	3
46	11	0	1.15	0.272156019	0.275168999	0.232153648	0.3913575	0.159203853	0.060014827	37.6	0	0	0	3
47	12	0	1.175	0.27340624	0.269552272	0.232153648	0.320402119	0.0882484715	0.060014827	68	0	0	0	3
48	12	0	1.2	0.267745294	0.270345	0.232153648	0.320402119	0.0882484715	0.060014827	68	0	0	0	3
49	12	0	1.225	0.280765754	0.271630974	0.232153648	0.320402119	0.0882484715	0.060014827	68	0	0	0	3
50	13	0	1.25	0.27173153	0.269960667	0.232153648	0.320402119	0.0882484715	0.060014827	68	0	0	0	3
51	13	0	1.275	0.28173865	0.272321857	0.241426338	0.320402119	0.0789757815	0.060014827	75.9	0	0	0	3
52	13	0	1.3	0.271250834	0.273742072	0.248132061	0.320402119	0.0722700578	0.060014827	83	0	0	0	3
53	13	0	1.325	0.286247125	0.273884737	0.248132061	0.320402119	0.0709865356	0.060014827	84.5	0	0	0	3
54	14	0	1.35	0.27062099	0.273787477	0.248132061	0.320402119	0.05654095	0.060014827	100	0	0	0	3
55	14	0	1.375	0.288392588	0.272263214	0.248132061	0.288392588	0.0402605266	0.060014827	100	0	0	0	3
56	14	0	1.4	0.274564237	0.272335678	0.248132061	0.288392588	0.0346451271	0.060014827	100	0	0	0	3
57	15	0	1.425	0.28721626	0.273204308	0.248132061	0.288392588	0.0249812673	0.060014827	100	0	0	0	3
58	15	0	1.45	0.269410833	0.273033167	0.248132061	0.288392588	0.0240312853	0.060014827	100	0	0	0	3
59	15	0	1.475	0.288993506	0.27497895	0.254652626	0.288993506	0.0240312853	0.060014827	100	0	0	0	3
60	16	0	1.5	0.275398075	0.275030432	0.254652626	0.288993506	0.0240312853	0.060014827	100	0	0	0	3
61	16	0	1.525	0.291321047	0.276776547	0.261242479	0.291321047	0.0240312853	0.060014827	100	0	0	0	3
62	16	0	1.55	0.27370815	0.27635549	0.261242479	0.291321047	0.0240312853	0.060014827	100	0	0	0	3
63	16	0	1.575	0.293070951	0.277472287	0.261242479	0.293070951	0.0174922285	0.060014827	100	0	0	0	3
