Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101363.478	101363.478	101363.478	101363.478	0	0	0	10172	0	0	3
2	1	0	0.05	101318.963	101341.221	101318.963	101363.478	22.2575159	0	0	10517.4	0	0	3
3	1	0	0.075	101347.094	101343.179	101318.963	101363.478	22.2575159	0	0	7508.92	0	0	3
4	1	0	0.1	101334.347	101340.971	101318.963	101363.478	22.5075621	0	0	2747.44	0	0	3
5	2	0	0.125	101324.617	101337.7	101318.963	101363.478	25.7782661	0	0	1423.44	0	0	3
6	2	0	0.15	101325.208	101335.618	101318.963	101363.478	27.8602175	0	0	1128.67	0	0	3
7	2	0	0.175	101331.128	101334.977	101318.963	101363.478	28.5016252	0	0	911.33	0	0	3
8	2	0	0.2	101325.12	101333.744	101318.963	101363.478	29.7337442	0	0	489.189	0	0	3
9	2	0	0.225	101329.468	101333.269	101318.963	101363.478	30.2088692	0	0	317.099	0	0	3
10	3	0	0.25	101325.068	101332.449	101318.963	101363.478	31.0289704	0	0	341.166	0	0	3
11	3	0	0.275	101364.256	101335.341	101318.963	101364.256	31.0289704	0	0	334.319	0	0	3
12	3	0	0.3	101405.134	101341.157	101318.963	101405.134	31.0289704	0	0	278.292	0	0	3
13	3	0	0.325	101522.564	101355.111	101318.963	101522.564	31.0289704	0	0	302.674	0	0	3
14	3	0	0.35	101636.634	101375.22	101318.963	101636.634	42.7707692	0	0	384.537	0	0	3
15	4	0	0.375	101808.287	101404.091	101318.963	101808.287	71.6418899	0	0	551.084	0	0	3
16	4	0	0.4	101941.679	101437.69	101318.963	101941.679	105.241118	0	0	678.764	0	0	3
17	4	0	0.425	102118.274	101477.725	101318.963	102118.274	145.275455	0	0	876.703	0	0	3
18	4	0	0.45	102307.538	101523.825	101318.963	102307.538	191.376168	0	0	1072.88	0	0	3
19	5	0	0.475	102486.561	101574.496	101318.963	102486.561	242.046475	0	0	1363.73	0	0	3
20	5	0	0.5	102623.323	101626.937	101318.963	102623.323	294.48786	0	0	1622.37	0	0	3
21	5	0	0.525	102696.236	101693.575	101318.963	102696.236	361.125766	0	0	1785.34	0	0	3
22	5	0	0.55	102774.587	101766.356	101324.617	102774.587	433.906966	0	0	1955.79	0	0	3
23	5	0	0.575	102849.519	101841.477	101324.617	102849.519	509.028213	0	0	2103.03	0	0	3
24	6	0	0.6	102919.827	101920.751	101324.617	102919.827	588.302202	0	0	2230.35	0	0	3
25	6	0	0.625	102979.087	102003.475	101325.068	102979.087	671.025702	0	0	2323.19	0	0	3
26	6	0	0.65	103017.679	102088.098	101325.068	103017.679	755.64924	0	0	2379.21	0	0	3
27	7	0	0.675	103052.91	102174.188	101325.068	103052.91	841.738331	0	0	2416.77	0	0	3
28	7	0	0.7	103082.35	102262.049	101325.068	103082.35	929.59986	0	0	2462.26	0	0	3
29	7	0	0.725	103107.022	102350.927	101325.068	103107.022	1018.47753	0	0	2503.06	0	0	3
30	7	0	0.75	103128.461	102441.096	101364.256	103128.461	1105.75567	0	0	2543.65	0	0	3
31	7	0	0.775	103141.065	102529.937	101405.134	103141.065	1188.78004	0	0	2554.84	0	0	3
32	8	0	0.8	103157.845	102617.572	101522.564	103157.845	1262.46117	0	0	2592.97	0	0	3
