Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0	0	0	0	0	0	0	52.3607	0	0	3
2	1	0	0.05	0	0	0	0	0	0	0	52.261	0	0	3
3	1	0	0.075	0	0	0	0	0	0	0	52.3109	0	0	3
4	1	0	0.1	0	0	0	0	0	0	0	54.9778	0	0	3
5	2	0	0.125	0	0	0	0	0	0	0	53.9087	0	0	3
6	2	0	0.15	0	0	0	0	0	0	0	52.366	0	0	3
7	2	0	0.175	0	0	0	0	0	0	0	52.3662	0	0	3
8	2	0	0.2	0	0	0	0	0	0	0	52.3643	0	0	3
9	2	0	0.225	0	0	0	0	0	0	0	52.3638	0	0	3
10	3	0	0.25	0	0	0	0	0	0	0	52.3624	0	0	3
11	3	0	0.275	0	0	0	0	0	0	0	52.3626	0	0	3
12	3	0	0.3	0	0	0	0	0	0	0	52.3621	0	0	3
13	3	0	0.325	0	0	0	0	0	0	0	52.4021	0	0	3
14	3	0	0.35	0	0	0	0	0	0	0	52.7009	0	0	3
15	4	0	0.375	0	0	0	0	0	0	0	52.8259	0	0	3
16	4	0	0.4	0	0	0	0	0	0	0	52.8845	0	0	3
17	4	0	0.425	0	0	0	0	0	0	0	52.725	0	0	3
18	4	0	0.45	0	0	0	0	0	0	0	52.847	0	0	3
19	5	0	0.475	0	0	0	0	0	0	0	52.7124	0	0	3
20	5	0	0.5	0	0	0	0	0	0	0	52.6273	0	0	3
21	5	0	0.525	0	0	0	0	0	0	0	52.439	0	0	3
22	5	0	0.55	0	0	0	0	0	0	0	52.4722	0	0	3
23	5	0	0.575	0	0	0	0	0	0	0	52.4862	0	0	3
24	6	0	0.6	0	0	0	0	0	0	0	52.5432	0	0	3
25	6	0	0.625	0	0	0	0	0	0	0	53.7616	0	0	3
26	6	0	0.65	0	0	0	0	0	0	0	54.5251	0	0	3
27	7	0	0.675	0	0	0	0	0	0	0	54.9863	0	0	3
28	7	0	0.7	0	0	0	0	0	0	0	55.3297	0	0	3
29	7	0	0.725	0	0	0	0	0	0	0	55.638	0	0	3
30	7	0	0.75	0	0	0	0	0	0	0	55.8619	0	0	3
31	7	0	0.775	0	0	0	0	0	0	0	56.0102	0	0	3
32	8	0	0.8	0	0	0	0	0	0	0	56.0283	0	0	3
33	8	0	0.825	0	0	0	0	0	0	0	56.1608	0	0	3
34	8	0	0.85	0	0	0	0	0	0	0	56.1348	0	0	3
35	9	0	0.875	0	0	0	0	0	0	0	56.2491	0	0	3
36	9	0	0.9	0	0	0	0	0	0	0	56.1693	0	0	3
37	9	0	0.925	0	0	0	0	0	0	0	56.3135	0	0	3
38	9	0	0.95	0	0	0	0	0	0	0	56.2974	0	0	3
39	9	0	0.975	0	0	0	0	0	0	0	56.4482	0	0	3
40	10	0	1	0	0	0	0	0	0	100	56.2932	0	0	3
41	10	0	1.025	0	0	0	0	0	0	100	56.4865	0	0	3
42	10	0	1.05	0	0	0	0	0	0	100	56.37	0	0	3
43	10	0	1.075	0	0	0	0	0	0	100	56.478	0	0	3
44	11	0	1.1	0	0	0	0	0	0	100	56.29	0	0	3
45	11	0	1.125	0	0	0	0	0	0	100	56.4657	0	0	3
46	11	0	1.15	0	0	0	0	0	0	100	56.3725	0	0	3
47	12	0	1.175	0	0	0	0	0	0	100	56.5034	0	0	3
48	12	0	1.2	0	0	0	0	0	0	100	56.413	0	0	3
49	12	0	1.225	0	0	0	0	0	0	100	56.5149	0	0	3
50	13	0	1.25	0	0	0	0	0	0	100	56.4185	0	0	3
51	13	0	1.275	0	0	0	0	0	0	100	56.4629	0	0	3
52	13	0	1.3	0	0	0	0	0	0	100	56.4186	0	0	3
53	13	0	1.325	0	0	0	0	0	0	100	56.4649	0	0	3
54	14	0	1.35	0	0	0	0	0	0	100	56.4718	0	0	3
55	14	0	1.375	0	0	0	0	0	0	100	56.5353	0	0	3
56	14	0	1.4	0	0	0	0	0	0	100	56.422	0	0	3
57	15	0	1.425	0	0	0	0	0	0	100	56.519	0	0	3
58	15	0	1.45	0	0	0	0	0	0	100	56.4782	0	0	3
59	15	0	1.475	0	0	0	0	0	0	100	56.5042	0	0	3
60	16	0	1.5	0	0	0	0	0	0	100	56.4313	0	0	3
61	16	0	1.525	0	0	0	0	0	0	100	56.5023	0	0	3
62	16	0	1.55	0	0	0	0	0	0	100	56.4738	0	0	3
63	16	0	1.575	0	0	0	0	0	0	100	56.4903	0	0	3
64	17	0	1.6	0	0	0	0	0	0	100	56.4272	0	0	3
65	17	0	1.625	0	0	0	0	0	0	100	56.4629	0	0	3
66	17	0	1.65	0	0	0	0	0	0	100	56.4329	0	0	3
67	18	0	1.675	0	0	0	0	0	0	100	56.4842	0	0	3
68	18	0	1.7	0	0	0	0	0	0	100	56.4049	0	0	3
69	18	0	1.725	0	0	0	0	0	0	100	56.4237	0	0	3
70	18	0	1.75	0	0	0	0	0	0	100	56.3761	0	0	3
71	19	0	1.775	0	0	0	0	0	0	100	56.4207	0	0	3
72	19	0	1.8	0	0	0	0	0	0	100	56.4013	0	0	3
73	19	0	1.825	0	0	0	0	0	0	100	56.4751	0	0	3
74	20	0	1.85	0	0	0	0	0	0	100	56.417	0	0	3
75	20	0	1.875	0	0	0	0	0	0	100	56.4566	0	0	3
76	20	0	1.9	0	0	0	0	0	0	100	56.4367	0	0	3
77	20	0	1.925	0	0	0	0	0	0	100	56.4661	0	0	3
78	21	0	1.95	0	0	0	0	0	0	100	56.4323	0	0	3
79	21	0	1.975	0	0	0	0	0	0	100	56.4578	0	0	3
80	21	0	2	0	0	0	0	0	0	100	56.4062	0	0	3
81	21	0	2.025	0	0	0	0	0	0	100	56.445	0	0	3
82	22	0	2.05	0	0	0	0	0	0	100	56.417	0	0	3
83	22	0	2.075	0	0	0	0	0	0	100	56.4666	0	0	3
84	22	0	2.1	0	0	0	0	0	0	100	56.3887	0	0	3
85	23	0	2.125	0	0	0	0	0	0	100	56.4819	0	0	3
86	23	0	2.15	0	0	0	0	0	0	100	56.4853	0	0	3
87	23	0	2.175	0	0	0	0	0	0	100	56.4977	0	0	3
88	24	0	2.2	0	0	0	0	0	0	100	56.4216	0	0	3
89	24	0	2.225	0	0	0	0	0	0	100	56.4474	0	0	3
90	24	0	2.25	0	0	0	0	0	0	100	56.4455	0	0	3
91	25	0	2.275	0	0	0	0	0	0	100	56.5013	0	0	3
92	25	0	2.3	0	0	0	0	0	0	100	56.4115	0	0	3
93	25	0	2.325	0	0	0	0	0	0	100	56.4126	0	0	3
94	26	0	2.35	0	0	0	0	0	0	100	56.4233	0	0	3
95	26	0	2.375	0	0	0	0	0	0	100	56.4813	0	0	3
96	26	0	2.4	0	0	0	0	0	0	100	56.4085	0	0	3
97	27	0	2.425	0	0	0	0	0	0	100	56.4538	0	0	3
98	27	0	2.45	0	0	0	0	0	0	100	56.4082	0	0	3
99	28	0	2.475	0	0	0	0	0	0	100	56.4864	0	0	3
100	28	0	2.5	0	0	0	0	0	0	100	56.4052	0	0	3
101	29	0	2.525	0	0	0	0	0	0	100	56.4735	0	0	3
102	29	0	2.55	0	0	0	0	0	0	100	56.4021	0	0	3
103	29	0	2.575	0	0	0	0	0	0	100	56.492	0	0	3
104	30	0	2.6	0	0	0	0	0	0	100	56.3894	0	0	3
105	30	0	2.625	0	0	0	0	0	0	100	56.5096	0	0	3
106	30	0	2.65	0	0	0	0	0	0	100	56.4575	0	0	3
107	30	0	2.675	0	0	0	0	0	0	100	56.5131	0	0	3
108	31	0	2.7	0	0	0	0	0	0	100	56.3664	0	0	3
109	31	0	2.725	0	0	0	0	0	0	100	56.4781	0	0	3
110	32	0	2.75	0	0	0	0	0	0	100	56.4557	0	0	3
111	32	0	2.775	0	0	0	0	0	0	100	56.5126	0	0	3
112	32	0	2.8	0	0	0	0	0	0	100	56.465	0	0	3
113	33	0	2.825	0	0	0	0	0	0	100	56.5357	0	0	3
114	33	0	2.85	0	0	0	0	0	0	100	56.4764	0	0	3
115	33	0	2.875	0	0	0	0	0	0	100	56.5931	0	0	3
116	34	0	2.9	0	0	0	0	0	0	100	56.5185	0	0	3
117	34	0	2.925	0	0	0	0	0	0	100	56.5601	0	0	3
118	35	0	2.95	0	0	0	0	0	0	100	56.5294	0	0	3
119	35	0	2.975	0	0	0	0	0	0	100	56.5705	0	0	3
120	35	0	3	0	0	0	0	0	0	100	56.4921	0	0	3
121	36	0	3.025	0	0	0	0	0	0	100	56.5575	0	0	3
122	36	0	3.05	0	0	0	0	0	0	100	56.5014	0	0	3
123	37	0	3.075	0	0	0	0	0	0	100	56.545	0	0	3
124	37	0	3.1	0	0	0	0	0	0	100	56.4418	0	0	3
125	37	0	3.125	0	0	0	0	0	0	100	56.5609	0	0	3
126	38	0	3.15	0	0	0	0	0	0	100	56.4647	0	0	3
127	38	0	3.175	0	0	0	0	0	0	100	56.5354	0	0	3
128	38	0	3.2	0	0	0	0	0	0	100	56.4461	0	0	3
129	39	0	3.225	0	0	0	0	0	0	100	56.4686	0	0	3
130	39	0	3.25	0	0	0	0	0	0	100	56.4308	0	0	3
131	39	0	3.275	0	0	0	0	0	0	100	56.5375	0	0	3
132	40	0	3.3	0	0	0	0	0	0	100	56.4601	0	0	3
133	40	0	3.325	0	0	0	0	0	0	100	56.5445	0	0	3
134	40	0	3.35	0	0	0	0	0	0	100	56.459	0	0	3
135	41	0	3.375	0	0	0	0	0	0	100	56.4889	0	0	3
136	41	0	3.4	0	0	0	0	0	0	100	56.4033	0	0	3
137	41	0	3.425	0	0	0	0	0	0	100	56.4409	0	0	3
138	42	0	3.45	0	0	0	0	0	0	100	56.4577	0	0	3
139	42	0	3.475	0	0	0	0	0	0	100	56.5463	0	0	3
140	43	0	3.5	0	0	0	0	0	0	100	56.4655	0	0	3
141	43	0	3.525	0	0	0	0	0	0	100	56.5026	0	0	3
142	43	0	3.55	0	0	0	0	0	0	100	56.4672	0	0	3
143	44	0	3.575	0	0	0	0	0	0	100	56.5779	0	0	3
144	44	0	3.6	0	0	0	0	0	0	100	56.4713	0	0	3
145	44	0	3.625	0	0	0	0	0	0	100	56.5511	0	0	3
146	45	0	3.65	0	0	0	0	0	0	100	56.5658	0	0	3
147	45	0	3.675	0	0	0	0	0	0	100	56.5763	0	0	3
148	45	0	3.7	0	0	0	0	0	0	100	56.4615	0	0	3
149	46	0	3.725	0	0	0	0	0	0	100	56.5129	0	0	3
150	46	0	3.75	0	0	0	0	0	0	100	56.4842	0	0	3
151	46	0	3.775	0	0	0	0	0	0	100	56.5104	0	0	3
152	47	0	3.8	0	0	0	0	0	0	100	56.4586	0	0	3
153	47	0	3.825	0	0	0	0	0	0	100	56.4844	0	0	3
154	47	0	3.85	0	0	0	0	0	0	100	56.3964	0	0	3
155	48	0	3.875	0	0	0	0	0	0	100	56.4149	0	0	3
156	48	0	3.9	0	0	0	0	0	0	100	56.3367	0	0	3
157	48	0	3.925	0	0	0	0	0	0	100	56.5407	0	0	3
158	48	0	3.95	0	0	0	0	0	0	100	56.4485	0	0	3
159	49	0	3.975	0	0	0	0	0	0	100	56.5748	0	0	3
160	49	0	4	0	0	0	0	0	0	100	56.4189	0	0	3
