Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-0.0198485044	-0.0198485044	-0.0198485044	-0.0198485044	0	0	0	0	0	0	3
2	1	0	0.05	0.0593677939	0.0197596447	-0.0198485044	0.0593677939	0.0396081492	0	0	0	0	0	3
3	1	0	0.075	-0.00412916736	0.0117967074	-0.0198485044	0.0593677939	0.0396081492	0	0	0	0	0	3
4	1	0	0.1	0.00329699013	0.00967177807	-0.0198485044	0.0593677939	0.0396081492	0	0	0	0	0	3
5	2	0	0.125	0.012330759	0.0102035742	-0.0198485044	0.0593677939	0.0396081492	0	0	0	0	0	3
6	2	0	0.15	0.0109549547	0.0103288043	-0.0198485044	0.0593677939	0.0396081492	0	0	0	0	0	3
7	2	0	0.175	0.00228365917	0.00917949787	-0.0198485044	0.0593677939	0.0396081492	0	0	0	0	0	3
8	2	0	0.2	0.00990187238	0.00926979468	-0.0198485044	0.0593677939	0.0396081492	0	0	0	0	0	3
9	2	0	0.225	0.0040387297	0.00868856524	-0.0198485044	0.0593677939	0.0396081492	0	0	0	0	0	3
10	3	0	0.25	0.0102903528	0.008848744	-0.0198485044	0.0593677939	0.0396081492	0	0	0	0	0	3
11	3	0	0.275	-0.016103795	0.00658033136	-0.0198485044	0.0593677939	0.0396081492	0	0	0	0	0	3
12	3	0	0.3	-0.0419425012	0.00253676198	-0.0419425012	0.0593677939	0.0396081492	0	0	0	0	0	3
13	3	0	0.325	-0.108236114	-0.0059842285	-0.108236114	0.0593677939	0.0396081492	0	0	0	0	0	3
14	3	0	0.35	-0.149610302	-0.0162432337	-0.149610302	0.0593677939	0.0396081492	0	0	0	0	0	3
15	4	0	0.375	-0.241683092	-0.0312725576	-0.241683092	0.0593677939	0.0510322024	0	0	0	0	0	3
16	4	0	0.4	-0.315722784	-0.0490506968	-0.315722784	0.0593677939	0.0688103415	0	0	0	0	0	3
17	4	0	0.425	-0.398758443	-0.0696217407	-0.398758443	0.0593677939	0.0893813854	0	0	0	0	0	3
18	4	0	0.45	-0.478320522	-0.0923272285	-0.478320522	0.0593677939	0.112086873	0	0	0	0	0	3
19	5	0	0.475	-0.548452272	-0.11633381	-0.548452272	0.0593677939	0.136093454	0	0	0	0	0	3
20	5	0	0.5	-0.550964581	-0.138065348	-0.550964581	0.0593677939	0.157824993	0	0	0	0	0	3
21	5	0	0.525	-0.524531634	-0.163299505	-0.550964581	0.0593677939	0.18305915	0	0	0	0	0	3
22	5	0	0.55	-0.462670276	-0.189401408	-0.550964581	0.012330759	0.201198116	0	0	0	0	0	3
23	5	0	0.575	-0.425852543	-0.210487577	-0.550964581	0.012330759	0.220816381	0	0	0	0	0	3
24	6	0	0.6	-0.388330939	-0.230068974	-0.550964581	0.012330759	0.240397778	0	0	0	0	0	3
25	6	0	0.625	-0.346825812	-0.248026802	-0.550964581	0.0109549547	0.258355606	0	0	0	0	0	3
26	6	0	0.65	-0.339848367	-0.265566968	-0.550964581	0.0102903528	0.274836763	0	0	0	0	0	3
27	7	0	0.675	-0.315765332	-0.281469418	-0.550964581	0.0102903528	0.290739212	0	0	0	0	0	3
28	7	0	0.7	-0.32818501	-0.298373762	-0.550964581	0.0102903528	0.307222506	0	0	0	0	0	3
29	7	0	0.725	-0.323650903	-0.314758244	-0.550964581	0.0102903528	0.323606988	0	0	0	0	0	3
30	7	0	0.75	-0.337789022	-0.332162212	-0.550964581	-0.016103795	0.338742544	0	0	0	0	0	3
31	7	0	0.775	-0.351262836	-0.348920164	-0.550964581	-0.0419425012	0.351456926	0	0	0	0	0	3
32	8	0	0.8	-0.381373583	-0.365891718	-0.550964581	-0.108236114	0.35990749	0	0	0	0	0	3
33	8	0	0.825	-0.383122668	-0.379636046	-0.550964581	-0.149610302	0.363392812	0	0	0	0	0	3
34	8	0	0.85	-0.410195504	-0.392665306	-0.550964581	-0.241683092	0.309281489	0	0	0	0	0	3
35	9	0	0.875	-0.428822003	-0.402022252	-0.550964581	-0.315722784	0.235241798	0	0	0	0	0	3
36	9	0	0.9	-0.440366642	-0.408254445	-0.550964581	-0.315765332	0.235199249	0	0	0	0	0	3
37	9	0	0.925	-0.42045815	-0.40933943	-0.550964581	-0.315765332	0.235199249	0	0	0	0	0	3
38	9	0	0.95	-0.442259204	-0.407536364	-0.550964581	-0.315765332	0.235199249	0	0	0	0	0	3
39	9	0	0.975	-0.43619016	-0.401923259	-0.550964581	-0.315765332	0.235199249	0	0	0	0	0	3
40	10	0	1	-0.465547305	-0.397652395	-0.524531634	-0.315765332	0.208766301	0.0844943011	40.4	0	0	0	3
41	10	0	1.025	-0.450837317	-0.393967679	-0.465547305	-0.315765332	0.149781972	0.0844943011	56.4	0	0	0	3
