Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.38191714	0.38191714	0.38191714	0.38191714	0	0	0	0	0	0	3
2	1	0	0.05	0.510549749	0.446233444	0.38191714	0.510549749	0.0643163048	0	0	0	0	0	3
3	1	0	0.075	0.155430081	0.34929899	0.155430081	0.510549749	0.0969344544	0	0	0	0	0	3
4	1	0	0.1	0.0399947561	0.271972932	0.0399947561	0.510549749	0.174260513	0	0	0	0	0	3
5	2	0	0.125	0.076951834	0.232968712	0.0399947561	0.510549749	0.213264732	0	0	0	0	0	3
6	2	0	0.15	0.0815086177	0.207725363	0.0399947561	0.510549749	0.238508081	0	0	0	0	0	3
7	2	0	0.175	0.0985012773	0.192121922	0.0399947561	0.510549749	0.254111522	0	0	0	0	0	3
8	2	0	0.2	0.0254678926	0.171290168	0.0254678926	0.510549749	0.274943276	0	0	0	0	0	3
9	2	0	0.225	0.0471611439	0.157498055	0.0254678926	0.510549749	0.28873539	0	0	0	0	0	3
10	3	0	0.25	0.0222630158	0.143974551	0.0222630158	0.510549749	0.302258894	0	0	0	0	0	3
11	3	0	0.275	0.376479783	0.16511139	0.0222630158	0.510549749	0.302258894	0	0	0	0	0	3
12	3	0	0.3	1.01381258	0.23583649	0.0222630158	1.01381258	0.302258894	0	0	0	0	0	3
13	3	0	0.325	3.11638619	0.457417236	0.0222630158	3.11638619	0.313442685	0	0	0	0	0	3
14	3	0	0.35	6.61242454	0.897060615	0.0222630158	6.61242454	0.753086064	0	0	0	0	0	3
15	4	0	0.375	11.348854	1.59384684	0.0222630158	11.348854	1.44987229	0	0	0	0	0	3
16	4	0	0.4	16.4108474	2.51990937	0.0222630158	16.4108474	2.37593482	0	0	0	0	0	3
17	4	0	0.425	23.5491555	3.75692385	0.0222630158	23.5491555	3.6129493	0	0	0	0	0	3
18	4	0	0.45	31.7468176	5.31191795	0.0222630158	31.7468176	5.1679434	0	0	0	0	0	3
19	5	0	0.475	39.4892129	7.11072295	0.0222630158	39.4892129	6.9667484	0	0	0	0	0	3
20	5	0	0.5	46.0405378	9.05721369	0.0222630158	46.0405378	8.91323914	0	0	0	0	0	3
