Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0.994177001	0.994177001	0.994177001	0.994177001	0	0	0	0.00292234	0	0	3
2	1	0	0.05	0.994157577	0.994167289	0.994157577	0.994177001	9.71201912e-06	0	0	0.00292073	0	0	3
3	1	0	0.075	0.994137977	0.994157519	0.994137977	0.994177001	1.94828159e-05	0	0	0.00291364	0	0	3
4	1	0	0.1	0.994118172	0.994147682	0.994118172	0.994177001	2.93195744e-05	0	0	0.0029102	0	0	3
5	2	0	0.125	0.994096492	0.994137444	0.994096492	0.994177001	3.95576016e-05	0	0	0.00291012	0	0	3
6	2	0	0.15	0.994055377	0.994123766	0.994055377	0.994177001	5.3235394e-05	0	0	0.0029097	0	0	3
7	2	0	0.175	0.993993643	0.994105177	0.993993643	0.994177001	7.18244168e-05	0	0	0.00290966	0	0	3
8	2	0	0.2	0.993928075	0.994083039	0.993928075	0.994177001	9.39622071e-05	0	0	0.00290966	0	0	3
9	2	0	0.225	0.993848529	0.994056983	0.993848529	0.994177001	0.000120018867	0	0	0.00290966	0	0	3
10	3	0	0.25	0.993772521	0.994028536	0.993772521	0.994177001	0.000148464976	0	0	0.00290966	0	0	3
11	3	0	0.275	0.993636937	0.993992936	0.993636937	0.994177001	0.000184064967	0	0	0.00290966	0	0	3
12	3	0	0.3	0.993515176	0.993953123	0.993515176	0.994177001	0.000223878339	0	0	0.00290978	0	0	3
13	3	0	0.325	0.99340115	0.993910664	0.99340115	0.994177001	0.000266337768	0	0	0.00290998	0	0	3
14	3	0	0.35	0.993308626	0.993867661	0.993308626	0.994177001	0.000309340475	0	0	0.00290968	0	0	3
15	4	0	0.375	0.993229234	0.993825099	0.993229234	0.994177001	0.000351902265	0	0	0.00291024	0	0	3
16	4	0	0.4	0.993130737	0.993781702	0.993130737	0.994177001	0.00039529987	0	0	0.00290972	0	0	3
17	4	0	0.425	0.99304766	0.993738523	0.99304766	0.994177001	0.000438478771	0	0	0.00290964	0	0	3
18	4	0	0.45	0.992972369	0.993695959	0.992972369	0.994177001	0.00048104285	0	0	0.00290965	0	0	3
19	5	0	0.475	0.992898593	0.993653992	0.992898593	0.994177001	0.000523009452	0	0	0.00290964	0	0	3
20	5	0	0.5	0.992821918	0.993612388	0.992821918	0.994177001	0.000564613138	0	0	0.00290965	0	0	3
21	5	0	0.525	0.992689139	0.993537995	0.992689139	0.994157577	0.000629294239	0	0	0.00290965	0	0	3
22	5	0	0.55	0.992540189	0.993457126	0.992540189	0.994137977	0.000700392868	0	0	0.00290965	0	0	3
23	5	0	0.575	0.992377955	0.993369125	0.992377955	0.994118172	0.000778557184	0	0	0.00290964	0	0	3
24	6	0	0.6	0.992217152	0.993274074	0.992217152	0.994096492	0.000863370117	0	0	0.00290967	0	0	3
25	6	0	0.625	0.992079517	0.993173225	0.992079517	0.994055377	0.000950541064	0	0	0.00294571	0	0	3
26	6	0	0.65	0.991944226	0.993067667	0.991944226	0.993993643	0.00103750959	0	0	0.00290965	0	0	3
27	7	0	0.675	0.991870726	0.992961522	0.991870726	0.993928075	0.00112151763	0	0	0.00296252	0	0	3
28	7	0	0.7	0.99183297	0.992856766	0.99183297	0.993848529	0.00120021622	0	0	0.0029105	0	0	3
29	7	0	0.725	0.991815549	0.992755117	0.991815549	0.993772521	0.00127341914	0	0	0.00297062	0	0	3
