Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0	0	0	0	0	0	0	2251.21	0	0	3
2	2	0	0.05	0	0	0	0	0	0	0	2251.21	0	0	3
3	2	0	0.075	0	0	0	0	0	0	0	2261.08	0	0	3
4	2	0	0.1	0	0	0	0	0	0	0	2265.64	0	0	3
5	2	0	0.125	0	0	0	0	0	0	0	2267.04	0	0	3
6	3	0	0.15	0	0	0	0	0	0	0	2267.37	0	0	3
7	3	0	0.175	0	0	0	0	0	0	0	2266.58	0	0	3
8	3	0	0.2	0	0	0	0	0	0	0	2265.44	0	0	3
9	4	0	0.225	0	0	0	0	0	0	0	2264.23	0	0	3
10	4	0	0.25	0	0	0	0	0	0	0	2263.17	0	0	3
11	5	0	0.275	0	0	0	0	0	0	0	2262.17	0	0	3
12	5	0	0.3	0	0	0	0	0	0	0	2261.35	0	0	3
13	5	0	0.325	0	0	0	0	0	0	0	2260.6	0	0	3
14	6	0	0.35	0	0	0	0	0	0	0	2259.97	0	0	3
15	6	0	0.375	0	0	0	0	0	0	0	2262.65	0	0	3
16	6	0	0.4	0	0	0	0	0	0	0	2272	0	0	3
17	7	0	0.425	0	0	0	0	0	0	0	2285.37	0	0	3
18	7	0	0.45	0	0	0	0	0	0	0	2294.66	0	0	3
19	7	0	0.475	0	0	0	0	0	0	0	2294.06	0	0	3
20	8	0	0.5	0	0	0	0	0	0	0	2297.55	0	0	3
21	8	0	0.525	0	0	0	0	0	0	0	2299.89	0	0	3
22	8	0	0.55	0	0	0	0	0	0	0	2278.09	0	0	3
23	9	0	0.575	0	0	0	0	0	0	0	2279.41	0	0	3
24	9	0	0.6	0	0	0	0	0	0	0	2306.02	0	0	3
25	9	0	0.625	0	0	0	0	0	0	0	2397.59	0	0	3
26	11	0	0.65	0	0	0	0	0	0	0	2495.04	0	0	3
27	11	0	0.675	0	0	0	0	0	0	0	2551.05	0	0	3
28	12	0	0.7	0	0	0	0	0	0	0	2567.8	0	0	3
29	12	0	0.725	0	0	0	0	0	0	0	2600.18	0	0	3
30	12	0	0.75	0	0	0	0	0	0	0	2601.53	0	0	3
31	13	0	0.775	0	0	0	0	0	0	0	2620.68	0	0	3
32	13	0	0.8	0	0	0	0	0	0	0	2622.22	0	0	3
33	14	0	0.825	0	0	0	0	0	0	0	2629.77	0	0	3
34	14	0	0.85	0	0	0	0	0	0	0	2624.48	0	0	3
35	14	0	0.875	0	0	0	0	0	0	0	2628.94	0	0	3
36	15	0	0.9	0	0	0	0	0	0	0	2623.91	0	0	3
37	15	0	0.925	0	0	0	0	0	0	0	2638.01	0	0	3
38	15	0	0.95	0	0	0	0	0	0	0	2630.94	0	0	3
39	16	0	0.975	0	0	0	0	0	0	0	2654.01	0	0	3
40	16	0	1	0	0	0	0	0	0	100	2635.66	0	0	3
41	16	0	1.025	0	0	0	0	0	0	100	2649.35	0	0	3
42	17	0	1.05	0	0	0	0	0	0	100	2591.71	0	0	3
43	17	0	1.075	0	0	0	0	0	0	100	2635.05	0	0	3
44	18	0	1.1	0	0	0	0	0	0	100	2593.22	0	0	3
45	18	0	1.125	0	0	0	0	0	0	100	2638.12	0	0	3
46	19	0	1.15	0	0	0	0	0	0	100	2597.82	0	0	3
47	19	0	1.175	0	0	0	0	0	0	100	2640.2	0	0	3
48	20	0	1.2	0	0	0	0	0	0	100	2597.71	0	0	3
49	20	0	1.225	0	0	0	0	0	0	100	2638.11	0	0	3
50	20	0	1.25	0	0	0	0	0	0	100	2598.74	0	0	3
