Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	101383.517	101383.517	101383.517	101383.517	0	0	0	12246.3	0	0	3
2	2	0	0.05	101322.862	101353.189	101322.862	101383.517	30.3278326	0	0	11839.6	0	0	3
3	2	0	0.075	101358.06	101354.813	101322.862	101383.517	30.3278326	0	0	9978.61	0	0	3
4	2	0	0.1	101334.047	101349.621	101322.862	101383.517	33.8958007	0	0	6877.82	0	0	3
5	2	0	0.125	101327.852	101345.268	101322.862	101383.517	38.249603	0	0	3721.06	0	0	3
6	3	0	0.15	101330.532	101342.812	101322.862	101383.517	40.7055774	0	0	3008.48	0	0	3
7	3	0	0.175	101329.426	101340.899	101322.862	101383.517	42.6177829	0	0	2741.28	0	0	3
8	3	0	0.2	101336.128	101340.303	101322.862	101383.517	43.2142152	0	0	2607.32	0	0	3
9	4	0	0.225	101331.855	101339.364	101322.862	101383.517	44.15291	0	0	2447.98	0	0	3
10	4	0	0.25	101344.201	101339.848	101322.862	101383.517	44.15291	0	0	2438.47	0	0	3
11	5	0	0.275	101353.252	101341.067	101322.862	101383.517	44.15291	0	0	2396.86	0	0	3
12	5	0	0.3	101407.029	101346.563	101322.862	101407.029	44.15291	0	0	2383.92	0	0	3
13	5	0	0.325	101463.328	101355.545	101322.862	101463.328	44.15291	0	0	2290.09	0	0	3
14	6	0	0.35	101564.236	101370.452	101322.862	101564.236	44.15291	0	0	2314.92	0	0	3
15	6	0	0.375	101718.508	101393.656	101322.862	101718.508	54.2911663	0	0	2327.78	0	0	3
16	6	0	0.4	101924.712	101426.847	101322.862	101924.712	87.4821996	0	0	2342.88	0	0	3
17	7	0	0.425	102290.976	101477.678	101322.862	102290.976	138.313371	0	0	2369.97	0	0	3
18	7	0	0.45	102879.691	101555.567	101322.862	102879.691	216.203009	0	0	2381.39	0	0	3
19	7	0	0.475	103430.57	101654.252	101322.862	103430.57	314.887352	0	0	2930.08	0	0	3
20	8	0	0.5	104157.422	101779.41	101322.862	104157.422	440.045871	0	0	3898.58	0	0	3
21	8	0	0.525	104659.179	101943.193	101322.862	104659.179	603.82896	0	0	4836.09	0	0	3
22	8	0	0.55	105139.938	102134.047	101327.852	105139.938	794.682764	0	0	5684.86	0	0	3
23	9	0	0.575	105641.548	102348.222	101327.852	105641.548	1008.8572	0	0	6649	0	0	3
24	9	0	0.6	106034.176	102583.228	101327.852	106034.176	1243.86363	0	0	7356.71	0	0	3
25	9	0	0.625	106428.416	102838.256	101329.426	106428.416	1498.89183	0	0	8214.76	0	0	3
26	11	0	0.65	106532.414	103098.35	101329.426	106532.414	1758.98595	0	0	8526.1	0	0	3
27	11	0	0.675	106688.26	103366.292	101331.855	106688.26	2026.92763	0	0	9027.98	0	0	3
28	12	0	0.7	106655.808	103632.276	101331.855	106688.26	2292.91162	0	0	9064.33	0	0	3
29	12	0	0.725	106777.227	103904.545	101344.201	106777.227	2564.69655	0	0	9439.6	0	0	3
30	12	0	0.75	106684.706	104171.57	101353.252	106777.227	2830.5032	0	0	9335.11	0	0	3
31	13	0	0.775	106760.3	104441.922	101407.029	106777.227	3095.35873	0	0	9502.52	0	0	3
32	13	0	0.8	106693.204	104706.231	101463.328	106777.227	3350.68565	0	0	9331.55	0	0	3
33	14	0	0.825	106781.028	104972.116	101564.236	106781.028	3601.66419	0	0	9344.64	0	0	3
34	14	0	0.85	106728.034	105230.306	101718.508	106781.028	3836.65037	0	0	9204.93	0	0	3
35	14	0	0.875	106806.009	105484.681	101924.712	106806.009	4057.83437	0	0	9243.99	0	0	3
36	15	0	0.9	106777.771	105727.334	102290.976	106806.009	4249.65615	0	0	9061.48	0	0	3
37	15	0	0.925	106824.878	105954.029	102879.691	106824.878	3945.18648	0	0	9256.36	0	0	3
38	15	0	0.95	106778.66	106148.977	103430.57	106824.878	3394.30783	0	0	9225.12	0	0	3
39	16	0	0.975	106823.84	106318.641	104157.422	106824.878	2667.45559	0	0	9268.54	0	0	3
40	16	0	1	106788.074	106450.173	104659.179	106824.878	2165.69866	824.553787	38	9134.22	0	0	3
41	16	0	1.025	106824.713	106558.45	105139.938	106824.878	1684.94001	824.553787	48.9	9165.78	0	0	3
42	17	0	1.05	106798.119	106641.359	105641.548	106824.878	1183.32949	824.553787	69.6	9156.48	0	0	3
43	17	0	1.075	106835.009	106701.032	106034.176	106835.009	800.832646	825.060343	100	9093.33	0	0	3
44	18	0	1.1	106804.804	106705.974	106034.176	106835.009	800.832646	825.313622	100	9130.64	0	0	3
45	18	0	1.125	106840.557	106744.373	106428.416	106840.557	412.140121	825.584805	100	9155.18	0	0	3
46	19	0	1.15	106815.073	106762.785	106532.414	106840.557	308.142276	825.765594	100	9249.81	0	0	3
47	19	0	1.175	106844.269	106777.635	106655.808	106844.269	188.460987	825.974281	100	9325.18	0	0	3
48	20	0	1.2	106806.931	106783.286	106655.808	106844.269	188.460987	826.085261	100	9347.55	0	0	3
49	20	0	1.225	106830.618	106791.611	106684.706	106844.269	159.56319	826.171579	100	9383.9	0	0	3
50	20	0	1.25	106799.424	106792.668	106684.706	106844.269	159.56319	826.05544	100	9246.22	0	0	3
