Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	0	0	0	0	0	0	0	61.3208	0	0	3
2	2	0	0.05	0	0	0	0	0	0	0	61.1781	0	0	3
3	2	0	0.075	0	0	0	0	0	0	0	61.2477	0	0	3
4	2	0	0.1	0	0	0	0	0	0	0	61.2898	0	0	3
5	2	0	0.125	0	0	0	0	0	0	0	61.305	0	0	3
6	3	0	0.15	0	0	0	0	0	0	0	61.3206	0	0	3
7	3	0	0.175	0	0	0	0	0	0	0	61.3267	0	0	3
8	3	0	0.2	0	0	0	0	0	0	0	61.3279	0	0	3
9	4	0	0.225	0	0	0	0	0	0	0	61.3268	0	0	3
10	4	0	0.25	0	0	0	0	0	0	0	61.3265	0	0	3
11	5	0	0.275	0	0	0	0	0	0	0	61.3247	0	0	3
12	5	0	0.3	0	0	0	0	0	0	0	61.3242	0	0	3
13	5	0	0.325	0	0	0	0	0	0	0	61.3229	0	0	3
14	6	0	0.35	0	0	0	0	0	0	0	61.3226	0	0	3
15	6	0	0.375	0	0	0	0	0	0	0	61.4789	0	0	3
16	6	0	0.4	0	0	0	0	0	0	0	61.6004	0	0	3
17	7	0	0.425	0	0	0	0	0	0	0	61.776	0	0	3
18	7	0	0.45	0	0	0	0	0	0	0	61.8998	0	0	3
19	7	0	0.475	0	0	0	0	0	0	0	61.8934	0	0	3
20	8	0	0.5	0	0	0	0	0	0	0	61.9522	0	0	3
21	8	0	0.525	0	0	0	0	0	0	0	61.981	0	0	3
22	8	0	0.55	0	0	0	0	0	0	0	61.6864	0	0	3
23	9	0	0.575	0	0	0	0	0	0	0	61.6648	0	0	3
24	9	0	0.6	0	0	0	0	0	0	0	62.0242	0	0	3
25	9	0	0.625	0	0	0	0	0	0	0	63.2776	0	0	3
26	11	0	0.65	0	0	0	0	0	0	0	64.5456	0	0	3
27	11	0	0.675	0	0	0	0	0	0	0	65.2651	0	0	3
28	12	0	0.7	0	0	0	0	0	0	0	65.4792	0	0	3
29	12	0	0.725	0	0	0	0	0	0	0	65.8894	0	0	3
30	12	0	0.75	0	0	0	0	0	0	0	65.9073	0	0	3
31	13	0	0.775	0	0	0	0	0	0	0	66.1478	0	0	3
32	13	0	0.8	0	0	0	0	0	0	0	66.1676	0	0	3
33	14	0	0.825	0	0	0	0	0	0	0	66.2624	0	0	3
34	14	0	0.85	0	0	0	0	0	0	0	66.1971	0	0	3
35	14	0	0.875	0	0	0	0	0	0	0	66.2531	0	0	3
36	15	0	0.9	0	0	0	0	0	0	0	66.1905	0	0	3
37	15	0	0.925	0	0	0	0	0	0	0	66.367	0	0	3
38	15	0	0.95	0	0	0	0	0	0	0	66.2788	0	0	3
39	16	0	0.975	0	0	0	0	0	0	0	66.5659	0	0	3
40	16	0	1	0	0	0	0	0	0	100	66.3365	0	0	3
41	16	0	1.025	0	0	0	0	0	0	100	66.5075	0	0	3
42	17	0	1.05	0	0	0	0	0	0	100	65.7847	0	0	3
43	17	0	1.075	0	0	0	0	0	0	100	66.3291	0	0	3
44	18	0	1.1	0	0	0	0	0	0	100	65.8035	0	0	3
45	18	0	1.125	0	0	0	0	0	0	100	66.3671	0	0	3
46	19	0	1.15	0	0	0	0	0	0	100	65.861	0	0	3
47	19	0	1.175	0	0	0	0	0	0	100	66.3925	0	0	3
48	20	0	1.2	0	0	0	0	0	0	100	65.8591	0	0	3
49	20	0	1.225	0	0	0	0	0	0	100	66.3658	0	0	3
50	20	0	1.25	0	0	0	0	0	0	100	65.8715	0	0	3
