Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-0.226628614	-0.226628614	-0.226628614	-0.226628614	0	0	0	0	0	0	3
2	2	0	0.05	0.235079991	0.00422568856	-0.226628614	0.235079991	0.230854302	0	0	0	0	0	3
3	2	0	0.075	-0.075742477	-0.0224303666	-0.226628614	0.235079991	0.230854302	0	0	0	0	0	3
4	2	0	0.1	0.0110811841	-0.014052479	-0.226628614	0.235079991	0.230854302	0	0	0	0	0	3
5	2	0	0.125	0.0661629932	0.00199061548	-0.226628614	0.235079991	0.230854302	0	0	0	0	0	3
6	3	0	0.15	0.0135685266	0.00392026733	-0.226628614	0.235079991	0.230854302	0	0	0	0	0	3
7	3	0	0.175	0.0107357714	0.00489391077	-0.226628614	0.235079991	0.231522524	0	0	0	0	0	3
8	3	0	0.2	-0.0324772481	0.000222515914	-0.226628614	0.235079991	0.231522524	0	0	0	0	0	3
9	4	0	0.225	-0.0249485535	-0.00257426958	-0.226628614	0.235079991	0.231522524	0	0	0	0	0	3
10	4	0	0.25	-0.0727186674	-0.00958870936	-0.226628614	0.235079991	0.231522524	0	0	0	0	0	3
11	5	0	0.275	-0.122540045	-0.0198570126	-0.226628614	0.235079991	0.231522524	0	0	0	0	0	3
12	5	0	0.3	-0.363842635	-0.0485224811	-0.363842635	0.235079991	0.231522524	0	0	0	0	0	3
13	5	0	0.325	-0.728214545	-0.100806486	-0.728214545	0.235079991	0.231522524	0	0	0	0	0	3
14	6	0	0.35	-1.40158081	-0.193718938	-1.40158081	0.235079991	0.231522524	0	0	0	0	0	3
15	6	0	0.375	-2.29679799	-0.333924209	-2.29679799	0.235079991	0.338818119	0	0	0	0	0	3
16	6	0	0.4	-3.73692294	-0.54661163	-3.73692294	0.235079991	0.55150554	0	0	0	0	0	3
17	7	0	0.425	-6.21690487	-0.880158291	-6.21690487	0.235079991	0.885052201	0	0	0	0	0	3
18	7	0	0.45	-9.95854468	-1.38451309	-9.95854468	0.235079991	1.389407	0	0	0	0	0	3
19	7	0	0.475	-14.4182383	-2.07049863	-14.4182383	0.235079991	2.07539254	0	0	0	0	0	3
20	8	0	0.5	-19.7497636	-2.95446188	-19.7497636	0.235079991	2.95935579	0	0	0	0	0	3
21	8	0	0.525	-24.0015257	-4.14320674	-24.0015257	0.235079991	4.14810065	0	0	0	0	0	3
22	8	0	0.55	-29.1134939	-5.61063543	-29.1134939	0.0661629932	5.61552934	0	0	0	0	0	3
23	9	0	0.575	-34.1323916	-7.31346789	-34.1323916	0.0661629932	7.3183618	0	0	0	0	0	3
24	9	0	0.6	-39.2727977	-9.27766183	-39.2727977	0.0661629932	9.28255574	0	0	0	0	0	3
25	9	0	0.625	-43.4224942	-11.4520947	-43.4224942	0.0135685266	11.4569886	0	0	0	0	0	3
26	11	0	0.65	-46.1791376	-13.76173	-46.1791376	0.0107357714	13.7666239	0	0	0	0	0	3
27	11	0	0.675	-48.3309648	-16.178815	-48.3309648	-0.0249485535	16.1790375	0	0	0	0	0	3
28	12	0	0.7	-50.3263593	-18.6935091	-50.3263593	-0.0249485535	18.6909349	0	0	0	0	0	3
29	12	0	0.725	-51.8189931	-21.2832114	-51.8189931	-0.0727186674	21.2736226	0	0	0	0	0	3
30	12	0	0.75	-53.1436831	-23.9367596	-53.1436831	-0.122540045	23.9169026	0	0	0	0	0	3
31	13	0	0.775	-53.4514819	-26.6032067	-53.4514819	-0.363842635	26.5546842	0	0	0	0	0	3
32	13	0	0.8	-54.281218	-29.2990754	-54.281218	-0.728214545	29.198269	0	0	0	0	0	3
33	14	0	0.825	-54.5022276	-31.9877761	-54.5022276	-1.40158081	31.7940572	0	0	0	0	0	3
34	14	0	0.85	-55.2508886	-34.6802415	-55.2508886	-2.29679799	34.3463173	0	0	0	0	0	3
35	14	0	0.875	-55.0766321	-37.3192332	-55.2508886	-3.73692294	36.7726216	0	0	0	0	0	3
36	15	0	0.9	-55.7488063	-39.9198274	-55.7488063	-6.21690487	39.0396691	0	0	0	0	0	3
37	15	0	0.925	-55.4831763	-42.3831409	-55.7488063	-9.95854468	40.9986278	0	0	0	0	0	3
38	15	0	0.95	-56.0291363	-44.6866705	-56.0291363	-14.4182383	41.610898	0	0	0	0	0	3
39	16	0	0.975	-55.8147872	-46.756498	-56.0291363	-19.7497636	36.2793727	0	0	0	0	0	3
40	16	0	1	-56.1337574	-48.5756976	-56.1337574	-24.0015257	32.1322316	8.42998806	26.2	0	0	0	3
