Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	-0.0111062666	-0.0111062666	-0.0111062666	-0.0111062666	0	0	0	0	0	0	3
2	2	0	0.05	0.00881042649	-0.00114792005	-0.0111062666	0.00881042649	0.00995834654	0	0	0	0	0	3
3	2	0	0.075	-0.00192944977	-0.00140842996	-0.0111062666	0.00881042649	0.00995834654	0	0	0	0	0	3
4	2	0	0.1	0.000459301484	-0.000941497096	-0.0111062666	0.00881042649	0.0101647695	0	0	0	0	0	3
5	2	0	0.125	0.00383881795	1.45659142e-05	-0.0111062666	0.00881042649	0.0111208325	0	0	0	0	0	3
6	3	0	0.15	0.000670181933	0.000123835251	-0.0111062666	0.00881042649	0.0112301018	0	0	0	0	0	3
7	3	0	0.175	0.000823649802	0.000223808758	-0.0111062666	0.00881042649	0.0113300753	0	0	0	0	0	3
8	3	0	0.2	-0.00122022631	4.33043747e-05	-0.0111062666	0.00881042649	0.0113300753	0	0	0	0	0	3
9	4	0	0.225	-0.00109043606	-8.26667851e-05	-0.0111062666	0.00881042649	0.0113300753	0	0	0	0	0	3
10	4	0	0.25	-0.00357095626	-0.000431495732	-0.0111062666	0.00881042649	0.0113300753	0	0	0	0	0	3
11	5	0	0.275	-0.00518718698	-0.0008638313	-0.0111062666	0.00881042649	0.0113300753	0	0	0	0	0	3
12	5	0	0.3	-0.0184754379	-0.00233146518	-0.0184754379	0.00881042649	0.0113300753	0	0	0	0	0	3
13	5	0	0.325	-0.0349624991	-0.00484154472	-0.0349624991	0.00881042649	0.0113300753	0	0	0	0	0	3
14	6	0	0.35	-0.0638390393	-0.00905565147	-0.0638390393	0.00881042649	0.0113300753	0	0	0	0	0	3
15	6	0	0.375	-0.103018622	-0.0153198495	-0.103018622	0.00881042649	0.0155436583	0	0	0	0	0	3
16	6	0	0.4	-0.173092568	-0.0251806444	-0.173092568	0.00881042649	0.0254044532	0	0	0	0	0	3
17	7	0	0.425	-0.306625684	-0.041736235	-0.306625684	0.00881042649	0.0419600438	0	0	0	0	0	3
18	7	0	0.45	-0.512014352	-0.0678627971	-0.512014352	0.00881042649	0.0680866058	0	0	0	0	0	3
19	7	0	0.475	-0.775712601	-0.10511805	-0.775712601	0.00881042649	0.105341859	0	0	0	0	0	3
20	8	0	0.5	-1.10074681	-0.154899488	-1.10074681	0.00881042649	0.155123297	0	0	0	0	0	3
21	8	0	0.525	-1.38300227	-0.223494288	-1.38300227	0.00881042649	0.223718097	0	0	0	0	0	3
22	8	0	0.55	-1.70425239	-0.309147429	-1.70425239	0.00383881795	0.309371238	0	0	0	0	0	3
23	9	0	0.575	-2.01379182	-0.409740547	-2.01379182	0.00383881795	0.409964356	0	0	0	0	0	3
24	9	0	0.6	-2.32411296	-0.52596916	-2.32411296	0.00383881795	0.526192969	0	0	0	0	0	3
25	9	0	0.625	-2.56541467	-0.654431835	-2.56541467	0.000823649802	0.654655644	0	0	0	0	0	3
26	11	0	0.65	-2.72844071	-0.790887379	-2.72844071	0.000823649802	0.791111188	0	0	0	0	0	3
27	11	0	0.675	-2.85017241	-0.933437182	-2.85017241	-0.00109043606	0.933480486	0	0	0	0	0	3
28	12	0	0.7	-2.98224758	-1.08248855	-2.98224758	-0.00109043606	1.08240588	0	0	0	0	0	3
29	12	0	0.725	-3.06161742	-1.2355149	-3.06161742	-0.00357095626	1.2350834	0	0	0	0	0	3
30	12	0	0.75	-3.15994016	-1.39333336	-3.15994016	-0.00518718698	1.39246953	0	0	0	0	0	3
31	13	0	0.775	-3.18045361	-1.55209668	-3.18045361	-0.0184754379	1.54976521	0	0	0	0	0	3
32	13	0	0.8	-3.22543045	-1.71244443	-3.22543045	-0.0349624991	1.70760289	0	0	0	0	0	3
33	14	0	0.825	-3.24768917	-1.87308076	-3.24768917	-0.0638390393	1.86402511	0	0	0	0	0	3
34	14	0	0.85	-3.30247708	-2.03501267	-3.30247708	-0.103018622	2.01969282	0	0	0	0	0	3
35	14	0	0.875	-3.29993553	-2.19485851	-3.30247708	-0.173092568	2.16967787	0	0	0	0	0	3
36	15	0	0.9	-3.33943706	-2.35317574	-3.33943706	-0.306625684	2.3114395	0	0	0	0	0	3
37	15	0	0.925	-3.32755762	-2.50422233	-3.33943706	-0.512014352	2.43635954	0	0	0	0	0	3
38	15	0	0.95	-3.35600406	-2.64642182	-3.35600406	-0.775712601	2.54130377	0	0	0	0	0	3
39	16	0	0.975	-3.35342014	-2.7753072	-3.35600406	-1.10074681	2.25525724	0	0	0	0	0	3
40	16	0	1	-3.36998677	-2.88876919	-3.36998677	-1.38300227	1.9869845	0.506073839	25.4	0	0	0	3
41	16	0	1.025	-3.36468819	-2.98785349	-3.36998677	-1.70425239	1.66573439	0.506073839	30.3	0	0	0	3
42	17	0	1.05	-3.37295907	-3.07128882	-3.37295907	-2.01379182	1.35916726	0.506296761	37.2	0	0	0	3
43	17	0	1.075	-3.38481768	-3.13984012	-3.38481768	-2.32411296	1.06070472	0.506963999	47.7	0	0	0	3
44	18	0	1.1	-3.39375815	-3.15193145	-3.39375815	-2.32411296	1.06964519	0.507632886	47.4	0	0	0	3
45	18	0	1.125	-3.37325177	-3.20189044	-3.39375815	-2.56541467	0.828343483	0.507943763	61.3	0	0	0	3
46	19	0	1.15	-3.40236644	-3.24174529	-3.40236644	-2.72844071	0.673925739	0.508366221	75.4	0	0	0	3
47	19	0	1.175	-3.39318332	-3.2733997	-3.40236644	-2.85017241	0.552194039	0.508667977	92.1	0	0	0	3
48	20	0	1.2	-3.39986183	-3.29957539	-3.40236644	-2.98224758	0.420118867	0.508858405	100	0	0	0	3
49	20	0	1.225	-3.40911734	-3.31990252	-3.40911734	-3.06161742	0.347499925	0.509119031	100	0	0	0	3
50	20	0	1.25	-3.41038965	-3.33651072	-3.41038965	-3.15994016	0.250449491	0.509309408	100	0	0	0	3
