Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	32.9278299	32.9278299	32.9278299	32.9278299	0	0	0	0	0	0	3
2	2	0	0.05	33.0584085	32.9931192	32.9278299	33.0584085	0.0652893333	0	0	0	0	0	3
3	2	0	0.075	33.1340413	33.0400932	32.9278299	33.1340413	0.112263361	0	0	0	0	0	3
4	2	0	0.1	33.1715835	33.0729658	32.9278299	33.1715835	0.145135915	0	0	0	0	0	3
5	2	0	0.125	33.1735133	33.0930753	32.9278299	33.1735133	0.16524542	0	0	0	0	0	3
6	3	0	0.15	33.1599119	33.1042147	32.9278299	33.1735133	0.176384851	0	0	0	0	0	3
7	3	0	0.175	33.1416556	33.1095634	32.9278299	33.1735133	0.181733552	0	0	0	0	0	3
8	3	0	0.2	33.1223349	33.1111599	32.9278299	33.1735133	0.183329982	0	0	0	0	0	3
9	4	0	0.225	33.1028949	33.1102415	32.9278299	33.1735133	0.183329982	0	0	0	0	0	3
10	4	0	0.25	33.0830887	33.1075263	32.9278299	33.1735133	0.183329982	0	0	0	0	0	3
11	5	0	0.275	33.0650591	33.1036656	32.9278299	33.1735133	0.183329982	0	0	0	0	0	3
12	5	0	0.3	33.045058	33.0987816	32.9278299	33.1735133	0.183329982	0	0	0	0	0	3
13	5	0	0.325	33.0290189	33.0934153	32.9278299	33.1735133	0.183329982	0	0	0	0	0	3
14	6	0	0.35	33.0143006	33.0877642	32.9278299	33.1735133	0.183329982	0	0	0	0	0	3
15	6	0	0.375	33.0052939	33.0822662	32.9278299	33.1735133	0.183329982	0	0	0	0	0	3
16	6	0	0.4	32.9974628	33.076966	32.9278299	33.1735133	0.183329982	0	0	0	0	0	3
17	7	0	0.425	32.9949457	33.0721413	32.9278299	33.1735133	0.183329982	0	0	0	0	0	3
18	7	0	0.45	32.9921308	33.0676963	32.9278299	33.1735133	0.183329982	0	0	0	0	0	3
19	7	0	0.475	32.990988	33.063659	32.9278299	33.1735133	0.183329982	0	0	0	0	0	3
20	8	0	0.5	32.9844855	33.0597003	32.9278299	33.1735133	0.183329982	0	0	0	0	0	3
21	8	0	0.525	32.9798797	33.0623028	32.9798797	33.1735133	0.118040649	0	0	0	0	0	3
22	8	0	0.55	32.9521501	33.0569899	32.9521501	33.1735133	0.0710666213	0	0	0	0	0	3
23	9	0	0.575	32.8429311	33.0424344	32.8429311	33.1735133	0.0687255038	0	0	0	0	0	3
24	9	0	0.6	32.4729115	33.0075008	32.4729115	33.1735133	0.103659102	0	0	0	0	0	3
25	9	0	0.625	31.3444738	32.9160488	31.3444738	33.1599119	0.195111078	0	0	0	0	0	3
26	11	0	0.65	28.9445894	32.7052827	28.9445894	33.1416556	0.405877202	0	0	0	0	0	3
27	11	0	0.675	23.7257621	32.234488	23.7257621	33.1223349	0.876671879	0	0	0	0	0	3
28	12	0	0.7	18.1676444	31.4867535	18.1676444	33.1028949	1.62348808	0	0	0	0	0	3
29	12	0	0.725	13.5551571	30.5093666	13.5551571	33.0830887	2.59815968	0	0	0	0	0	3
30	12	0	0.75	10.2724579	29.368835	10.2724579	33.0650591	3.73483057	0	0	0	0	0	3
31	13	0	0.775	8.18692309	28.1249282	8.18692309	33.045058	4.97385341	0	0	0	0	0	3
32	13	0	0.8	6.7639834	26.8108745	6.7639834	33.0290189	6.28254078	0	0	0	0	0	3
33	14	0	0.825	6.12037955	25.4654425	6.12037955	33.0143006	7.6223217	0	0	0	0	0	3
34	14	0	0.85	5.87874585	24.1086648	5.87874585	33.0052939	8.97360142	0	0	0	0	0	3
35	14	0	0.875	5.77146721	22.7469735	5.77146721	32.9974628	10.3299925	0	0	0	0	0	3
36	15	0	0.9	5.73023659	21.3836121	5.73023659	32.9949457	11.6885291	0	0	0	0	0	3
37	15	0	0.925	5.67246499	20.0174881	5.67246499	32.9921308	13.0502081	0	0	0	0	0	3
38	15	0	0.95	5.63220061	18.6494916	5.63220061	32.990988	14.4141674	0	0	0	0	0	3
39	16	0	0.975	5.59781989	17.2798332	5.59781989	32.9844855	15.7824696	0	0	0	0	0	3
40	16	0	1	5.59404966	15.9103114	5.59404966	32.9798797	17.1519914	4.13691955	0	0	0	0	3
41	16	0	1.025	5.6061298	14.5416239	5.59404966	32.9521501	18.515366	4.13691955	0	0	0	0	3
42	17	0	1.05	5.65397494	13.1767151	5.59404966	32.8429311	19.8657192	4.13691955	0	0	0	0	3
43	17	0	1.075	5.65402434	11.8172698	5.59404966	32.4729115	21.190231	4.13691955	0	0	0	0	3
44	18	0	1.1	5.64923318	11.5235538	5.59404966	32.4729115	21.483947	4.13691955	0	0	0	0	3
45	18	0	1.125	5.62021648	10.244854	5.59404966	31.3444738	22.6711948	4.13691955	0	0	0	0	3
46	19	0	1.15	5.62048053	9.01990196	5.59404966	28.9445894	23.3505398	4.13691955	0	0	0	0	3
47	19	0	1.175	5.61849245	7.90913543	5.59404966	23.7257621	18.1317124	4.13691955	0	0	0	0	3
48	20	0	1.2	5.63176257	7.04751641	5.59404966	18.1676444	12.5735948	4.13691955	0	0	0	0	3
49	20	0	1.225	5.63059299	6.45051396	5.59404966	13.5551571	7.96110745	4.13691955	0	0	0	0	3
50	20	0	1.25	5.63509399	6.0733681	5.59404966	10.2724579	4.67840827	4.13691955	0	0	0	0	3
