Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0.0182146325	0.0182146325	0.0182146325	0.0182146325	0	0	0	0	0	0	3
2	3	0	0.05	-0.0420191543	-0.0119022609	-0.0420191543	0.0182146325	0.0301168934	0	0	0	0	0	3
3	3	0	0.075	0.00662910551	-0.00572513873	-0.0420191543	0.0182146325	0.0301168934	0	0	0	0	0	3
4	3	0	0.1	0.00292569949	-0.00356242918	-0.0420191543	0.0182146325	0.0301168934	0	0	0	0	0	3
5	3	0	0.125	0.00337873194	-0.00217419695	-0.0420191543	0.0182146325	0.0301168934	0	0	0	0	0	3
6	4	0	0.15	0.00522010572	-0.000941813175	-0.0420191543	0.0182146325	0.0301168934	0	0	0	0	0	3
7	4	0	0.175	0.00381831566	-0.00026179477	-0.0420191543	0.0182146325	0.0301168934	0	0	0	0	0	3
8	4	0	0.2	0.0030950909	0.00015781594	-0.0420191543	0.0182146325	0.0301168934	0	0	0	0	0	3
9	4	0	0.225	0.000324680288	0.000176356423	-0.0420191543	0.0182146325	0.0301168934	0	0	0	0	0	3
10	5	0	0.25	0.00132790683	0.000291511464	-0.0420191543	0.0182146325	0.0301168934	0	0	0	0	0	3
11	5	0	0.275	0.00656123702	0.000861486515	-0.0420191543	0.0182146325	0.0301168934	0	0	0	0	0	3
12	5	0	0.3	0.0265768828	0.0030044362	-0.0420191543	0.0265768828	0.0301168934	0	0	0	0	0	3
13	5	0	0.325	0.0581237412	0.00724438274	-0.0420191543	0.0581237412	0.0301168934	0	0	0	0	0	3
14	5	0	0.35	0.148025146	0.0173001515	-0.0420191543	0.148025146	0.0301168934	0	0	0	0	0	3
15	6	0	0.375	0.213240207	0.0303628219	-0.0420191543	0.213240207	0.0422650827	0	0	0	0	0	3
16	6	0	0.4	0.274225993	0.0456042701	-0.0420191543	0.274225993	0.0575065309	0	0	0	0	0	3
17	6	0	0.425	0.217795684	0.0557331768	-0.0420191543	0.274225993	0.0676354376	0	0	0	0	0	3
18	6	0	0.45	0.0727949194	0.0566810514	-0.0420191543	0.274225993	0.0685833122	0	0	0	0	0	3
19	7	0	0.475	-0.231347538	0.0415216519	-0.231347538	0.274225993	0.0685833122	0	0	0	0	0	3
20	7	0	0.5	-0.724890878	0.00320102543	-0.724890878	0.274225993	0.0685833122	0	0	0	0	0	3
21	7	0	0.525	-1.18925431	-0.0571724219	-1.18925431	0.274225993	0.113853473	0	0	0	0	0	3
22	7	0	0.55	-1.60870253	-0.135506591	-1.60870253	0.274225993	0.192187642	0	0	0	0	0	3
23	8	0	0.575	-2.15228071	-0.243452082	-2.15228071	0.274225993	0.300133133	0	0	0	0	0	3
24	8	0	0.6	-2.58879886	-0.37303831	-2.58879886	0.274225993	0.429719361	0	0	0	0	0	3
25	8	0	0.625	-2.86041256	-0.516227875	-2.86041256	0.274225993	0.572908926	0	0	0	0	0	3
26	8	0	0.65	-3.10035181	-0.67150647	-3.10035181	0.274225993	0.728187522	0	0	0	0	0	3
27	9	0	0.675	-3.11048688	-0.82722173	-3.11048688	0.274225993	0.883902781	0	0	0	0	0	3
28	9	0	0.7	-3.32059349	-0.993406159	-3.32059349	0.274225993	1.05008721	0	0	0	0	0	3
29	9	0	0.725	-3.28893035	-1.15786891	-3.32059349	0.274225993	1.21454996	0	0	0	0	0	3
30	9	0	0.75	-3.4561688	-1.33074375	-3.4561688	0.274225993	1.3874248	0	0	0	0	0	3
31	10	0	0.775	-3.53914565	-1.50802909	-3.53914565	0.274225993	1.56471014	0	0	0	0	0	3
32	10	0	0.8	-3.50307426	-1.68451165	-3.53914565	0.274225993	1.7411927	0	0	0	0	0	3
33	10	0	0.825	-3.54472735	-1.8646542	-3.54472735	0.274225993	1.92133525	0	0	0	0	0	3
34	11	0	0.85	-3.4695399	-2.04553245	-3.54472735	0.274225993	2.10221351	0	0	0	0	0	3
35	11	0	0.875	-3.65856164	-2.23912255	-3.65856164	0.274225993	2.2958036	0	0	0	0	0	3
36	11	0	0.9	-3.49661583	-2.42766464	-3.65856164	0.217795684	2.48434569	0	0	0	0	0	3
37	11	0	0.925	-3.64443916	-2.62077638	-3.65856164	0.0727949194	2.67745743	0	0	0	0	0	3
38	12	0	0.95	-3.48991316	-2.79891178	-3.65856164	-0.231347538	2.84043344	0	0	0	0	0	3
39	12	0	0.975	-3.64419356	-2.96955408	-3.65856164	-0.724890878	2.93367076	0	0	0	0	0	3
40	12	0	1	-3.5208941	-3.10935425	-3.65856164	-1.18925431	2.46930733	0.589918145	23.8	0	0	0	3
41	12	0	1.025	-3.67940785	-3.23386192	-3.67940785	-1.60870253	2.07070532	0.593045077	28.6	0	0	0	3
42	13	0	1.05	-3.55550114	-3.33120185	-3.67940785	-2.15228071	1.52712714	0.593045077	38.8	0	0	0	3
43	13	0	1.075	-3.753895	-3.41128257	-3.753895	-2.58879886	1.16509614	0.596769434	51.2	0	0	0	3
44	13	0	1.1	-3.54001132	-3.41741251	-3.753895	-2.58879886	1.16509614	0.598631613	51.3	0	0	0	3
45	13	0	1.125	-3.74237624	-3.47234476	-3.753895	-2.86041256	0.893482433	0.59974892	67.1	0	0	0	3
46	14	0	1.15	-3.68721188	-3.51171616	-3.753895	-3.10035181	0.653543192	0.600493791	91.8	0	0	0	3
47	14	0	1.175	-3.82039796	-3.54600407	-3.82039796	-3.11048688	0.709911078	0.602450906	84.8	0	0	0	3
48	14	0	1.2	-3.68563758	-3.5733922	-3.82039796	-3.28893035	0.531467606	0.603918742	100	0	0	0	3
