Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	-0.00215610009	-0.00215610009	-0.00215610009	-0.00215610009	0	0	0	0	0	0	3
2	3	0	0.05	-0.00831583519	-0.00523596764	-0.00831583519	-0.00215610009	0.00307986755	0	0	0	0	0	3
3	3	0	0.075	0.00361202557	-0.00228663657	-0.00831583519	0.00361202557	0.00307986755	0	0	0	0	0	3
4	3	0	0.1	0.00312707454	-0.000933208795	-0.00831583519	0.00361202557	0.00430275885	0	0	0	0	0	3
5	3	0	0.125	0.00126286807	-0.000493993421	-0.00831583519	0.00361202557	0.00474197422	0	0	0	0	0	3
6	4	0	0.15	-0.000653369091	-0.000520556033	-0.00831583519	0.00361202557	0.00474197422	0	0	0	0	0	3
7	4	0	0.175	0.000256042223	-0.000409613425	-0.00831583519	0.00361202557	0.00482635422	0	0	0	0	0	3
8	4	0	0.2	-0.00141547373	-0.000535345962	-0.00831583519	0.00361202557	0.00482635422	0	0	0	0	0	3
9	4	0	0.225	-0.00170657757	-0.000665482808	-0.00831583519	0.00361202557	0.00482635422	0	0	0	0	0	3
10	5	0	0.25	-0.00347767936	-0.000946702464	-0.00831583519	0.00361202557	0.00482635422	0	0	0	0	0	3
11	5	0	0.275	-0.000541940505	-0.000909905922	-0.00831583519	0.00361202557	0.00482635422	0	0	0	0	0	3
12	5	0	0.3	0.00127860246	-0.000727530223	-0.00831583519	0.00361202557	0.00482635422	0	0	0	0	0	3
13	5	0	0.325	0.0101573351	0.000109767107	-0.00831583519	0.0101573351	0.00534573475	0	0	0	0	0	3
14	5	0	0.35	0.0134015558	0.00105918058	-0.00831583519	0.0134015558	0.00629514823	0	0	0	0	0	3
15	6	0	0.375	0.0105321584	0.00169071244	-0.00831583519	0.0134015558	0.00692668008	0	0	0	0	0	3
16	6	0	0.4	-0.0336839352	-0.000520203036	-0.0336839352	0.0134015558	0.00692668008	0	0	0	0	0	3
17	6	0	0.425	-0.144733986	-0.00900336671	-0.144733986	0.0134015558	0.0106940792	0	0	0	0	0	3
18	6	0	0.45	-0.327871705	-0.0267182744	-0.327871705	0.0134015558	0.0284089868	0	0	0	0	0	3
19	7	0	0.475	-0.543101413	-0.0538963343	-0.543101413	0.0134015558	0.0555870468	0	0	0	0	0	3
20	7	0	0.5	-0.849153461	-0.0936591906	-0.849153461	0.0134015558	0.0953499031	0	0	0	0	0	3
21	7	0	0.525	-1.03775385	-0.145439078	-1.03775385	0.0134015558	0.14712979	0	0	0	0	0	3
22	7	0	0.55	-1.2973481	-0.209890691	-1.2973481	0.0134015558	0.211581404	0	0	0	0	0	3
23	8	0	0.575	-1.56431861	-0.288287223	-1.56431861	0.0134015558	0.289977935	0	0	0	0	0	3
24	8	0	0.6	-1.80157833	-0.378522493	-1.80157833	0.0134015558	0.380213205	0	0	0	0	0	3
