Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	101354.191	101354.191	101354.191	101354.191	0	0	0	6385.63	0	0	3
2	3	0	0.05	101324.526	101339.358	101324.526	101354.191	14.8323745	0	0	5594.91	0	0	3
3	3	0	0.075	101341.21	101339.976	101324.526	101354.191	14.8323745	0	0	4840.09	0	0	3
4	3	0	0.1	101329.306	101337.308	101324.526	101354.191	16.8825736	0	0	2029.03	0	0	3
5	3	0	0.125	101327.528	101335.352	101324.526	101354.191	18.8384954	0	0	774.584	0	0	3
6	4	0	0.15	101328.15	101334.152	101324.526	101354.191	20.0387963	0	0	617.823	0	0	3
7	4	0	0.175	101327.74	101333.236	101324.526	101354.191	20.9547566	0	0	490.467	0	0	3
8	4	0	0.2	101328.917	101332.696	101324.526	101354.191	21.4946637	0	0	435.836	0	0	3
9	4	0	0.225	101328.075	101332.183	101324.526	101354.191	22.0080841	0	0	330.25	0	0	3
10	5	0	0.25	101334.077	101332.372	101324.526	101354.191	22.0080841	0	0	287.728	0	0	3
11	5	0	0.275	101341.468	101333.199	101324.526	101354.191	22.0080841	0	0	251.331	0	0	3
12	5	0	0.3	101363.403	101335.716	101324.526	101363.403	22.0080841	0	0	224.258	0	0	3
13	5	0	0.325	101387.332	101339.686	101324.526	101387.332	22.0080841	0	0	183.78	0	0	3
14	5	0	0.35	101437.142	101346.647	101324.526	101437.142	22.0080841	0	0	214.838	0	0	3
15	6	0	0.375	101516.002	101357.938	101324.526	101516.002	25.7552467	0	0	262.993	0	0	3
16	6	0	0.4	101621.179	101374.39	101324.526	101621.179	42.2078292	0	0	347.158	0	0	3
17	6	0	0.425	101807.499	101399.867	101324.526	101807.499	67.6848365	0	0	515.85	0	0	3
18	6	0	0.45	102105.154	101439.05	101324.526	102105.154	106.867437	0	0	812.801	0	0	3
19	7	0	0.475	102386.446	101488.913	101324.526	102386.446	156.730397	0	0	1096.41	0	0	3
20	7	0	0.5	102757.151	101552.325	101324.526	102757.151	220.142315	0	0	1481.32	0	0	3
21	7	0	0.525	102940.582	101631.644	101324.526	102940.582	299.461861	0	0	1729.48	0	0	3
22	7	0	0.55	103200.892	101725.463	101327.528	103200.892	393.280179	0	0	2097.62	0	0	3
23	8	0	0.575	103471.31	101831.968	101327.528	103471.31	499.785195	0	0	2501.85	0	0	3
24	8	0	0.6	103686.823	101949.844	101327.528	103686.823	617.661073	0	0	2859.64	0	0	3
25	8	0	0.625	103894.369	102078.186	101327.74	103894.369	746.003103	0	0	3200.96	0	0	3
26	8	0	0.65	103958.625	102209.709	101327.74	103958.625	877.526842	0	0	3349.12	0	0	3
27	9	0	0.675	104052.267	102345.936	101328.075	104052.267	1013.75318	0	0	3516.57	0	0	3
28	9	0	0.7	104051.729	102482.076	101328.075	104052.267	1149.89381	0	0	3580.34	0	0	3
29	9	0	0.725	104111.992	102621.272	101334.077	104111.992	1288.90025	0	0	3688.1	0	0	3
30	9	0	0.75	104065.594	102757.848	101341.468	104111.992	1424.64921	0	0	3675.14	0	0	3
31	10	0	0.775	104098.436	102895.696	101363.403	104111.992	1559.98062	0	0	3712.67	0	0	3
32	10	0	0.8	104057.753	103030.414	101387.332	104111.992	1690.72766	0	0	3663.6	0	0	3
33	10	0	0.825	104072.512	103164.673	101437.142	104111.992	1818.0255	0	0	3655.1	0	0	3
34	11	0	0.85	104038.615	103294.747	101516.002	104111.992	1936.80883	0	0	3588.39	0	0	3
35	11	0	0.875	104063.393	103422.116	101621.179	104111.992	2047.72578	0	0	3565.96	0	0	3
36	11	0	0.9	104053.874	103543.751	101807.499	104111.992	2143.88353	0	0	3559.89	0	0	3
37	11	0	0.925	104068.705	103656.811	102105.154	104111.992	2006.83831	0	0	3583.04	0	0	3
38	12	0	0.95	104050.295	103754.068	102386.446	104111.992	1725.54627	0	0	3565.64	0	0	3
39	12	0	0.975	104064.132	103837.953	102757.151	104111.992	1354.8412	0	0	3582.04	0	0	3
40	12	0	1	104054.53	103902.821	102940.582	104111.992	1171.41095	417.669608	35.6	3577.31	0	0	3
41	12	0	1.025	104065.715	103959.078	103200.892	104111.992	911.100268	417.669608	45.8	3581.9	0	0	3
42	13	0	1.05	104058.555	104001.961	103471.31	104111.992	640.682145	417.669608	65.1	3567.97	0	0	3
43	13	0	1.075	104071.324	104031.962	103686.823	104111.992	425.169255	417.669608	98.2	3555.76	0	0	3
44	13	0	1.1	104069.449	104033.747	103686.823	104111.992	425.169255	417.669608	98.2	3568.45	0	0	3
45	13	0	1.125	104084.623	104052.69	103894.369	104111.992	217.623465	417.669608	100	3602.87	0	0	3
46	14	0	1.15	104083.495	104061.696	103958.625	104111.992	153.367378	417.669608	100	3619.18	0	0	3
47	14	0	1.175	104095.261	104068.202	104038.615	104111.992	73.377411	417.669608	100	3647.52	0	0	3
48	14	0	1.2	104085.78	104069.798	104038.615	104111.992	73.377411	417.669608	100	3646.56	0	0	3
