Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0.110350147	0.110350147	0.110350147	0.110350147	0	0	0	0	0	0	3
2	3	0	0.05	0.132474049	0.121412098	0.110350147	0.132474049	0.0110619509	0	0	0	0	0	3
3	3	0	0.075	0.033101014	0.0919750698	0.033101014	0.132474049	0.0294370279	0	0	0	0	0	3
4	3	0	0.1	0.0155439564	0.0728672914	0.0155439564	0.132474049	0.0485448062	0	0	0	0	0	3
5	3	0	0.125	0.0317685683	0.0646475468	0.0155439564	0.132474049	0.0567645508	0	0	0	0	0	3
6	4	0	0.15	0.011816953	0.0558424478	0.011816953	0.132474049	0.0655696498	0	0	0	0	0	3
7	4	0	0.175	0.0076025977	0.0489510407	0.0076025977	0.132474049	0.072461057	0	0	0	0	0	3
8	4	0	0.2	0.00817015077	0.0438534294	0.0076025977	0.132474049	0.0775586682	0	0	0	0	0	3
9	4	0	0.225	0.00755707833	0.0398205015	0.00755707833	0.132474049	0.0815915961	0	0	0	0	0	3
10	5	0	0.25	0.0321654222	0.0390549936	0.00755707833	0.132474049	0.082357104	0	0	0	0	0	3
11	5	0	0.275	0.0546112366	0.0404691975	0.00755707833	0.132474049	0.082357104	0	0	0	0	0	3
12	5	0	0.3	0.170422123	0.051298608	0.00755707833	0.170422123	0.082357104	0	0	0	0	0	3
13	5	0	0.325	0.343108662	0.0737455352	0.00755707833	0.343108662	0.082357104	0	0	0	0	0	3
14	5	0	0.35	0.694145551	0.118059822	0.00755707833	0.694145551	0.082357104	0	0	0	0	0	3
15	6	0	0.375	1.13993569	0.18618488	0.00755707833	1.13993569	0.147129886	0	0	0	0	0	3
16	6	0	0.4	1.86206997	0.290927698	0.00755707833	1.86206997	0.251872704	0	0	0	0	0	3
17	6	0	0.425	3.11525659	0.457064692	0.00755707833	3.11525659	0.418009698	0	0	0	0	0	3
18	6	0	0.45	5.00041024	0.709472778	0.00755707833	5.00041024	0.670417784	0	0	0	0	0	3
19	7	0	0.475	7.29887911	1.05628364	0.00755707833	7.29887911	1.01722864	0	0	0	0	0	3
20	7	0	0.5	10.0418378	1.50556135	0.00755707833	10.0418378	1.46650635	0	0	0	0	0	3
21	7	0	0.525	12.0851484	2.10430126	0.00755707833	12.0851484	2.06524626	0	0	0	0	0	3
22	7	0	0.55	14.8068411	2.83801961	0.00755707833	14.8068411	2.79896462	0	0	0	0	0	3
23	8	0	0.575	17.463567	3.70954291	0.00755707833	17.463567	3.67048792	0	0	0	0	0	3
24	8	0	0.6	20.1496295	4.71624719	0.00755707833	20.1496295	4.67719219	0	0	0	0	0	3
25	8	0	0.625	22.3618606	5.83275179	0.00755707833	22.3618606	5.79369679	0	0	0	0	0	3
26	8	0	0.65	23.8377251	7.02404719	0.00755707833	23.8377251	6.9849922	0	0	0	0	0	3
27	9	0	0.675	24.8828608	8.2678101	0.00755707833	24.8828608	8.22875511	0	0	0	0	0	3
28	9	0	0.7	25.9690416	9.56585367	0.00755707833	25.9690416	9.52679868	0	0	0	0	0	3
29	9	0	0.725	26.6631731	10.8986345	0.0321654222	26.6631731	10.8595795	0	0	0	0	0	3
30	9	0	0.75	27.3921957	12.266636	0.0546112366	27.3921957	12.2261668	0	0	0	0	0	3
31	10	0	0.775	27.718731	13.649842	0.170422123	27.718731	13.5985434	0	0	0	0	0	3
32	10	0	0.8	27.9956891	15.0411053	0.343108662	27.9956891	14.9673598	0	0	0	0	0	3
33	10	0	0.825	28.1972557	16.4338127	0.694145551	28.1972557	16.3157529	0	0	0	0	0	3
34	11	0	0.85	28.200489	17.8091299	1.13993569	28.200489	17.622945	0	0	0	0	0	3
35	11	0	0.875	28.5361271	19.1789394	1.86206997	28.5361271	18.8880117	0	0	0	0	0	3
36	11	0	0.9	28.4658707	20.5091295	3.11525659	28.5361271	20.0520648	0	0	0	0	0	3
37	11	0	0.925	28.7939267	21.793063	5.00041024	28.7939267	21.0835902	0	0	0	0	0	3
38	12	0	0.95	28.6166239	22.9738736	7.29887911	28.7939267	21.4950476	0	0	0	0	0	3
39	12	0	0.975	29.0090526	24.0593823	10.0418378	29.0090526	18.9672148	0	0	0	0	0	3
40	12	0	1	28.8811974	25.0013503	12.0851484	29.0090526	16.9239042	4.35022433	25.7	0	0	0	3
41	12	0	1.025	29.1039019	25.852288	14.8068411	29.1039019	14.2970608	4.36445172	30.5	0	0	0	3
42	13	0	1.05	28.8457073	26.5542313	17.463567	29.1039019	11.6403349	4.36445172	37.4	0	0	0	3
43	13	0	1.075	29.1641842	27.1392621	20.1496295	29.1641842	9.01455472	4.36746584	48.4	0	0	0	3
44	13	0	1.1	28.9400407	27.2250135	20.1496295	29.1641842	9.01455472	4.36897289	48.4	0	0	0	3
45	13	0	1.125	29.2632299	27.6589945	22.3618606	29.2632299	6.90136932	4.3728485	63.3	0	0	0	3
46	14	0	1.15	29.0942754	27.9795857	23.8377251	29.2632299	5.42550481	4.37543224	80.6	0	0	0	3
47	14	0	1.175	29.5251159	28.2504138	24.8828608	29.5251159	4.64225509	4.38288961	94.4	0	0	0	3
48	14	0	1.2	29.2307823	28.4574577	25.9690416	29.5251159	3.55607432	4.38848263	100	0	0	0	3
