Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	-0.0378887228	-0.0378887228	-0.0378887228	-0.0378887228	0	0	0	0	0	0	3
2	3	0	0.05	0.0483144038	0.0052128405	-0.0378887228	0.0483144038	0.0431015633	0	0	0	0	0	3
3	3	0	0.075	-0.0131138402	-0.000896053079	-0.0378887228	0.0483144038	0.0431015633	0	0	0	0	0	3
4	3	0	0.1	0.00483355834	0.000536349775	-0.0378887228	0.0483144038	0.0431015633	0	0	0	0	0	3
5	3	0	0.125	0.011693939	0.00276786762	-0.0378887228	0.0483144038	0.0431015633	0	0	0	0	0	3
6	4	0	0.15	0.00470595068	0.00309088146	-0.0378887228	0.0483144038	0.0431015633	0	0	0	0	0	3
7	4	0	0.175	0.00261627796	0.00302308096	-0.0378887228	0.0483144038	0.0431015633	0	0	0	0	0	3
8	4	0	0.2	-0.00225410196	0.0023634331	-0.0378887228	0.0483144038	0.0431015633	0	0	0	0	0	3
9	4	0	0.225	-0.00197970399	0.00188086231	-0.0378887228	0.0483144038	0.0431015633	0	0	0	0	0	3
10	5	0	0.25	-0.0102402706	0.000668749013	-0.0378887228	0.0483144038	0.0431015633	0	0	0	0	0	3
11	5	0	0.275	-0.018286484	-0.00105445399	-0.0378887228	0.0483144038	0.0431015633	0	0	0	0	0	3
12	5	0	0.3	-0.0590306451	-0.00588580325	-0.0590306451	0.0483144038	0.0431015633	0	0	0	0	0	3
13	5	0	0.325	-0.127174956	-0.015215738	-0.127174956	0.0483144038	0.0431015633	0	0	0	0	0	3
14	5	0	0.35	-0.260037821	-0.0327030297	-0.260037821	0.0483144038	0.0431015633	0	0	0	0	0	3
15	6	0	0.375	-0.433312303	-0.0594103146	-0.433312303	0.0483144038	0.0646231551	0	0	0	0	0	3
16	6	0	0.4	-0.701454507	-0.0995380766	-0.701454507	0.0483144038	0.104750917	0	0	0	0	0	3
17	6	0	0.425	-1.15341669	-0.161530936	-1.15341669	0.0483144038	0.166743777	0	0	0	0	0	3
18	6	0	0.45	-1.81375574	-0.253321203	-1.81375574	0.0483144038	0.258534044	0	0	0	0	0	3
19	7	0	0.475	-2.62331216	-0.378057569	-2.62331216	0.0483144038	0.38327041	0	0	0	0	0	3
20	7	0	0.5	-3.56157249	-0.537233316	-3.56157249	0.0483144038	0.542446156	0	0	0	0	0	3
21	7	0	0.525	-4.2903761	-0.749857684	-4.2903761	0.0483144038	0.755070525	0	0	0	0	0	3
22	7	0	0.55	-5.23104504	-1.01382566	-5.23104504	0.011693939	1.01691654	0	0	0	0	0	3
23	8	0	0.575	-6.16862645	-1.32160129	-6.16862645	0.011693939	1.32469217	0	0	0	0	0	3
24	8	0	0.6	-7.09403426	-1.67654468	-7.09403426	0.011693939	1.67963556	0	0	0	0	0	3
25	8	0	0.625	-7.90665893	-2.07246232	-7.90665893	0.00470595068	2.0755532	0	0	0	0	0	3
26	8	0	0.65	-8.42102903	-2.49374907	-8.42102903	0.00261627796	2.49677215	0	0	0	0	0	3
27	9	0	0.675	-8.83409348	-2.93558456	-8.83409348	-0.00197970399	2.93794799	0	0	0	0	0	3
28	9	0	0.7	-9.22193031	-3.39656837	-9.22193031	-0.00197970399	3.39844923	0	0	0	0	0	3
29	9	0	0.725	-9.49615578	-3.87127717	-9.49615578	-0.0102402706	3.87194592	0	0	0	0	0	3
30	9	0	0.75	-9.75715254	-4.35862279	-9.75715254	-0.018286484	4.35756833	0	0	0	0	0	3
31	10	0	0.775	-9.89172045	-4.85229448	-9.89172045	-0.0590306451	4.84640868	0	0	0	0	0	3
32	10	0	0.8	-9.99706973	-5.34919644	-9.99706973	-0.127174956	5.3339807	0	0	0	0	0	3
33	10	0	0.825	-10.0900357	-5.84733947	-10.0900357	-0.260037821	5.81463645	0	0	0	0	0	3
34	11	0	0.85	-10.1182846	-6.34025181	-10.1182846	-0.433312303	6.2808415	0	0	0	0	0	3
35	11	0	0.875	-10.2186906	-6.82952073	-10.2186906	-0.701454507	6.72998265	0	0	0	0	0	3
36	11	0	0.9	-10.2256491	-7.30573046	-10.2256491	-1.15341669	7.14419952	0	0	0	0	0	3
37	11	0	0.925	-10.3280089	-7.76446007	-10.3280089	-1.81375574	7.51113887	0	0	0	0	0	3
38	12	0	0.95	-10.2867643	-8.1881105	-10.3280089	-2.62331216	7.70469675	0	0	0	0	0	3
39	12	0	0.975	-10.4249431	-8.57819205	-10.4249431	-3.56157249	6.86337063	0	0	0	0	0	3
40	12	0	1	-10.3839768	-8.91931227	-10.4249431	-4.2903761	6.13456703	1.56549556	25.5	0	0	0	3
41	12	0	1.025	-10.4507132	-9.22732912	-10.4507132	-5.23104504	5.21966814	1.56936107	30	0	0	0	3
42	13	0	1.05	-10.3718384	-9.48436879	-10.4507132	-6.16862645	4.28208673	1.56936107	36.6	0	0	0	3
43	13	0	1.075	-10.4754671	-9.69971082	-10.4754671	-7.09403426	3.38143288	1.57059877	46.4	0	0	0	3
44	13	0	1.1	-10.4120327	-9.73363091	-10.4754671	-7.09403426	3.38143288	1.57121761	46.4	0	0	0	3
45	13	0	1.125	-10.5273175	-9.89712059	-10.5273175	-7.90665893	2.62065853	1.57293479	60	0	0	0	3
46	14	0	1.15	-10.4664565	-10.0190157	-10.5273175	-8.42102903	2.10628844	1.57407958	74.7	0	0	0	3
