Iteration	CPUTime	PhysTime	Travels
1	2	0	0.025
2	3	0	0.05
3	3	0	0.075
4	3	0	0.1
5	3	0	0.125
6	4	0	0.15
7	4	0	0.175
8	4	0	0.2
9	4	0	0.225
10	5	0	0.25
11	5	0	0.275
12	5	0	0.3
13	5	0	0.325
14	5	0	0.35
15	6	0	0.375
16	6	0	0.4
17	6	0	0.425
18	6	0	0.45
19	7	0	0.475
20	7	0	0.5
21	7	0	0.525
22	7	0	0.55
23	8	0	0.575
24	8	0	0.6
25	8	0	0.625
26	8	0	0.65
27	9	0	0.675
28	9	0	0.7
29	9	0	0.725
30	9	0	0.75
31	10	0	0.775
32	10	0	0.8
33	10	0	0.825
34	11	0	0.85
35	11	0	0.875
36	11	0	0.9
37	11	0	0.925
38	12	0	0.95
39	12	0	0.975
40	12	0	1
41	12	0	1.025
42	13	0	1.05
43	13	0	1.075
44	13	0	1.1
45	13	0	1.125
46	14	0	1.15
47	14	0	1.175
48	14	0	1.2
