Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	-0.162887956	-0.162887956	-0.162887956	-0.162887956	0	0	0	0	0	0	3
2	3	0	0.05	0.175131765	0.00612190429	-0.162887956	0.175131765	0.169009861	0	0	0	0	0	3
3	3	0	0.075	-0.0510597154	-0.0129386356	-0.162887956	0.175131765	0.169009861	0	0	0	0	0	3
4	3	0	0.1	0.0144869886	-0.00608222954	-0.162887956	0.175131765	0.169009861	0	0	0	0	0	3
5	4	0	0.125	0.0406536683	0.00326495002	-0.162887956	0.175131765	0.169009861	0	0	0	0	0	3
6	4	0	0.15	0.00683477735	0.00385992125	-0.162887956	0.175131765	0.169009861	0	0	0	0	0	3
7	4	0	0.175	0.00246158402	0.00366015878	-0.162887956	0.175131765	0.169009861	0	0	0	0	0	3
8	5	0	0.2	-0.0208081062	0.000601625667	-0.162887956	0.175131765	0.169009861	0	0	0	0	0	3
9	5	0	0.225	-0.0174275007	-0.00140161059	-0.162887956	0.175131765	0.169009861	0	0	0	0	0	3
10	6	0	0.25	-0.0489690378	-0.00615835331	-0.162887956	0.175131765	0.169009861	0	0	0	0	0	3
11	6	0	0.275	-0.0828694214	-0.0131320868	-0.162887956	0.175131765	0.169009861	0	0	0	0	0	3
12	6	0	0.3	-0.249500525	-0.0328294566	-0.249500525	0.175131765	0.169009861	0	0	0	0	0	3
13	7	0	0.325	-0.503132318	-0.0690065998	-0.503132318	0.175131765	0.169009861	0	0	0	0	0	3
14	7	0	0.35	-0.998816108	-0.135421565	-0.998816108	0.175131765	0.169009861	0	0	0	0	0	3
15	7	0	0.375	-1.66638601	-0.237485861	-1.66638601	0.175131765	0.243607765	0	0	0	0	0	3
16	8	0	0.4	-2.72842391	-0.393169489	-2.72842391	0.175131765	0.399291394	0	0	0	0	0	3
17	8	0	0.425	-4.57940415	-0.639418587	-4.57940415	0.175131765	0.645540491	0	0	0	0	0	3
18	9	0	0.45	-7.35950897	-1.01275694	-7.35950897	0.175131765	1.01887885	0	0	0	0	0	3
