Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0.165039311	0.165039311	0.165039311	0.165039311	0	0	0	0	0	0	3
2	3	0	0.05	0.185695925	0.175367618	0.165039311	0.185695925	0.0103283073	0	0	0	0	0	3
3	3	0	0.075	0.0524839247	0.134406387	0.0524839247	0.185695925	0.040961231	0	0	0	0	0	3
4	3	0	0.1	0.0156135403	0.104708175	0.0156135403	0.185695925	0.0706594426	0	0	0	0	0	3
5	4	0	0.125	0.0408803181	0.0919426037	0.0156135403	0.185695925	0.0834250141	0	0	0	0	0	3
6	4	0	0.15	0.00909041541	0.0781339057	0.00909041541	0.185695925	0.0972337121	0	0	0	0	0	3
7	4	0	0.175	0.00451462604	0.0676168657	0.00451462604	0.185695925	0.107750752	0	0	0	0	0	3
8	5	0	0.2	0.021584959	0.0618628774	0.00451462604	0.185695925	0.11350474	0	0	0	0	0	3
9	5	0	0.225	0.0175708854	0.0569415449	0.00451462604	0.185695925	0.118426073	0	0	0	0	0	3
10	6	0	0.25	0.0492299779	0.0561703882	0.00451462604	0.185695925	0.11919723	0	0	0	0	0	3
11	6	0	0.275	0.0834619345	0.0586514379	0.00451462604	0.185695925	0.11919723	0	0	0	0	0	3
12	6	0	0.3	0.252798639	0.0748303713	0.00451462604	0.252798639	0.11919723	0	0	0	0	0	3
13	7	0	0.325	0.511212924	0.10839826	0.00451462604	0.511212924	0.11919723	0	0	0	0	0	3
14	7	0	0.35	1.02239322	0.173683614	0.00451462604	1.02239322	0.11919723	0	0	0	0	0	3
15	7	0	0.375	1.6941705	0.275049406	0.00451462604	1.6941705	0.218879018	0	0	0	0	0	3
16	8	0	0.4	2.75807433	0.430238464	0.00451462604	2.75807433	0.374068076	0	0	0	0	0	3
17	8	0	0.425	4.59530218	0.675242212	0.00451462604	4.59530218	0.619071824	0	0	0	0	0	3
18	9	0	0.45	7.37520076	1.04746213	0.00451462604	7.37520076	0.991291743	0	0	0	0	0	3
19	9	0	0.475	10.7501902	1.55813203	0.00451462604	10.7501902	1.50196164	0	0	0	0	0	3
20	9	0	0.5	14.7594621	2.21819853	0.00451462604	14.7594621	2.16202814	0	0	0	0	0	3
21	10	0	0.525	17.9322914	3.10656114	0.00451462604	17.9322914	3.05039075	0	0	0	0	0	3
22	10	0	0.55	21.8814577	4.19134922	0.00451462604	21.8814577	4.13517883	0	0	0	0	0	3
23	10	0	0.575	25.750803	5.47626517	0.00451462604	25.750803	5.42009479	0	0	0	0	0	3
24	11	0	0.6	29.6871161	6.9598403	0.00451462604	29.6871161	6.90366992	0	0	0	0	0	3
25	11	0	0.625	32.8968436	8.60263847	0.00451462604	32.8968436	8.54646808	0	0	0	0	0	3
26	11	0	0.65	34.9650757	10.3504377	0.00451462604	34.9650757	10.2942673	0	0	0	0	0	3
27	12	0	0.675	36.5918834	12.1798062	0.0175708854	36.5918834	12.1236358	0	0	0	0	0	3
28	12	0	0.7	38.0246641	14.0799601	0.0175708854	38.0246641	14.0237897	0	0	0	0	0	3
29	12	0	0.725	39.0962206	16.0338926	0.0492299779	39.0962206	15.9777222	0	0	0	0	0	3
30	13	0	0.75	40.138153	18.0383388	0.0834619345	40.138153	17.9796873	0	0	0	0	0	3
31	13	0	0.775	40.3513293	20.0517321	0.252798639	40.3513293	19.9769018	0	0	0	0	0	3
32	13	0	0.8	41.0171017	22.0899473	0.511212924	41.0171017	21.981549	0	0	0	0	0	3
33	14	0	0.825	41.1128518	24.1200292	1.02239322	41.1128518	23.9463456	0	0	0	0	0	3
34	14	0	0.85	41.8081025	26.1593147	1.6941705	41.8081025	25.8842653	0	0	0	0	0	3
35	14	0	0.875	41.6209125	28.1556518	2.75807433	41.8081025	27.7254133	0	0	0	0	0	3
36	15	0	0.9	42.1459063	30.1250434	4.59530218	42.1459063	29.4498012	0	0	0	0	0	3
37	15	0	0.925	41.9864208	31.9945993	7.37520076	42.1459063	30.9471372	0	0	0	0	0	3
38	15	0	0.95	42.508506	33.7512646	10.7501902	42.508506	31.7583157	0	0	0	0	0	3
39	15	0	0.975	42.1847466	35.3229924	14.7594621	42.508506	27.7490439	0	0	0	0	0	3
40	16	0	1	42.5685782	36.7134482	17.9322914	42.5685782	24.6362868	6.38460954	25.9	0	0	0	3
41	16	0	1.025	42.3373905	37.9337032	21.8814577	42.5685782	20.6871205	6.38460954	30.8	0	0	0	3
42	16	0	1.05	42.6472457	38.9719926	25.750803	42.6472457	16.8964427	6.3905096	37.8	0	0	0	3
43	17	0	1.075	42.4656224	39.8077335	29.6871161	42.6472457	12.9601296	6.39247629	49.3	0	0	0	3
44	17	0	1.1	42.6929814	39.9451263	29.6871161	42.6929814	13.0058653	6.39517472	49.1	0	0	0	3
45	18	0	1.125	42.5202094	40.556226	32.8968436	42.6929814	9.79613782	6.39679378	65.2	0	0	0	3
46	18	0	1.15	42.8600761	41.0306656	34.9650757	42.8600761	7.89500043	6.40205052	81	0	0	0	3
47	18	0	1.175	42.6630741	41.397237	36.5918834	42.8600761	6.26819274	6.40580534	100	0	0	0	3
48	19	0	1.2	42.9474183	41.6998815	38.0246641	42.9474183	4.92275417	6.41001431	100	0	0	0	3
49	19	0	1.225	42.7377414	41.9243137	39.0962206	42.9474183	3.85119764	6.41328795	100	0	0	0	3
50	19	0	1.25	43.011565	42.1107587	40.138153	43.011565	2.87341198	6.41639418	100	0	0	0	3
