Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0.0263732755	0.0263732755	0.0263732755	0.0263732755	0	0	0	0	0	0	3
2	3	0	0.05	-0.0605440325	-0.0170853785	-0.0605440325	0.0263732755	0.043458654	0	0	0	0	0	3
3	3	0	0.075	0.0107729697	-0.00779926243	-0.0605440325	0.0263732755	0.043458654	0	0	0	0	0	3
4	3	0	0.1	0.00367360044	-0.00493104672	-0.0605440325	0.0263732755	0.043458654	0	0	0	0	0	3
5	4	0	0.125	0.0040257671	-0.00313968395	-0.0605440325	0.0263732755	0.043458654	0	0	0	0	0	3
6	4	0	0.15	0.00579549343	-0.00165048772	-0.0605440325	0.0263732755	0.043458654	0	0	0	0	0	3
7	4	0	0.175	0.00377807556	-0.000874978683	-0.0605440325	0.0263732755	0.043458654	0	0	0	0	0	3
8	5	0	0.2	0.00535463299	-9.62772239e-05	-0.0605440325	0.0263732755	0.043458654	0	0	0	0	0	3
9	5	0	0.225	0.00106122317	3.23339311e-05	-0.0605440325	0.0263732755	0.043458654	0	0	0	0	0	3
10	6	0	0.25	0.00200326219	0.000229426757	-0.0605440325	0.0263732755	0.043458654	0	0	0	0	0	3
11	6	0	0.275	0.0098219742	0.00110147652	-0.0605440325	0.0263732755	0.043458654	0	0	0	0	0	3
12	6	0	0.3	0.040370769	0.00437391757	-0.0605440325	0.040370769	0.043458654	0	0	0	0	0	3
13	7	0	0.325	0.0883120764	0.010830699	-0.0605440325	0.0883120764	0.043458654	0	0	0	0	0	3
14	7	0	0.35	0.216161764	0.0254972036	-0.0605440325	0.216161764	0.043458654	0	0	0	0	0	3
15	7	0	0.375	0.303051586	0.0440008291	-0.0605440325	0.303051586	0.0610862076	0	0	0	0	0	3
16	8	0	0.4	0.396587078	0.0660374697	-0.0605440325	0.396587078	0.0831228481	0	0	0	0	0	3
17	8	0	0.425	0.310438199	0.0804139831	-0.0605440325	0.396587078	0.0974993616	0	0	0	0	0	3
18	9	0	0.45	0.0855923782	0.0807016717	-0.0605440325	0.396587078	0.0977870502	0	0	0	0	0	3
19	9	0	0.475	-0.358369005	0.0575926887	-0.358369005	0.396587078	0.0977870502	0	0	0	0	0	3
20	9	0	0.5	-1.06882839	0.00127163502	-1.06882839	0.396587078	0.0977870502	0	0	0	0	0	3
21	10	0	0.525	-1.78628897	-0.0893614773	-1.78628897	0.396587078	0.170063149	0	0	0	0	0	3
22	10	0	0.55	-2.39331829	-0.20600019	-2.39331829	0.396587078	0.286701862	0	0	0	0	0	3
23	10	0	0.575	-3.15299587	-0.364188632	-3.15299587	0.396587078	0.444890304	0	0	0	0	0	3
24	11	0	0.6	-3.79520663	-0.554132644	-3.79520663	0.396587078	0.634834316	0	0	0	0	0	3
25	11	0	0.625	-4.17047694	-0.762857779	-4.17047694	0.396587078	0.843559451	0	0	0	0	0	3
26	11	0	0.65	-4.44362394	-0.985328751	-4.44362394	0.396587078	1.06603042	0	0	0	0	0	3
27	12	0	0.675	-4.49707986	-1.21037165	-4.49707986	0.396587078	1.29107332	0	0	0	0	0	3
28	12	0	0.7	-4.74175549	-1.44772715	-4.74175549	0.396587078	1.52842883	0	0	0	0	0	3
29	12	0	0.725	-4.73697539	-1.68462898	-4.74175549	0.396587078	1.76533066	0	0	0	0	0	3
30	13	0	0.75	-4.99018147	-1.93423822	-4.99018147	0.396587078	2.01493989	0	0	0	0	0	3
31	13	0	0.775	-4.83920013	-2.17668933	-4.99018147	0.396587078	2.257391	0	0	0	0	0	3
32	13	0	0.8	-5.13331328	-2.43537353	-5.13331328	0.396587078	2.5160752	0	0	0	0	0	3
33	14	0	0.825	-4.98646719	-2.68911249	-5.13331328	0.396587078	2.76981416	0	0	0	0	0	3
34	14	0	0.85	-5.2827619	-2.96405868	-5.2827619	0.396587078	3.04476035	0	0	0	0	0	3
35	14	0	0.875	-5.15619851	-3.23702118	-5.2827619	0.396587078	3.31772285	0	0	0	0	0	3
36	15	0	0.9	-5.3699798	-3.52534952	-5.3699798	0.310438199	3.6060512	0	0	0	0	0	3
