Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	-0.00315246606	-0.00315246606	-0.00315246606	-0.00315246606	0	0	0	0	0	0	3
2	3	0	0.05	-0.0120773132	-0.00761488965	-0.0120773132	-0.00315246606	0.00446242359	0	0	0	0	0	3
3	3	0	0.075	0.00560210587	-0.00320922448	-0.0120773132	0.00560210587	0.00446242359	0	0	0	0	0	3
4	3	0	0.1	0.00451663614	-0.00127775932	-0.0120773132	0.00560210587	0.00633713033	0	0	0	0	0	3
5	4	0	0.125	0.00150697183	-0.00072081309	-0.0120773132	0.00560210587	0.00689407656	0	0	0	0	0	3
6	4	0	0.15	-0.00152704394	-0.000855184899	-0.0120773132	0.00560210587	0.00689407656	0	0	0	0	0	3
7	4	0	0.175	0.000214918665	-0.000702312961	-0.0120773132	0.00560210587	0.00691257669	0	0	0	0	0	3
8	5	0	0.2	-0.00206672244	-0.000872864147	-0.0120773132	0.00560210587	0.00691257669	0	0	0	0	0	3
9	5	0	0.225	-0.00199076455	-0.000997075302	-0.0120773132	0.00560210587	0.00691257669	0	0	0	0	0	3
10	6	0	0.25	-0.00468393641	-0.00136576141	-0.0120773132	0.00560210587	0.00691257669	0	0	0	0	0	3
11	6	0	0.275	-0.00108424723	-0.00134016921	-0.0120773132	0.00560210587	0.00691257669	0	0	0	0	0	3
12	6	0	0.3	0.00303717347	-0.000975390657	-0.0120773132	0.00560210587	0.00691257669	0	0	0	0	0	3
13	7	0	0.325	0.015727241	0.000309427161	-0.0120773132	0.015727241	0.00792431681	0	0	0	0	0	3
14	7	0	0.35	0.017096992	0.00150853893	-0.0120773132	0.017096992	0.00912342859	0	0	0	0	0	3
15	7	0	0.375	0.00635793483	0.00183183199	-0.0120773132	0.017096992	0.00944672165	0	0	0	0	0	3
16	8	0	0.4	-0.0582895526	-0.00192575454	-0.0582895526	0.017096992	0.00944672165	0	0	0	0	0	3
17	8	0	0.425	-0.229410219	-0.0153071936	-0.229410219	0.017096992	0.0171390256	0	0	0	0	0	3
18	9	0	0.45	-0.496252184	-0.0420263597	-0.496252184	0.017096992	0.0438581917	0	0	0	0	0	3
19	9	0	0.475	-0.818419606	-0.0828891622	-0.818419606	0.017096992	0.0847209942	0	0	0	0	0	3
20	9	0	0.5	-1.25590165	-0.141539787	-1.25590165	0.017096992	0.143371619	0	0	0	0	0	3
21	10	0	0.525	-1.55238599	-0.219001463	-1.55238599	0.017096992	0.220833295	0	0	0	0	0	3
22	10	0	0.55	-1.92046167	-0.314420681	-1.92046167	0.017096992	0.316252513	0	0	0	0	0	3
23	10	0	0.575	-2.28262145	-0.428831859	-2.28262145	0.017096992	0.430663691	0	0	0	0	0	3
24	11	0	0.6	-2.62070943	-0.560093162	-2.62070943	0.017096992	0.561924994	0	0	0	0	0	3
25	11	0	0.625	-2.84512893	-0.702424957	-2.84512893	0.017096992	0.704256789	0	0	0	0	0	3
26	11	0	0.65	-2.99797411	-0.85224731	-2.99797411	0.017096992	0.854079142	0	0	0	0	0	3
27	12	0	0.675	-3.08879227	-1.00669767	-3.08879227	0.017096992	1.0085295	0	0	0	0	0	3
28	12	0	0.7	-3.15646138	-1.1644174	-3.15646138	0.017096992	1.16624923	0	0	0	0	0	3
29	12	0	0.725	-3.22597669	-1.3256167	-3.22597669	0.017096992	1.32744853	0	0	0	0	0	3
30	13	0	0.75	-3.25840773	-1.48830289	-3.25840773	0.017096992	1.49013472	0	0	0	0	0	3
31	13	0	0.775	-3.1988268	-1.64819002	-3.25840773	0.017096992	1.65002185	0	0	0	0	0	3
32	13	0	0.8	-3.28289226	-1.81248649	-3.28289226	0.017096992	1.81431832	0	0	0	0	0	3
33	14	0	0.825	-3.21080407	-1.97381305	-3.28289226	0.017096992	1.97564488	0	0	0	0	0	3
34	14	0	0.85	-3.34862568	-2.14209919	-3.34862568	0.00635793483	2.14393102	0	0	0	0	0	3
35	14	0	0.875	-3.19140215	-2.30198719	-3.34862568	-0.0582895526	2.30006144	0	0	0	0	0	3
36	15	0	0.9	-3.24607251	-2.46137634	-3.34862568	-0.229410219	2.44606915	0	0	0	0	0	3
37	15	0	0.925	-3.26393401	-2.61310253	-3.34862568	-0.496252184	2.57107617	0	0	0	0	0	3
38	15	0	0.95	-3.26244415	-2.75141213	-3.34862568	-0.818419606	2.53020608	0	0	0	0	0	3
39	15	0	0.975	-3.19954644	-2.87046847	-3.34862568	-1.25590165	2.09272403	0	0	0	0	0	3
40	16	0	1	-3.29233563	-2.97229017	-3.34862568	-1.55238599	1.79623969	0.504858401	28.1	0	0	0	3
41	16	0	1.025	-3.15445774	-3.05239375	-3.34862568	-1.92046167	1.42816401	0.504858401	35.3	0	0	0	3
42	16	0	1.05	-3.32168304	-3.12245482	-3.34862568	-2.28262145	1.06600423	0.504858401	47.3	0	0	0	3
43	17	0	1.075	-3.18116458	-3.16738198	-3.34862568	-2.62070943	0.727916251	0.504858401	69.3	0	0	0	3
44	17	0	1.1	-3.30531161	-3.17395006	-3.34862568	-2.62070943	0.727916251	0.504858401	69.3	0	0	0	3
45	18	0	1.125	-3.14210843	-3.19877858	-3.34862568	-2.84512893	0.503496757	0.504858401	100	0	0	0	3
46	18	0	1.15	-3.24432826	-3.21778807	-3.34862568	-2.99797411	0.350651573	0.504858401	100	0	0	0	3
47	18	0	1.175	-3.15761896	-3.22539021	-3.34862568	-3.08879227	0.259833416	0.504858401	100	0	0	0	3
48	19	0	1.2	-3.31273828	-3.2360543	-3.34862568	-3.14210843	0.206517251	0.504858401	100	0	0	0	3
49	19	0	1.225	-3.13883145	-3.23521478	-3.34862568	-3.13883145	0.209794236	0.504858401	100	0	0	0	3
50	19	0	1.25	-3.32114865	-3.23974678	-3.34862568	-3.13883145	0.209794236	0.504858401	100	0	0	0	3
