Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	-0.0169012674	-0.0169012674	-0.0169012674	-0.0169012674	0	0	0	0	0	0	3
2	3	0	0.05	0.0330426096	0.00807067113	-0.0169012674	0.0330426096	0.0249719385	0	0	0	0	0	3
3	3	0	0.075	-0.00574251854	0.00346627457	-0.0169012674	0.0330426096	0.0249719385	0	0	0	0	0	3
4	3	0	0.1	-0.00218583495	0.00205324719	-0.0169012674	0.0330426096	0.0249719385	0	0	0	0	0	3
5	4	0	0.125	-0.00178758514	0.00128508073	-0.0169012674	0.0330426096	0.0249719385	0	0	0	0	0	3
6	4	0	0.15	-0.00303475733	0.000565107718	-0.0169012674	0.0330426096	0.0249719385	0	0	0	0	0	3
7	4	0	0.175	-0.00203958284	0.000193009066	-0.0169012674	0.0330426096	0.0249719385	0	0	0	0	0	3
8	5	0	0.2	-0.00309056585	-0.000217437799	-0.0169012674	0.0330426096	0.0249719385	0	0	0	0	0	3
9	5	0	0.225	-0.00119734862	-0.000326316779	-0.0169012674	0.0330426096	0.0249719385	0	0	0	0	0	3
10	6	0	0.25	-0.00238893289	-0.00053257839	-0.0169012674	0.0330426096	0.0249719385	0	0	0	0	0	3
11	6	0	0.275	-0.00767225135	-0.00118163957	-0.0169012674	0.0330426096	0.0249719385	0	0	0	0	0	3
12	6	0	0.3	-0.0261339722	-0.00326100062	-0.0261339722	0.0330426096	0.0249719385	0	0	0	0	0	3
13	7	0	0.325	-0.0543951927	-0.00719440001	-0.0543951927	0.0330426096	0.0249719385	0	0	0	0	0	3
14	7	0	0.35	-0.127452232	-0.0157842451	-0.127452232	0.0330426096	0.0249719385	0	0	0	0	0	3
15	7	0	0.375	-0.19048385	-0.0274308855	-0.19048385	0.0330426096	0.0355015566	0	0	0	0	0	3
16	8	0	0.4	-0.273217982	-0.042792579	-0.273217982	0.0330426096	0.0508632501	0	0	0	0	0	3
17	8	0	0.425	-0.302452355	-0.0580666835	-0.302452355	0.0330426096	0.0661373546	0	0	0	0	0	3
18	9	0	0.45	-0.303599983	-0.0717074224	-0.303599983	0.0330426096	0.0797780935	0	0	0	0	0	3
19	9	0	0.475	-0.218777828	-0.07944797	-0.303599983	0.0330426096	0.0875186411	0	0	0	0	0	3
