Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	101791.732	101791.732	101791.732	101791.732	0	0	0	9234.57	0	0	3
2	3	0	0.05	101444.951	101618.342	101444.951	101791.732	173.390441	0	0	8058.98	0	0	3
3	3	0	0.075	101395.268	101543.984	101395.268	101791.732	247.748431	0	0	6931.96	0	0	3
4	3	0	0.1	101346.318	101494.567	101346.318	101791.732	297.164847	0	0	2887.13	0	0	3
5	4	0	0.125	101330.314	101461.717	101330.314	101791.732	330.015494	0	0	1123.34	0	0	3
6	4	0	0.15	101327.319	101439.317	101327.319	101791.732	352.415134	0	0	906.718	0	0	3
7	4	0	0.175	101319.277	101422.168	101319.277	101791.732	369.563723	0	0	715.431	0	0	3
8	5	0	0.2	101325.344	101410.065	101319.277	101791.732	381.666726	0	0	635.203	0	0	3
9	5	0	0.225	101317.697	101399.802	101317.697	101791.732	391.929919	0	0	476.863	0	0	3
10	6	0	0.25	101329.61	101392.783	101317.697	101791.732	398.949101	0	0	402.222	0	0	3
11	6	0	0.275	101323.375	101386.473	101317.697	101791.732	405.258905	0	0	348.287	0	0	3
12	6	0	0.3	101333.888	101382.091	101317.697	101791.732	409.641011	0	0	306.13	0	0	3
13	7	0	0.325	101330.354	101378.111	101317.697	101791.732	413.62078	0	0	258.75	0	0	3
14	7	0	0.35	101342.45	101375.564	101317.697	101791.732	416.168042	0	0	307.44	0	0	3
15	7	0	0.375	101341.269	101373.278	101317.697	101791.732	418.454376	0	0	376.112	0	0	3
16	8	0	0.4	101347.181	101371.647	101317.697	101791.732	420.085422	0	0	498.65	0	0	3
17	8	0	0.425	101348.198	101370.267	101317.697	101791.732	421.464739	0	0	741.36	0	0	3
18	9	0	0.45	101349.382	101369.107	101317.697	101791.732	422.62504	0	0	1171.01	0	0	3
19	9	0	0.475	101348.555	101368.025	101317.697	101791.732	423.706717	0	0	1587.17	0	0	3
20	9	0	0.5	101347.304	101366.989	101317.697	101791.732	424.742793	0	0	2121.25	0	0	3
21	10	0	0.525	101344.452	101344.625	101317.697	101444.951	127.254578	0	0	2582.72	0	0	3
22	10	0	0.55	101340.852	101339.42	101317.697	101395.268	77.5710491	0	0	3083.82	0	0	3
23	10	0	0.575	101337.481	101336.531	101317.697	101349.382	31.6852897	0	0	3652.33	0	0	3
24	11	0	0.6	101335.37	101335.984	101317.697	101349.382	31.6852897	0	0	4153.82	0	0	3
25	11	0	0.625	101333.865	101336.161	101317.697	101349.382	31.6852897	0	0	4641.42	0	0	3
26	11	0	0.65	101332.508	101336.421	101317.697	101349.382	31.6852897	0	0	4843.02	0	0	3
27	12	0	0.675	101331.183	101337.016	101317.697	101349.382	31.6852897	0	0	5080.72	0	0	3
28	12	0	0.7	101329.871	101337.242	101317.697	101349.382	31.6852897	0	0	5152.43	0	0	3
29	12	0	0.725	101328.866	101337.801	101323.375	101349.382	26.0067688	0	0	5296.43	0	0	3
30	13	0	0.75	101328.1	101337.725	101323.375	101349.382	26.0067688	0	0	5276.84	0	0	3
31	13	0	0.775	101327.72	101337.942	101327.72	101349.382	21.6614057	0	0	5343.59	0	0	3
32	13	0	0.8	101327.444	101337.62	101327.444	101349.382	21.9377504	0	0	5280.01	0	0	3
33	14	0	0.825	101327.133	101337.459	101327.133	101349.382	22.2491308	0	0	5291.17	0	0	3
34	14	0	0.85	101326.851	101336.679	101326.851	101349.382	22.5303833	0	0	5212.1	0	0	3
35	14	0	0.875	101326.673	101335.949	101326.673	101349.382	22.7088245	0	0	5195.11	0	0	3
36	15	0	0.9	101326.47	101334.914	101326.47	101349.382	22.9117309	0	0	5171.71	0	0	3
37	15	0	0.925	101326.351	101333.822	101326.351	101349.382	23.0311412	0	0	5229.47	0	0	3
38	15	0	0.95	101326.221	101332.664	101326.221	101348.555	22.3337908	0	0	5209.5	0	0	3
39	15	0	0.975	101326.133	101331.542	101326.133	101347.304	21.170426	0	0	5248.62	0	0	3
40	16	0	1	101326.083	101330.481	101326.083	101344.452	14.1438163	11.6356574	0	5221.75	0	0	3
41	16	0	1.025	101326.082	101329.563	101326.082	101340.852	9.85735962	11.6356574	0	5246.86	0	0	3
42	16	0	1.05	101326.026	101328.822	101326.026	101337.481	9.12078748	11.6356574	0	5227.11	0	0	3
43	17	0	1.075	101325.967	101328.246	101325.967	101335.37	9.40287824	11.6356574	0	5238.25	0	0	3
44	17	0	1.1	101325.907	101328.135	101325.907	101335.37	9.4632962	11.6356574	0	5189.96	0	0	3
45	18	0	1.125	101325.893	101327.683	101325.893	101333.865	7.97197258	11.6356574	0	5213.9	0	0	3
46	18	0	1.15	101325.884	101327.303	101325.884	101332.508	6.62432102	11.6356574	0	5217.53	0	0	3
47	18	0	1.175	101325.91	101326.989	101325.884	101331.183	5.29925938	11.6356574	0	5271.89	0	0	3
48	19	0	1.2	101325.874	101326.736	101325.874	101329.871	3.99729743	11.6356574	0	5282.74	0	0	3
49	19	0	1.225	101325.866	101326.545	101325.866	101328.866	3.00058702	11.6356574	0	5327.5	0	0	3
50	19	0	1.25	101325.899	101326.404	101325.866	101328.1	2.23429425	11.6356574	0	5321.23	0	0	3
