Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	293.183389	293.183389	293.183389	293.183389	0	0	0	0.826971	0	0	3
2	3	0	0.05	293.179361	293.181375	293.179361	293.183389	0.00201428454	0	0	0.646117	0	0	3
3	3	0	0.075	293.17837	293.180373	293.17837	293.183389	0.0030160809	0	0	0.812106	0	0	3
4	3	0	0.1	293.181022	293.180535	293.17837	293.183389	0.0030160809	0	0	0.749424	0	0	3
5	4	0	0.125	293.18517	293.181462	293.17837	293.18517	0.0030160809	0	0	0.678685	0	0	3
6	4	0	0.15	293.194024	293.183556	293.17837	293.194024	0.00318281686	0	0	0.549008	0	0	3
7	4	0	0.175	293.206974	293.186902	293.17837	293.206974	0.00652818941	0	0	0.472162	0	0	3
8	5	0	0.2	293.221424	293.191217	293.17837	293.221424	0.0108434536	0	0	0.412438	0	0	3
9	5	0	0.225	293.235729	293.196163	293.17837	293.235729	0.0157893038	0	0	0.387497	0	0	3
10	6	0	0.25	293.249523	293.201499	293.17837	293.249523	0.0211252935	0	0	0.461921	0	0	3
11	6	0	0.275	293.267936	293.207538	293.17837	293.267936	0.0271650648	0	0	0.54929	0	0	3
12	6	0	0.3	293.282692	293.213801	293.17837	293.282692	0.0334278631	0	0	0.560364	0	0	3
13	7	0	0.325	293.290502	293.219701	293.17837	293.290502	0.0393278933	0	0	0.632741	0	0	3
14	7	0	0.35	293.293458	293.22497	293.17837	293.293458	0.0445962219	0	0	0.64845	0	0	3
15	7	0	0.375	293.291427	293.2294	293.17837	293.293458	0.0490266982	0	0	0.676125	0	0	3
16	8	0	0.4	293.291319	293.23327	293.17837	293.293458	0.0528966295	0	0	0.705461	0	0	3
17	8	0	0.425	293.289633	293.236585	293.17837	293.293458	0.0562120766	0	0	0.895164	0	0	3
18	9	0	0.45	293.289948	293.23955	293.17837	293.293458	0.0591766735	0	0	1.0037	0	0	3
19	9	0	0.475	293.292924	293.242359	293.17837	293.293458	0.0619858059	0	0	1.06795	0	0	3
20	9	0	0.5	293.300138	293.245248	293.17837	293.300138	0.064874759	0	0	1.12537	0	0	3
21	10	0	0.525	293.324407	293.252299	293.17837	293.324407	0.0719256401	0	0	1.22474	0	0	3
22	10	0	0.55	293.357282	293.261195	293.17837	293.357282	0.0808216923	0	0	1.31536	0	0	3
23	10	0	0.575	293.394739	293.272013	293.181022	293.394739	0.0914779874	0	0	1.3547	0	0	3
24	11	0	0.6	293.426444	293.284285	293.18517	293.426444	0.102822101	0	0	1.37879	0	0	3
25	11	0	0.625	293.441919	293.297122	293.194024	293.441919	0.113565889	0	0	1.38779	0	0	3
26	11	0	0.65	293.436106	293.309226	293.206974	293.441919	0.122324581	0	0	1.41805	0	0	3
27	12	0	0.675	293.412327	293.319494	293.221424	293.441919	0.128276958	0	0	1.4642	0	0	3
28	12	0	0.7	293.388876	293.327866	293.235729	293.441919	0.131703747	0	0	1.49195	0	0	3
29	12	0	0.725	293.372887	293.334724	293.249523	293.441919	0.133225629	0	0	1.51304	0	0	3
30	13	0	0.75	293.363007	293.340398	293.267936	293.441919	0.132860078	0	0	1.52905	0	0	3
31	13	0	0.775	293.356588	293.344831	293.282692	293.441919	0.131029851	0	0	1.55741	0	0	3
32	13	0	0.8	293.353481	293.34837	293.289633	293.441919	0.128669255	0	0	1.55194	0	0	3
33	14	0	0.825	293.352928	293.351492	293.289633	293.441919	0.126522268	0	0	1.5704	0	0	3
34	14	0	0.85	293.352931	293.354465	293.289633	293.441919	0.125065453	0	0	1.55395	0	0	3
35	14	0	0.875	293.352945	293.357541	293.289633	293.441919	0.124271426	0	0	1.56789	0	0	3
36	15	0	0.9	293.353256	293.360638	293.289633	293.441919	0.124052825	0	0	1.55906	0	0	3
37	15	0	0.925	293.353101	293.363812	293.289948	293.441919	0.124261628	0	0	1.56539	0	0	3
38	15	0	0.95	293.353368	293.366983	293.292924	293.441919	0.124623483	0	0	1.5561	0	0	3
39	15	0	0.975	293.353811	293.370027	293.300138	293.441919	0.124778881	0	0	1.56708	0	0	3
40	16	0	1	293.353567	293.372698	293.324407	293.441919	0.117511999	0.0395323941	0	1.55609	0	0	3
41	16	0	1.025	293.353968	293.374176	293.352928	293.441919	0.0889906119	0.0395323941	0	1.56348	0	0	3
42	16	0	1.05	293.354783	293.374051	293.352928	293.441919	0.0889906119	0.0395323941	0	1.58104	0	0	3
43	17	0	1.075	293.354026	293.372016	293.352928	293.441919	0.0889906119	0.0395323941	0	1.56332	0	0	3
44	17	0	1.1	293.355111	293.371211	293.352928	293.441919	0.0889906119	0.0395323941	0	1.5852	0	0	3
45	18	0	1.125	293.355257	293.367821	293.352928	293.441919	0.0770544243	0.0395323941	0	1.56165	0	0	3
46	18	0	1.15	293.355352	293.363699	293.352928	293.436106	0.0649503603	0.0395323941	0	1.57413	0	0	3
47	18	0	1.175	293.355424	293.359857	293.352928	293.412327	0.0546827195	0.0395323941	0	1.56656	0	0	3
48	19	0	1.2	293.35538	293.357145	293.352928	293.388876	0.0359480146	0.0395323941	0	1.60116	0	0	3
49	19	0	1.225	293.354812	293.355523	293.352928	293.372887	0.0199584395	0.0395323941	0	1.56373	0	0	3
50	19	0	1.25	293.354377	293.354641	293.352928	293.363007	0.0100785109	0.0395323941	0	1.61168	0	0	3
